股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600353,旭光电子,18.84,18.27,2.53,2.75,364985206.0,0.98,0.53,6.8,0.989,1,电子,35.68
sh.601058,nan,27.38,25.29,1.13,1.32,1930644201.0,1.02,5.59,12.21,1.0,0,,33.77
sh.601952,nan,11.99,11.4,1.9,1.54,396067970.0,1.24,3.72,6.86,1.0,0,,31.97
sh.601098,nan,15.14,14.04,0.94,0.88,1766370950.0,1.34,3.27,8.14,1.0,0,,31.94
sh.603707,nan,5.61,5.22,2.13,2.0,756894861.0,1.14,1.08,13.33,1.0,0,,30.79
sh.601717,nan,12.06,11.45,1.99,2.08,263390221.0,1.06,4.15,4.96,1.0,0,,30.51
sh.603939,nan,19.85,18.61,0.91,1.1,1529342401.0,0.92,3.6,12.66,1.0,0,,30.17
sh.600114,nan,17.12,16.0,3.3,4.18,843218968.0,0.85,1.36,16.3,0.971,0,,29.1
sh.601969,nan,8.7,8.29,1.68,1.57,286149427.0,1.27,2.72,1.52,0.999,0,,28.74
sh.600019,nan,21.76,20.17,1.22,1.4,316614244.0,0.99,1.4,13.1,1.0,0,,28.7
sh.601918,nan,9.86,9.49,2.91,2.46,737267776.0,1.41,-3.43,14.65,0.944,0,,27.79
sh.600023,nan,15.17,14.5,4.47,4.11,604459086.0,1.18,-4.53,13.21,0.946,0,,27.28
sh.601857,nan,15.24,14.66,1.6,1.62,374258925.0,1.31,1.53,1.4,0.995,0,,27.23
sh.600177,nan,5.52,5.22,1.22,1.35,294373543.0,1.03,3.18,5.14,0.987,0,,26.79
sh.600085,nan,25.99,24.23,1.14,1.78,402182373.0,0.77,2.93,13.25,0.965,0,,25.32
sh.601919,nan,13.12,12.62,0.88,1.16,237627716.0,0.73,3.31,14.19,0.966,0,,25.17
sh.600096,nan,22.42,21.44,2.37,2.51,297294188.0,0.92,-2.18,13.29,0.973,0,,25.12
sh.600693,nan,12.95,12.42,2.36,2.7,1009880538.0,1.05,1.49,2.45,0.981,0,,24.93
sh.600779,nan,13.36,12.62,1.41,1.83,619442449.0,0.85,0.23,15.77,0.97,0,,24.4
sh.600196,nan,18.8,18.5,2.03,2.33,251416115.0,1.04,-0.37,2.68,0.987,0,,23.18
sh.600397,nan,17.85,17.27,0.81,0.98,570796861.0,0.88,1.13,3.42,1.0,0,,22.83
sh.600674,nan,7.74,7.72,0.8,0.88,279228061.0,1.13,-1.02,3.2,0.979,0,,21.63
sh.600801,nan,10.48,10.05,1.06,1.23,201872372.0,0.91,-0.38,5.22,0.985,0,,21.27
sh.600285,nan,12.21,12.03,2.28,2.51,264993531.0,0.93,-2.55,3.3,0.95,0,,18.89
sh.603882,nan,23.97,23.35,1.39,1.84,705400120.0,0.72,-3.5,6.53,0.965,0,,18.62
sh.601033,nan,8.2,8.15,1.68,2.04,269609651.0,0.83,-4.65,2.12,0.953,0,,17.05
