股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
600162,香江控股,5.36,62.49,68.55,57.18,59.71,0.0
002161,远 望 谷,6.85,21.76,26.15,14.55,16.46,-1.15
002107,沃华医药,7.23,17.2,21.72,18.52,3.2,0.0
