股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600872,中炬高新,25.74,0.9705882352941176,0.8181818181818182,67,34,33,33,32
600023,浙能电力,17.25,0.8823529411764706,0.8181818181818182,67,34,33,42,24
600956,新天绿能,27.77,0.9705882352941176,0.7878787878787878,67,34,33,36,29
601985,中国核电,8.79,1.0,0.7575757575757576,67,34,33,33,29
601952,XD苏垦农,9.32,0.9705882352941176,0.7575757575757576,67,34,33,35,32
002299,圣农发展,8.45,1.0,0.7272727272727273,67,34,33,32,33
600352,浙江龙盛,5.79,1.0,0.7272727272727273,67,34,33,30,34
600971,恒源煤电,14.29,1.0,0.7272727272727273,67,34,33,34,28
601231,环旭电子,9.99,1.0,0.7272727272727273,67,34,33,34,31
000099,中信海直,6.46,0.9705882352941176,0.7272727272727273,67,34,33,32,29
000848,承德露露,9.79,0.9705882352941176,0.7272727272727273,67,34,33,30,33
002507,涪陵榨菜,11.37,0.9705882352941176,0.7272727272727273,67,34,33,30,36
600216,浙江医药,22.41,0.9705882352941176,0.7272727272727273,67,34,33,31,34
600419,天润乳业,14.98,0.9411764705882353,0.7272727272727273,67,34,33,33,32
600674,川投能源,15.34,0.9411764705882353,0.7272727272727273,67,34,33,36,29
002020,京新药业,9.08,0.8823529411764706,0.7272727272727273,67,34,33,35,29
600827,百联股份,16.15,0.8823529411764706,0.7272727272727273,67,34,33,34,33
