股票代码,股票名称,行业
002611,东方精工,专用设备
601298,青岛港,航运港口
000598,兴蓉环境,公用事业
600548,深高速,铁路公路
603195,公牛集团,家用轻工
002073,软控股份,专用设备
601985,中国核电,电力行业
001331,胜通能源,物流行业
600663,陆家嘴,房地产开发
600060,海信视像,家电行业
601816,京沪高铁,铁路公路
001965,招商公路,铁路公路
600033,福建高速,铁路公路
600012,皖通高速,铁路公路
605277,新亚电子,消费电子
600674,川投能源,电力行业
000429,粤高速Ａ,铁路公路
