股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600397,nan,18.06,16.66,1.22,0.68,262377858.0,2.79,7.5,15.03,0.962,0,,47.67
sh.600587,nan,21.85,20.48,1.51,1.05,2074448868.0,2.14,7.48,10.8,1.0,0,,46.62
sh.603298,nan,13.2,12.41,3.6,2.8,1561857778.0,1.83,7.49,9.63,1.0,0,,45.51
sh.600019,nan,27.07,25.14,1.83,1.33,3139262606.0,1.91,7.08,10.67,1.0,0,,44.16
sh.601928,nan,17.24,16.22,1.23,0.84,675845751.0,2.25,6.75,3.73,1.0,0,,43.68
sh.600741,nan,13.4,12.53,1.65,1.19,462189732.0,1.58,9.12,14.53,0.987,0,,42.05
sh.600956,nan,7.91,7.56,1.1,0.77,209710755.0,2.24,4.77,4.49,0.995,0,,40.8
sh.601098,nan,19.05,18.21,3.43,2.87,502770978.0,1.47,5.89,9.99,1.0,0,,40.07
sh.600583,nan,5.95,5.62,1.23,0.83,359715400.0,2.07,3.3,5.87,0.993,0,,37.71
sh.601633,nan,19.69,18.5,1.39,1.11,2324242274.0,1.45,5.69,9.09,1.0,0,,36.82
sh.601898,nan,10.16,10.07,1.29,0.87,241010344.0,2.27,2.94,0.4,0.979,0,,35.73
sh.600089,nan,13.79,12.93,1.15,0.84,1435070899.0,1.8,4.08,2.45,1.0,0,,35.3
sh.600580,nan,11.89,11.42,2.22,2.16,299249344.0,1.27,7.5,1.28,0.997,0,,35.19
sh.603569,nan,10.22,9.43,2.26,2.33,591488332.0,1.16,5.36,13.43,0.978,0,,34.56
sh.603610,nan,27.65,26.78,1.62,1.07,581842718.0,1.82,1.69,8.94,0.99,0,,34.5
sh.600699,nan,5.47,5.19,1.95,1.98,684378949.0,1.07,0.18,6.42,0.98,1,电子,34.12
sh.601699,nan,13.41,12.53,1.9,1.85,841722929.0,1.22,3.63,14.42,0.973,0,,32.29
sh.600976,nan,7.85,7.71,1.15,0.81,412380574.0,1.91,0.9,3.56,0.992,0,,32.04
sh.603380,易德龙,10.36,10.02,1.07,1.33,203786820.0,0.96,0.97,4.96,0.974,1,电子,31.88
sh.601717,nan,14.87,13.99,0.95,0.83,1787520124.0,1.46,3.19,6.29,0.996,0,,31.85
sh.600398,nan,25.87,24.45,2.67,2.0,2428276746.0,1.49,2.41,4.06,0.992,0,,31.63
sh.600054,nan,21.66,20.05,1.52,1.4,402475393.0,1.36,1.45,10.74,1.0,0,,31.62
sh.601600,nan,9.16,8.53,3.06,2.91,3680455784.0,1.29,3.39,0.77,0.999,0,,31.28
sh.600256,nan,17.59,17.24,1.25,1.06,887507679.0,1.51,4.27,0.86,0.987,0,,30.96
sh.600196,nan,18.91,18.47,2.56,2.31,323969734.0,1.48,1.72,1.39,0.993,0,,29.97
sh.600529,nan,28.73,27.56,1.04,0.81,7372431513.0,1.54,0.63,6.92,0.991,0,,29.21
sh.600085,nan,25.9,24.08,1.42,1.82,510392394.0,1.04,4.65,9.7,0.962,0,,28.59
sh.603279,nan,10.25,9.79,9.87,11.69,422102908.0,0.75,-4.56,7.78,0.912,0,,25.1
sh.600971,nan,22.41,21.31,2.34,2.61,300782898.0,0.96,-1.28,11.94,0.972,0,,24.97
sh.600690,nan,23.98,22.76,0.84,0.62,1965085891.0,1.53,-2.32,6.2,0.959,0,,24.58
