日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260810,消费,14.0,中,000921,海信家电,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,000978,桂林旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,002059,云南旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,002627,三峡旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,002707,众信旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,300859,西域旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,600054,黄山旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,600749,西藏旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,603199,九华旅游,消费|白酒|食品饮料|家电
20260810,消费,14.0,中,603402,陕西旅游,消费|白酒|食品饮料|家电
20260810,物流,10.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260810,物流,10.0,观察,001872,招商港口,物流|快递|航运|港口
20260810,物流,10.0,观察,002468,申通快递,物流|快递|航运|港口
20260810,物流,10.0,观察,300013,新宁物流,物流|快递|航运|港口
20260810,物流,10.0,观察,600125,铁龙物流,物流|快递|航运|港口
20260810,物流,10.0,观察,600603,广汇物流,物流|快递|航运|港口
20260810,物流,10.0,观察,601083,锦江航运,物流|快递|航运|港口
20260810,物流,10.0,观察,601156,东航物流,物流|快递|航运|港口
20260810,物流,10.0,观察,603117,万林物流,物流|快递|航运|港口
20260810,物流,10.0,观察,603128,华贸物流,物流|快递|航运|港口
20260810,物流,10.0,观察,603565,中谷物流,物流|快递|航运|港口
20260810,物流,10.0,观察,603569,长久物流,物流|快递|航运|港口
20260810,物流,10.0,观察,603967,中创物流,物流|快递|航运|港口
20260810,农业,3.0,观察,000816,智慧农业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,000860,顺鑫农业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,001313,粤海饲料,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,002041,登海种业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,002321,华英农业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,300189,神农种业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,600313,农发种业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,600354,敦煌种业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,601288,农业银行,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,920087,秋乐种业,农业|种业|养殖|猪肉
20260810,农业,3.0,观察,920403,康农种业,农业|种业|养殖|猪肉
20260810,食品,3.0,观察,001219,青岛食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002124,天邦食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002216,三全食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002481,双塔食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002557,洽洽食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002661,克明食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002702,海欣食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002956,西麦食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,002991,甘源食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,003000,劲仔食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,300268,佳沃食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,300892,品渥食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,300908,仲景食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,300973,立高食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,301116,益客食品,食品|休闲食品|调味品|乳制品
20260810,食品,3.0,观察,603057,紫燕食品,食品|休闲食品|调味品|乳制品
