信号日期,样本数,日均毛收益率(%),日均净收益率(%),净胜率(%)
20260329,3,-1.977,-2.133,33.33
20260330,8,-2.079,-2.236,0.0
20260331,10,0.574,0.414,50.0
20260401,2,-3.65,-3.804,0.0
20260402,2,5.432,5.264,50.0
20260406,10,1.571,1.408,70.0
20260408,5,0.83,0.669,60.0
20260409,8,0.781,0.62,50.0
20260410,1,1.736,1.574,100.0
20260413,5,0.606,0.445,60.0
20260415,1,0.474,0.313,100.0
20260417,4,1.75,1.588,75.0
20260424,1,2.574,2.41,100.0
