板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,3,10,0,5,12,6.1000000000000005,12.100000000000001,+10.7
传媒,2,7,0,1,12,4.3,8.3,NEW
半导体,2,6,0,2,6,4.2,8.2,NEW
航空机场,1,6,0,0,3,5.4,7.4,NEW
机器人,1,6,0,1,6,4.5,6.5,+4.5
一带一路,1,6,0,1,6,4.5,6.5,NEW
军工,3,0,0,5,2,-1.9000000000000001,4.1,+1.1
建筑建材,1,0,0,1,0,-0.3,1.7,NEW
金融,1,0,0,1,0,-0.3,1.7,NEW
消费,5,19,3,55,83,-17.100000000000005,-7.100000000000005,-10.1
人工智能,2,9,1,44,43,-13.8,-9.8,-11.4
地产,1,3,1,43,37,-18.3,-16.3,NEW
教育,1,3,1,43,37,-18.3,-16.3,-8.4
国企改革,1,3,1,43,37,-18.3,-16.3,NEW
农业,1,3,1,43,37,-18.3,-16.3,-17.9
