股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601699,nan,10.99,10.13,1.35,0.81,262004646.0,1.86,8.06,12.46,1.0,0,,44.84
sh.600559,nan,12.55,11.65,2.48,2.1,282191328.0,1.45,10.57,9.32,1.0,0,,41.15
sh.600098,nan,19.96,18.88,2.34,2.41,308185725.0,1.17,7.37,6.97,0.997,0,,36.59
sh.601633,nan,23.19,21.39,1.01,0.89,1449776740.0,1.21,6.57,12.68,0.997,0,,36.31
sh.601857,nan,6.3,5.89,0.93,0.82,277723430.0,1.17,5.35,13.31,1.0,0,,34.84
sh.600398,nan,6.3,5.89,0.93,0.82,277723430.0,1.17,5.35,13.31,1.0,0,,34.84
sh.603218,nan,16.84,15.95,2.4,2.33,502572194.0,0.95,7.33,6.72,1.0,0,,34.48
sh.600089,nan,25.2,23.45,1.27,1.16,263991122.0,1.19,5.75,15.33,0.976,0,,34.4
sh.600258,nan,12.51,11.76,1.51,1.85,209342464.0,0.84,8.41,8.5,1.0,0,,34.15
sh.603707,nan,21.55,20.06,2.25,1.62,1322103079.0,1.23,4.16,13.75,0.982,0,,33.57
sh.601877,nan,14.16,13.33,1.09,1.39,504754547.0,0.78,7.19,15.31,0.988,0,,33.46
sh.600177,nan,19.49,18.35,1.58,2.01,276171790.0,0.8,10.55,5.69,1.0,0,,32.81
sh.600754,nan,5.72,5.3,1.12,0.94,279368471.0,0.95,3.81,14.97,1.0,0,,31.56
sh.600038,nan,22.73,21.4,0.9,0.9,247156059.0,0.91,4.36,13.88,1.0,0,,31.3
sh.600547,nan,16.15,15.13,1.54,1.38,384387327.0,1.08,5.28,5.76,0.99,0,,30.6
sh.600598,nan,18.56,17.61,0.84,0.74,618087277.0,1.06,4.45,8.28,0.996,0,,30.09
sh.600031,nan,20.55,19.33,0.89,1.05,1546477334.0,0.86,4.95,11.78,0.987,0,,29.55
sh.600557,nan,16.12,15.28,1.45,1.29,344830760.0,0.88,2.28,15.14,1.0,0,,29.48
sh.600380,nan,12.35,11.81,1.24,1.14,271773549.0,0.96,3.69,8.81,0.995,0,,28.79
sh.603515,nan,26.88,25.71,1.26,1.08,225543803.0,1.16,4.15,2.56,0.994,0,,28.71
sh.600104,nan,7.85,7.77,1.23,0.86,428650513.0,1.52,1.42,0.26,0.992,0,,27.55
sh.600426,nan,7.85,7.77,1.23,0.86,428650513.0,1.52,1.42,0.26,0.992,0,,27.55
sh.600188,nan,16.79,15.56,1.17,1.18,1564033389.0,0.94,6.94,0.32,0.965,0,,26.27
sh.600216,nan,16.79,15.56,1.17,1.18,1564033389.0,0.94,6.94,0.32,0.965,0,,26.27
sh.601872,nan,16.79,15.56,1.17,1.18,1564033389.0,0.94,6.94,0.32,0.965,0,,26.27
sh.600521,nan,16.72,16.59,2.47,2.22,615684572.0,0.94,4.43,8.5,0.948,0,,26.18
sh.601163,nan,9.57,8.94,1.76,1.76,2239509017.0,0.73,1.38,14.89,0.979,0,,25.23
sh.601101,nan,11.78,11.36,2.04,1.94,338679979.0,0.84,6.9,3.33,0.939,0,,24.88
sh.600693,nan,27.1,26.2,1.26,1.44,2146924226.0,0.92,0.22,10.16,0.979,0,,23.3
sh.600741,nan,19.52,18.4,1.31,1.1,4451945013.0,0.87,2.52,5.4,0.975,0,,23.05
