序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
45,603193,润本股份,30,20.0,10.0,0.0,0.0,0.0,0.741885092125,0.835483870968,1.041935483871,1.282
46,002244,滨江集团,29,22.0,7.0,0.0,0.0,0.0,0.818194081237,0.933586206897,1.019,1.109107142857
47,600160,巨化股份,29,21.0,8.0,0.0,0.0,0.0,0.725821909338,1.650344827586,2.084137931034,2.457857142857
48,300973,立高食品,29,19.0,10.0,0.0,0.0,0.0,1.582419712965,2.046551724138,2.463103448276,2.897857142857
49,600298,安琪酵母,29,24.0,5.0,0.0,0.0,0.0,1.525898520124,1.847137931034,2.160689655172,2.471071428571
50,000651,格力电器,29,19.0,10.0,0.0,0.0,0.0,5.74580236827,6.135172413793,6.558965517241,6.990714285714
51,300014,亿纬锂能,29,23.0,6.0,0.0,0.0,0.0,1.99223748442,2.313071428571,3.394607142857,4.317851851852
52,300308,中际旭创,29,24.0,5.0,0.0,0.0,0.0,4.654307115276,8.260821428571,11.951357142857,14.880518518519
53,601689,拓普集团,29,23.0,6.0,0.0,0.0,0.0,1.726633990449,1.922413793103,2.392310344828,2.94575
54,002223,鱼跃医疗,28,21.0,6.0,1.0,0.0,0.0,1.801239113863,2.013,2.31725,2.664925925926
55,601058,赛轮轮胎,28,22.0,6.0,0.0,0.0,0.0,1.235568773057,1.272642857143,1.519607142857,1.788407407407
56,300498,温氏股份,28,22.0,6.0,0.0,0.0,0.0,1.387213695164,1.36775,1.747607142857,2.115074074074
57,601128,常熟银行,28,19.0,9.0,0.0,0.0,0.0,1.149778292139,1.327777777778,1.482962962963,1.653076923077
58,603444,吉比特,28,21.0,7.0,0.0,0.0,0.0,13.116398056298,20.865555555556,24.102222222222,26.510769230769
59,688608,恒玄科技,28,20.0,8.0,0.0,0.0,0.0,2.729624948668,5.957785714286,8.383607142857,11.187555555556
60,600048,保利发展,28,20.0,7.0,1.0,0.0,0.0,0.417794326041,0.409392857143,0.440571428571,0.511074074074
61,688111,金山办公,28,22.0,6.0,0.0,0.0,0.0,3.551714279723,3.977896551724,4.736206896552,5.740285714286
62,689009,九号公司,28,17.0,11.0,0.0,0.0,0.0,1.511445476349,19.649571428571,26.09225,35.157925925926
63,600276,恒瑞医药,28,25.0,3.0,0.0,0.0,0.0,0.954698839125,1.291071428571,1.477107142857,1.722185185185
64,002463,沪电股份,28,23.0,5.0,0.0,0.0,0.0,1.344729235511,1.945714285714,2.589285714286,3.224074074074
65,688169,石头科技,28,19.0,9.0,0.0,0.0,0.0,7.628385401165,7.550107142857,10.239321428571,12.957518518519
66,000786,北新建材,27,17.0,10.0,0.0,0.0,0.0,2.144767810261,2.381555555556,2.750481481481,3.04476
67,002714,牧原股份,27,19.0,8.0,0.0,0.0,0.0,3.273294888317,3.834259259259,4.696222222222,5.698730769231
68,600702,舍得酒业,27,12.0,15.0,0.0,0.0,0.0,1.039114329268,1.960222222222,2.344555555556,2.814307692308
69,002372,伟星新材,27,17.0,10.0,0.0,0.0,0.0,0.598397566227,0.572222222222,0.638518518519,0.709230769231
70,600486,扬农化工,27,21.0,5.0,1.0,0.0,0.0,2.965177203621,3.436074074074,4.078296296296,4.664692307692
71,003000,劲仔食品,27,24.0,3.0,0.0,0.0,0.0,0.646107932017,0.615285714286,0.754071428571,0.884703703704
72,002475,立讯精密,27,22.0,5.0,0.0,0.0,0.0,1.835485110265,2.307777777778,2.851851851852,3.412307692308
73,600176,中国巨石,27,17.0,10.0,0.0,0.0,0.0,0.610724400578,0.858444444444,1.009333333333,1.166769230769
74,001215,千味央厨,27,14.0,13.0,0.0,0.0,0.0,0.861388735906,0.931481481481,1.075925925926,1.225384615385
75,603606,东方电缆,27,18.0,9.0,0.0,0.0,0.0,1.465951330987,2.306461538462,3.071538461538,3.68
