code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
601952,2026-09-03,2026-09-04,8.959,9.311,200,3.93,take_partial
600354,2026-09-03,2026-09-04,7.838,8.651,100,10.38,take_partial
605577,2026-09-03,2026-09-04,12.993,15.534,100,19.56,take_partial
600354,2026-09-03,2026-09-04,7.838,8.651,200,10.38,take_band
605577,2026-09-03,2026-09-04,12.993,15.534,100,19.56,take_pct
600313,2026-09-03,2026-09-07,7.077,7.792,100,10.1,take_partial
601952,2026-09-03,2026-09-07,8.959,9.62,600,7.38,take_partial_final
600313,2026-09-03,2026-09-07,7.077,7.792,300,10.1,take_band
000506,2026-09-03,2026-09-11,21.511,18.266,100,-15.08,stop_hard
600547,2026-09-03,2026-09-15,38.488,34.106,100,-11.39,max_hold
001337,2026-09-03,2026-09-15,53.163,49.261,100,-7.34,max_hold
600988,2026-09-03,2026-09-15,46.677,43.496,100,-6.81,max_hold
601988,2026-09-03,2026-09-15,6.667,6.563,800,-1.55,max_hold
601998,2026-09-03,2026-09-15,8.879,8.971,600,1.04,max_hold
