股票代码,股票名称,综合分
000004,,99.44
002808,,99.44
002898,赛隆退,99.44
600193,,99.44
600608,,99.44
605081,,99.44
300497,富祥股份,87.31
600513,联环药业,86.27
688176,亚虹医药,86.26
688166,博瑞医药,86.21
002038,双鹭药业,84.78
688765,禾元生物,83.46
000908,石药景峰,83.39
603087,甘李药业,83.39
002033,丽江股份,83.05
688321,微芯生物,82.68
301535,浙江华远,82.19
002595,豪迈科技,81.14
002932,*ST明德,81.07
000008,神州高铁,81.03
600749,西藏旅游,80.9
603239,浙江仙通,80.69
603699,纽威股份,80.47
000301,东方盛虹,79.83
002675,东诚药业,79.82
000978,桂林旅游,79.79
688221,前沿生物,79.62
603016,新宏泰,79.33
600231,凌钢股份,79.22
600479,千金药业,79.11
300970,华绿生物,78.98
002670,国盛证券,78.84
002772,众兴菌业,78.82
002899,英派斯,78.71
002470,金正大,78.65
300725,药石科技,78.55
688488,艾迪药业,78.53
301292,海科新源,78.45
600389,江山股份,78.25
300788,中信出版,78.23
