code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
300311,2026-08-06,2026-08-07,5.806,6.683,100,15.11,take_partial
603766,2026-08-06,2026-08-07,14.545,13.699,100,-5.81,stop_hard
300311,2026-08-06,2026-08-07,5.806,6.683,300,15.11,take_pct
600930,2026-08-06,2026-08-07,4.304,4.186,900,-2.75,trend_break
002342,2026-08-06,2026-08-07,8.028,8.292,500,3.28,trend_break
601975,2026-08-06,2026-08-07,3.754,3.706,400,-1.26,trend_break
603580,2026-08-06,2026-08-10,55.644,59.069,100,6.16,take_partial_final
600566,2026-08-06,2026-08-12,26.226,25.152,100,-4.1,stop_hard
601919,2026-08-06,2026-08-17,15.325,15.954,100,4.1,take_partial_final
600598,2026-08-06,2026-08-18,12.182,13.447,100,10.38,take_partial
600901,2026-08-06,2026-08-18,6.376,6.633,100,4.03,take_partial
300290,2026-08-06,2026-08-18,6.326,5.814,300,-8.1,max_hold
600598,2026-08-06,2026-08-18,12.182,13.447,100,10.38,take_band
600901,2026-08-06,2026-08-18,6.376,6.633,300,4.03,max_hold
