股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603766,nan,8.89,8.32,1.9,1.73,330316833.0,1.37,6.59,6.72,1.0,0,,36.99
sh.600989,nan,13.77,12.72,1.0,1.21,278066830.0,0.9,7.24,17.39,1.0,0,,36.55
sh.600642,nan,9.02,8.71,0.86,0.79,377466473.0,1.48,10.4,0.56,0.997,0,,35.8
sh.600741,nan,10.26,9.56,2.22,2.58,580876888.0,1.04,5.23,17.26,0.982,0,,35.36
sh.600598,nan,12.07,11.47,1.4,1.58,300213203.0,0.94,5.6,12.91,1.0,0,,33.61
sh.600031,nan,19.97,18.73,0.95,1.12,1583285312.0,0.96,5.38,12.51,1.0,0,,32.77
sh.600976,nan,5.67,5.25,1.2,1.39,299218043.0,1.02,4.61,10.31,1.0,0,,31.88
sh.601699,nan,15.96,14.94,1.24,1.37,584907809.0,1.07,6.68,1.66,1.0,0,,31.5
sh.601958,nan,27.74,27.05,0.82,1.04,292675410.0,0.85,5.88,9.73,0.994,0,,30.46
sh.600521,nan,17.41,16.6,1.52,1.64,232914835.0,1.09,3.82,6.35,1.0,0,,30.36
sh.601985,nan,13.24,12.43,1.93,2.65,813763471.0,0.8,6.6,0.91,1.0,0,,29.91
sh.601633,nan,27.23,25.42,0.95,1.32,1626183215.0,0.83,4.61,10.65,0.995,0,,29.46
sh.600415,nan,11.25,10.48,1.97,2.32,1229415189.0,1.09,3.31,11.39,0.945,0,,27.07
sh.603882,nan,18.15,17.29,0.8,0.99,572920605.0,0.88,3.42,2.25,1.0,0,,25.23
sh.600216,nan,11.71,11.29,2.81,2.98,465313449.0,0.97,5.97,1.74,0.934,0,,25.18
sh.601717,nan,13.7,12.71,1.14,1.6,507372565.0,0.7,-0.58,15.03,0.994,0,,24.39
sh.601898,nan,16.74,16.11,2.65,3.56,665846600.0,0.65,-5.05,14.74,0.95,0,,21.84
sh.603305,nan,18.72,18.33,1.58,2.62,226266621.0,0.6,-0.05,6.55,0.983,0,,20.07
sh.600559,nan,18.72,18.33,1.58,2.62,226266621.0,0.6,-0.05,6.55,0.983,0,,20.07
sh.603456,nan,14.78,14.58,3.11,3.71,406261109.0,0.75,-7.8,12.48,0.922,0,,19.44
sh.600867,nan,8.12,8.12,1.54,1.84,243007984.0,0.72,-5.36,5.45,0.944,0,,16.13
