股票代码,股票名称,综合分
688416,恒烁股份,100.0
688135,利扬芯片,100.0
688766,普冉股份,100.0
300137,先河环保,100.0
688709,成都华微,99.48
301369,联动科技,98.79
688248,南网科技,97.31
688661,和林微纳,96.96
688262,国芯科技,96.84
688733,壹石通,95.99
688261,东微半导,95.76
301306,西测测试,94.35
688699,明微电子,93.69
688332,中科蓝讯,93.57
688130,晶华微,93.09
688008,澜起科技,92.0
688175,高凌信息,91.16
300943,春晖智控,90.46
301308,江波龙,89.67
300331,苏大维格,89.14
688653,康希通信,88.75
688035,德邦科技,88.12
688582,芯动联科,87.63
002079,苏州固锝,87.61
688230,芯导科技,87.15
688419,耐科装备,87.05
300666,江丰电子,86.73
688525,佰维存储,86.71
603698,航天工程,86.51
002759,ST天际,86.17
688508,芯朋微,86.11
688372,伟测科技,85.73
688173,希荻微,85.51
300475,香农芯创,85.49
688110,东芯股份,85.48
688375,国博电子,85.43
688668,鼎通科技,85.4
688107,安路科技,85.28
002077,大港股份,85.08
688515,裕太微,84.9
