板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,2,2,0,1,8,0.09999999999999998,4.1,+1.1
石油石化,1,1,0,0,0,1.0,3.0,NEW
教育,3,5,0,15,21,-3.7,2.3,+10.2
军工,1,2,1,2,3,-0.2,1.8,-1.2
综合,2,4,1,12,10,-2.6,1.4,NEW
电力,3,3,0,14,18,-4.8,1.2000000000000002,-0.4
人工智能,2,0,0,4,8,-2.8,1.2000000000000002,-0.4
农业,2,0,1,2,6,-2.8,1.2000000000000002,-0.4
光伏,1,1,0,1,8,-0.9,1.1,NEW
汽车,1,0,0,1,5,-1.3,0.7,NEW
计算机,1,2,0,4,14,-2.0,0.0,NEW
机器人,1,2,0,10,7,-2.4,-0.3999999999999999,-2.4
建筑建材,1,2,0,10,7,-2.4,-0.3999999999999999,NEW
锂电,1,2,0,10,7,-2.4,-0.3999999999999999,NEW
新能源车,1,2,0,10,7,-2.4,-0.3999999999999999,NEW
金融,1,2,0,10,7,-2.4,-0.3999999999999999,NEW
基建市政工程,1,2,0,10,7,-2.4,-0.3999999999999999,NEW
一带一路,2,4,0,14,21,-4.4,-0.40000000000000036,NEW
