股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600721,百花医药,9.8,9.1,9.03,5.47,342577056.0,2.83,9.93,9.93,1.0,1,医药,67.45
sh.601089,福元医药,23.27,21.86,2.84,1.65,328177280.0,2.59,9.78,2.36,1.0,1,医药,58.54
sh.600056,中国医药,11.54,11.19,2.77,2.3,489271394.0,1.71,2.82,6.49,0.993,1,医药,45.74
sh.600508,上海能源,10.64,10.2,9.51,8.51,916804127.0,1.45,2.98,7.21,1.0,0,,42.79
sh.603967,中创物流,10.64,10.2,9.51,8.51,916804127.0,1.45,2.98,7.21,1.0,0,,42.79
sh.600660,福耀玻璃,14.51,14.25,1.4,1.28,201848956.0,1.12,-0.34,4.5,0.99,1,建筑建材,33.75
sh.600216,浙江医药,14.51,14.25,1.4,1.28,201848956.0,1.12,-0.34,4.5,0.99,1,医药,33.75
sh.603619,中曼石油,24.94,23.91,1.03,1.37,351057953.0,1.03,7.08,6.95,0.977,0,,31.34
sh.600256,广汇能源,5.36,5.3,1.07,1.35,373376164.0,0.71,-0.18,3.24,0.985,0,,18.6
sh.600577,精达股份,10.1,10.1,2.36,3.38,517613484.0,0.54,-8.65,6.4,0.909,0,,13.03
