板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,1,7,0,6,8,4.4,6.4,-1.7
通信,1,7,0,6,8,4.4,6.4,+6.9
农业,1,7,0,6,8,4.4,6.4,-0.1
传媒,2,7,0,10,14,2.0000000000000004,6.0,NEW
化工,2,11,0,20,35,-1.1999999999999993,2.8000000000000007,NEW
军工,2,0,0,5,1,-1.7000000000000002,2.3,+1.5
消费,1,0,0,0,2,-0.4,1.6,-8.9
教育,2,1,0,21,9,-7.1,-3.0999999999999996,NEW
半导体,1,4,0,14,27,-5.6,-3.5999999999999996,NEW
有色金属,1,4,0,14,27,-5.6,-3.5999999999999996,NEW
一带一路,1,4,0,14,27,-5.6,-3.5999999999999996,-28.7
人工智能,1,4,0,14,27,-5.6,-3.5999999999999996,-14.1
地产,1,4,0,14,27,-5.6,-3.5999999999999996,NEW
金融,1,2,0,21,14,-7.1,-5.1,-4.6
