code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600629,2025-09-15,2025-09-16,14.284,15.714,100,10.01,take_partial_final
002928,2025-09-15,2025-09-16,9.56,9.79,300,2.41,take_band
603477,2025-09-15,2025-09-18,21.974,20.657,100,-5.99,trend_break
002468,2025-09-15,2025-09-19,17.407,18.611,100,6.92,take_partial
002468,2025-09-15,2025-09-19,17.407,18.611,100,6.92,take_band
600547,2025-09-15,2025-09-23,37.077,38.761,100,4.54,take_partial_final
002707,2025-09-15,2025-09-23,8.368,7.522,400,-10.11,trend_break
601579,2025-09-15,2025-09-26,23.173,20.41,100,-11.93,trend_break
600737,2025-09-15,2025-09-29,16.547,15.754,100,-4.79,max_hold
603565,2025-09-15,2025-09-29,10.811,10.709,300,-0.94,max_hold
