股票代码,股票名称,行业
600900,长江电力,电力行业
601985,中国核电,电力行业
601158,重庆水务,公用事业
603466,风语筑,文化传媒
600757,长江传媒,文化传媒
000997,新 大 陆,互联网服务
601928,凤凰传媒,文化传媒
600027,华电国际,电力行业
