板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
建筑建材,2,3,2,3,5,1.5,5.5,NEW
航空机场,3,9,0,16,34,-0.9999999999999999,5.0,NEW
高速公路,2,9,0,16,33,-0.7999999999999999,3.2,NEW
物流,2,9,0,16,33,-0.7999999999999999,3.2,+1.8
综合,2,9,0,16,33,-0.7999999999999999,3.2,NEW
消费,1,5,0,3,16,0.9,2.9,-0.1
人工智能,1,5,0,3,16,0.9,2.9,+1.3
农业,1,5,0,3,16,0.9,2.9,+1.3
军工,2,4,0,13,17,-1.7,2.3,-0.7
基建市政工程,1,4,0,13,17,-1.7,0.30000000000000004,NEW
汽车,1,4,0,13,17,-1.7,0.30000000000000004,NEW
交通运输,1,4,0,13,17,-1.7,0.30000000000000004,NEW
金融,1,0,0,17,11,-7.3,-5.3,NEW
光伏,1,0,0,17,11,-7.3,-5.3,NEW
