date,open,high,low,close,volume,amount
2026-02-24,10.03,10.03,10.03,10.03,4148086.0,41605302.58
2026-02-25,10.5,11.03,9.88,11.03,320486311.0,3359413625.45
2026-02-26,11.04,12.13,11.04,12.13,103197871.0,1211628967.17
2026-02-27,12.76,13.34,12.54,13.34,128005862.0,1683749704.47
2026-03-02,13.35,14.5,12.55,14.14,246454913.0,3360469253.66
2026-03-03,13.89,15.55,13.16,13.28,265270195.0,3862153461.22
2026-03-04,13.3,14.61,13.3,14.26,257347463.0,3658419042.69
2026-03-05,14.3,14.94,13.51,14.44,228609424.0,3281630233.35
2026-03-06,14.04,15.88,14.03,15.88,236409603.0,3637322086.91
2026-03-09,15.0,16.77,15.0,15.95,264301341.0,4202789023.65
2026-03-10,15.96,16.28,15.31,15.81,170709773.0,2675365723.49
2026-03-11,16.1,16.65,15.53,16.59,205440096.0,3319363057.74
2026-03-12,16.23,17.88,16.2,17.16,235530496.0,4020537589.9
2026-03-13,17.16,17.52,15.44,15.44,225235048.0,3700395963.06
2026-03-16,15.0,15.34,13.9,13.9,240807591.0,3430369114.57
2026-03-17,13.8,14.39,13.3,13.9,190011858.0,2658438961.46
2026-03-18,13.88,14.53,13.86,14.22,173347132.0,2456646559.68
2026-03-19,13.88,15.02,13.88,14.9,193041134.0,2815958727.28
2026-03-20,14.5,15.66,14.16,15.22,212949669.0,3205234331.79
2026-03-23,14.96,16.52,14.81,16.21,220024312.0,3487309442.62
2026-03-24,15.79,16.99,15.3,16.9,224162326.0,3670680601.86
2026-03-25,16.66,17.7,15.6,16.07,269125869.0,4512272874.04
2026-03-26,15.6,16.05,14.58,15.04,217886509.0,3330259626.76
2026-03-27,14.98,16.54,14.62,16.54,226460978.0,3550966454.82
2026-03-30,15.5,16.1,14.89,14.89,177287172.0,2700715958.5
2026-03-31,14.16,14.58,13.72,13.72,178706687.0,2519965414.09
2026-04-01,13.36,14.25,13.0,13.85,158951396.0,2168582579.65
2026-04-02,13.86,14.12,12.6,12.66,144014116.0,1922054510.01
2026-04-03,12.84,12.98,12.15,12.63,130047863.0,1637011259.5
2026-04-07,12.4,12.7,12.31,12.57,90953197.0,1140415771.28
2026-04-08,12.7,13.15,12.57,13.1,118971029.0,1537852333.07
2026-04-09,13.0,13.41,12.72,12.8,106103007.0,1384154062.87
2026-04-10,12.99,13.35,12.63,13.21,113106667.0,1473114041.62
2026-04-13,13.38,14.5,13.29,14.41,158629835.0,2209871811.11
2026-04-14,14.87,15.85,14.7,15.06,206827193.0,3192634493.99
2026-04-15,15.06,16.57,14.2,16.57,266222299.0,4219852282.59
2026-04-16,16.41,17.68,15.75,17.06,225363194.0,3815691179.78
2026-04-17,17.28,18.09,16.47,17.08,200898919.0,3465716607.91
2026-04-20,17.32,18.79,16.89,18.79,237693087.0,4276979509.24
2026-04-21,18.78,18.85,17.0,17.1,255123854.0,4471988506.41
2026-04-22,16.88,17.9,16.4,17.5,200697669.0,3478012628.99
2026-04-23,17.7,18.46,16.42,17.97,234670027.0,4112108201.05
2026-04-24,17.49,17.89,16.5,16.75,167387621.0,2863303768.19
2026-04-27,16.3,17.16,15.92,16.39,131307429.0,2175921495.47
2026-04-28,16.09,16.9,15.66,15.73,159330255.0,2565898285.16
2026-04-29,15.3,17.3,15.11,16.93,235256115.0,3951221795.65
2026-04-30,16.2,16.3,15.24,15.24,154696499.0,2412091281.92
2026-05-06,15.02,16.66,15.02,16.4,167337240.0,2657996306.84
2026-05-07,16.61,17.0,16.31,16.76,152446336.0,2540341390.4
2026-05-08,16.71,17.12,16.22,16.41,136150078.0,2262288116.59
2026-05-11,16.76,17.56,16.52,16.81,158639457.0,2695300745.42
2026-05-12,16.81,17.46,15.73,16.98,198797782.0,3367425478.53
2026-05-13,16.98,18.67,16.8,17.76,241972103.0,4328468428.5
2026-05-14,17.72,19.4,16.81,16.82,235494075.0,4203577160.85
2026-05-15,16.01,16.3,15.14,15.19,185289442.0,2858482036.12
2026-05-18,14.7,15.36,14.51,14.72,112610927.0,1664655259.9
2026-05-19,14.57,16.19,14.38,16.19,134680818.0,2081427053.62
2026-05-20,16.56,16.64,14.8,14.88,152158716.0,2348828287.14
2026-05-21,14.88,16.37,14.61,16.37,290881578.0,4681473688.54
2026-05-22,16.0,16.16,15.1,15.76,223548833.0,3516755774.81
2026-05-25,16.01,17.3,15.8,16.92,238377110.0,3940483470.82
2026-05-26,16.51,17.05,16.1,16.55,176586456.0,2915599869.89
2026-05-27,15.0,16.33,15.0,15.74,180705554.0,2824905072.81
2026-05-28,15.66,16.52,14.76,15.69,165112679.0,2593314593.1
2026-05-29,15.47,17.11,15.25,16.37,213439640.0,3477182804.98
2026-06-01,16.4,18.01,15.09,17.65,269803509.0,4508601453.95
2026-06-02,17.13,18.88,16.43,18.25,275773304.0,4851887664.0
2026-06-03,18.2,20.08,18.03,20.08,164408239.0,3192284487.01
2026-06-04,21.65,22.09,21.02,22.09,206152136.0,4490332176.33
2026-06-05,23.01,24.04,19.88,19.88,299642076.0,6518799907.47
2026-06-08,19.87,21.5,19.0,19.6,265467874.0,5422822788.56
2026-06-09,19.58,21.56,18.23,21.56,288303691.0,5636835631.23
2026-06-10,21.01,22.35,20.36,21.17,246778476.0,5283869955.93
2026-06-11,20.7,22.4,20.31,21.21,227208272.0,4876438610.67
2026-06-12,20.8,22.2,20.2,21.8,228852412.0,4901686842.31
2026-06-15,21.3,23.49,21.02,22.7,212149059.0,4773563367.08
2026-06-16,22.68,23.8,22.05,22.06,250782411.0,5700662714.16
2026-06-17,21.86,22.94,20.8,21.76,220457552.0,4797216250.32
2026-06-18,21.4,21.78,19.58,19.85,214143270.0,4373279596.1
2026-06-22,19.18,20.41,19.0,19.81,148960748.0,2962886615.28
2026-06-23,19.41,20.48,19.01,19.72,143649612.0,2857079285.08
2026-06-24,19.53,20.55,19.35,20.52,159869740.0,3220618108.41
2026-06-25,20.14,20.55,18.47,18.6,203701620.0,3926437480.69
2026-06-26,18.01,19.36,16.8,16.81,160924028.0,2901669670.51
2026-06-29,16.97,17.12,16.07,16.67,118956717.0,1964757060.24
2026-06-30,16.38,17.2,15.8,16.61,117616887.0,1960470500.37
2026-07-01,16.77,18.0,16.35,17.43,157534870.0,2714204581.24
2026-07-02,17.28,17.81,15.7,15.71,152363458.0,2533984000.05
2026-07-03,15.69,16.16,14.74,15.77,121691392.0,1886371784.42
2026-07-06,15.65,17.16,15.5,16.51,141619896.0,2299518529.77
2026-07-07,16.24,16.66,14.86,14.98,119128860.0,1853410420.97
2026-07-08,14.84,15.29,13.88,13.91,101009886.0,1467711640.72
2026-07-09,14.13,14.19,13.49,14.1,111295316.0,1547059734.51
2026-07-10,14.07,15.17,13.87,14.32,106289785.0,1548378169.0
2026-07-13,14.06,14.26,13.36,13.47,72348255.0,991233040.0
2026-07-14,13.4,13.85,13.13,13.59,66430201.0,897308425.0
2026-07-15,13.56,14.95,13.36,14.95,141954701.0,2006496280.0
2026-07-16,14.95,15.1,13.5,13.5,144432233.0,2065297650.0
2026-07-17,13.31,14.8,13.13,13.96,169147515.0,2386962685.0
2026-07-20,13.2,15.0,12.56,14.82,194551866.0,2758015467.0
2026-07-21,14.48,14.9,13.57,14.34,171264098.0,2424969449.0
