date,open,high,low,close,volume,amount
2026-06-16,14.202,14.952,13.942,14.902,49307180.0,723556920.0
2026-06-17,14.841999999999999,14.991999999999999,14.462,14.702,30466755.0,448101400.0
2026-06-18,14.692,15.112,14.581999999999999,14.681999999999999,25047132.0,371104430.0
2026-06-22,14.681999999999999,14.862,14.331999999999999,14.841999999999999,24274097.0,354589180.0
2026-06-23,14.921999999999999,15.331999999999999,14.671999999999999,14.892,29380894.0,441599030.0
2026-06-24,14.692,14.962,14.472,14.722,17774523.0,262126780.0
2026-06-25,14.671999999999999,15.552,14.652,14.962,36206226.0,546041237.21
2026-06-26,14.792,15.632,14.681999999999999,14.882,37781241.0,576970193.0
2026-06-29,14.712,14.882,14.132,14.692,32764792.0,475074935.35
2026-06-30,14.681999999999999,15.081999999999999,14.472,15.021999999999998,25304403.0,377252946.9
2026-07-01,15.06,15.96,15.06,15.5,36513902.0,569726310.35
2026-07-02,15.19,15.38,14.63,14.7,29346686.0,441420443.09
2026-07-03,14.87,15.02,14.53,14.81,22488267.0,333916108.23
2026-07-06,14.85,15.98,14.65,14.69,32281847.0,492854044.34
2026-07-07,14.73,14.96,14.23,14.75,22901200.0,335465600.6
2026-07-08,14.74,14.78,13.81,13.84,24018049.0,338681012.85
2026-07-09,13.95,14.0,13.4,13.77,18152093.0,248809722.48
2026-07-10,13.69,14.39,13.6,13.91,23053041.0,323130616.56
2026-07-13,13.8,13.94,12.93,13.04,21635483.0,287163556.37
2026-07-14,12.96,13.16,12.51,13.14,17674033.0,227966036.52
2026-07-15,13.16,13.24,12.76,12.81,12129239.0,157097729.88
2026-07-16,12.69,13.09,12.53,12.6,13385134.0,170618323.9
2026-07-17,12.6,12.6,11.7,11.75,23497437.0,283537578.1
2026-07-20,12.0,12.18,11.35,11.55,22947983.0,269451124.44
2026-07-21,11.54,11.93,11.13,11.88,22668088.0,263509458.96
2026-07-22,11.84,11.9,11.35,11.41,16630016.0,192740658.57
2026-07-23,11.51,12.18,11.51,11.82,18712582.0,220252521.76
2026-07-24,11.5,11.74,11.26,11.26,13475647.0,154482571.73
2026-07-27,11.15,11.71,11.07,11.68,14164588.0,163276014.78
2026-07-28,11.54,11.68,11.35,11.4,13268002.0,152352644.12
2026-07-29,11.39,11.67,11.15,11.59,13325260.0,152259061.98
2026-07-30,11.46,11.73,11.17,11.22,16034569.0,182610204.2
2026-07-31,11.34,11.94,11.34,11.61,19758386.0,231091935.46
2026-08-03,11.58,12.18,11.58,12.03,18936630.0,228104822.31
2026-08-04,12.18,12.34,12.01,12.29,13704718.0,167507785.57
2026-08-05,12.29,12.57,12.23,12.5,14686097.0,182887001.97
2026-08-06,12.39,12.53,12.22,12.39,13475974.0,166962611.84
2026-08-07,12.39,12.48,12.01,12.43,15878936.0,195071680.37
2026-08-10,12.52,12.63,12.34,12.59,11724225.0,146324807.07
2026-08-11,12.66,12.72,12.35,12.4,9997704.0,124428829.56
2026-08-12,12.34,12.62,12.34,12.56,8985520.0,112846435.9
2026-08-13,12.61,12.76,12.38,12.38,10886619.0,136926318.01
2026-08-14,12.44,12.49,12.21,12.29,9557590.0,117783794.94
2026-08-17,12.26,12.69,12.13,12.66,12813478.0,160150173.97
2026-08-18,12.63,12.66,12.33,12.41,10516876.0,130884321.24
2026-08-19,12.28,12.32,11.7,11.7,13581513.0,162271401.21
2026-08-20,11.98,12.1,11.82,11.92,8565251.0,102478690.56
2026-08-21,11.86,12.06,11.72,12.02,7476892.0,89258940.52
2026-08-24,11.96,12.13,11.53,11.66,8670222.0,101907892.02
2026-08-25,11.56,11.98,11.5,11.93,9083622.0,107108632.22
2026-08-26,11.86,11.98,11.52,11.54,18138473.0,212583099.79
2026-08-27,11.96,12.4,11.91,12.28,32589288.0,397030922.55
2026-08-28,12.41,12.44,11.93,11.93,20738340.0,250886239.18
2026-08-31,11.9,12.55,11.86,12.43,30492783.0,375440146.91
2026-09-01,12.61,12.61,12.28,12.45,17104830.0,212216580.18
2026-09-02,12.31,12.39,12.09,12.13,12903772.0,156999341.14
2026-09-03,12.2,12.45,12.15,12.31,16174496.0,199110129.26
2026-09-04,12.42,13.43,12.41,13.16,43476004.0,571119060.15
