date,open,high,low,close,volume,amount
2026-05-11,33.52,33.63,32.08,32.59,64102396.0,2097081475.0
2026-05-12,32.46,32.55,31.37,31.4,60182235.0,1921747614.0
2026-05-13,31.35,32.56,30.58,32.14,64702549.0,2056604638.0
2026-05-14,32.32,32.91,30.68,30.69,63763478.0,2036106516.0
2026-05-15,30.77,31.06,29.48,29.9,63871033.0,1935442262.0
2026-05-18,28.41,28.41,27.31,27.61,95872362.0,2685529528.0
2026-05-19,27.69,28.25,27.41,27.75,52130890.0,1460627494.0
2026-05-20,27.5,27.93,26.92,27.77,43314415.0,1200944534.0
2026-05-21,27.79,28.27,27.2,27.22,38717763.0,1086924090.0
2026-05-22,27.45,27.45,26.96,27.27,31786707.0,873290088.0
2026-05-25,27.2,27.3,25.99,26.31,62351089.0,1658829783.0
2026-05-26,26.36,27.05,26.08,26.66,44096179.0,1184633608.0
2026-05-27,26.62,27.29,26.25,26.38,37297657.0,1005352869.0
2026-05-28,26.37,26.53,25.57,26.19,35885497.0,942455539.0
2026-05-29,26.52,26.69,25.66,25.87,41222673.0,1078114259.0
2026-06-01,25.9,26.95,25.89,26.35,48620046.0,1285609344.0
2026-06-02,26.35,26.4,25.36,25.63,40029472.0,1026864712.0
2026-06-03,25.5,26.16,25.24,25.59,35997495.0,926086055.0
2026-06-04,25.37,25.9,25.07,25.25,30001775.0,758688259.0
2026-06-05,25.25,26.08,25.14,25.79,41972349.0,1077636869.0
2026-06-08,25.02,25.6,24.53,24.87,37761826.0,945147599.0
2026-06-09,25.2,25.46,24.51,24.74,34800552.0,863511533.0
2026-06-10,24.43,24.63,24.1,24.2,33280527.0,807858377.0
2026-06-11,24.03,24.2,23.53,23.65,35167100.0,834929077.0
2026-06-12,23.96,24.73,23.44,23.44,79355039.0,1912257992.0
2026-06-15,24.03,24.4,23.76,24.31,58795090.0,1419465613.0
2026-06-16,24.33,24.73,23.98,24.28,41145801.0,1003807257.0
2026-06-17,24.04,24.36,23.67,24.09,34862578.0,837633470.0
2026-06-18,24.09,24.75,23.79,23.9,42289212.0,1021052338.0
2026-06-22,23.96,25.95,23.8,25.74,82543162.0,2093664377.0
2026-06-23,25.57,26.14,25.06,25.19,58183654.0,1487319881.0
2026-06-24,24.97,26.44,24.7,25.21,81018868.0,2057213583.0
2026-06-25,25.23,27.73,25.21,27.73,91936813.0,2495790627.0
2026-06-26,28.29,28.67,26.27,27.44,153408998.0,4209218376.0
2026-06-29,27.01,28.5,26.65,27.23,126790031.0,3468714618.0
2026-06-30,27.12,27.72,26.22,27.56,100373499.0,2706443835.0
2026-07-01,27.4,28.61,26.28,28.11,118656325.0,3253251621.0
2026-07-02,28.5,29.0,27.39,27.71,115419321.0,3258067838.0
2026-07-03,27.71,28.05,26.68,27.15,85924686.0,2332179894.0
2026-07-06,26.83,28.12,26.54,27.44,72050979.0,1982752836.0
2026-07-07,27.4,30.18,27.3,29.09,182487765.0,5375007210.0
2026-07-08,29.41,29.74,27.19,28.0,149364680.0,4212616022.0
2026-07-09,27.55,29.18,26.8,28.32,128052886.0,3590078379.0
2026-07-10,27.9,29.88,27.4,29.56,145541103.0,4206352830.0
2026-07-13,29.01,29.35,27.5,28.48,130297071.0,3690438894.0
2026-07-14,28.05,28.26,26.44,26.87,90791489.0,2468577937.0
2026-07-15,26.5,29.56,25.52,29.56,151030236.0,4256003148.0
2026-07-16,30.33,31.31,29.66,30.28,199108600.0,6055263801.0
2026-07-17,30.28,31.12,28.9,29.12,152929494.0,4557140489.0
2026-07-20,29.31,30.09,28.12,29.98,121713278.0,3578295648.0
2026-07-21,29.49,30.99,28.7,29.87,147363343.0,4387703556.0
2026-07-22,29.3,29.49,28.01,28.02,115122727.0,3312940177.0
2026-07-23,27.6,27.71,25.22,25.26,156407672.0,4049815212.0
2026-07-24,24.5,25.3,23.68,24.18,110968710.0,2698306798.0
2026-07-27,23.99,24.73,23.61,24.72,69441836.0,1691026054.0
2026-07-28,24.64,25.29,24.33,24.53,56128108.0,1392265020.0
2026-07-29,24.64,26.98,24.55,26.98,105722681.0,2753014269.0
