股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600582,天地科技,13.02,27.39,18.97,5251073171.0,2.74,33.81,19.78,1.0,1,人工智能,72.91
sh.600601,方正科技,5.1,15.51,5.88,1365482799.0,8.74,24.69,24.69,0.986,1,人工智能,69.36
sh.603516,淳中科技,11.04,15.75,5.53,1042006359.0,9.18,24.18,17.82,0.994,1,人工智能,67.06
sh.600520,三佳科技,13.33,9.84,5.62,5376294494.0,2.25,12.87,28.42,1.0,1,人工智能,66.4
sh.600522,中天科技,16.92,9.15,7.01,1479414658.0,1.44,9.8,33.33,1.0,1,人工智能,64.46
sh.603679,华体科技,16.22,5.76,3.48,164556030.0,2.02,11.02,20.33,1.0,1,人工智能,63.73
sh.600271,航天信息,8.78,1.32,1.25,214555916.0,1.26,6.3,2.81,0.999,3,"人工智能,低空经济,军工",63.19
sh.601778,晶科科技,23.0,15.88,10.3,580913227.0,2.27,15.81,3.05,0.985,1,人工智能,62.42
sh.603025,大豪科技,17.66,2.55,1.75,497236364.0,1.92,8.21,25.43,1.0,1,人工智能,61.8
sh.600288,大恒科技,15.64,6.23,3.71,427551263.0,2.83,7.2,5.32,0.987,1,人工智能,60.61
sh.603273,天元智能,15.34,8.02,3.78,398276018.0,3.34,17.37,10.36,1.0,1,人工智能,60.6
sh.603095,越剑智能,25.18,8.31,9.05,537771613.0,1.4,9.19,38.5,0.947,1,人工智能,60.52
sh.603601,再升科技,17.9,19.22,22.67,3958709977.0,1.05,17.76,25.53,1.0,1,人工智能,60.5
sh.603488,展鹏科技,12.17,11.94,9.56,431864357.0,1.98,6.75,15.03,0.926,1,人工智能,60.39
sh.600562,国睿科技,7.3,15.02,15.02,4189606575.0,0.88,4.89,43.42,0.984,1,人工智能,58.31
sh.603078,江化微,28.61,12.22,8.94,1295397169.0,1.95,18.57,24.45,1.0,0,,57.29
sh.603011,合锻智能,22.24,5.99,3.99,655685644.0,1.92,9.72,3.59,1.0,1,人工智能,56.62
sh.603499,翔港科技,23.07,6.9,2.69,473489304.0,4.83,12.7,4.01,1.0,1,人工智能,56.59
sh.603533,掌阅科技,27.12,8.08,6.18,958295430.0,1.76,6.98,3.27,0.994,1,人工智能,55.91
sh.600761,安徽合力,20.27,6.08,2.96,1090440243.0,3.25,11.01,13.81,1.0,0,,55.51
sh.603703,盛洋科技,14.72,3.82,3.02,234109077.0,1.49,9.44,13.23,1.0,1,人工智能,54.49
sh.603032,德新科技,26.4,8.73,7.95,512151335.0,1.31,14.38,47.49,1.0,1,人工智能,53.96
sh.600966,博汇纸业,18.25,10.74,10.11,539459777.0,1.52,20.3,27.62,1.0,0,,53.78
sh.603626,科森科技,27.62,7.87,9.12,1192976262.0,1.06,15.28,13.85,0.997,1,人工智能,52.58
sh.601107,四川成渝,17.46,4.75,2.49,1215826374.0,3.46,9.13,8.72,1.0,0,,52.56
sh.601985,中国核电,10.21,5.63,3.82,2927978419.0,2.16,12.57,23.01,1.0,0,,51.5
sh.601101,昊华能源,5.12,13.02,11.94,3943932608.0,1.13,12.28,24.88,1.0,0,,50.59
sh.603690,至纯科技,26.5,5.6,4.15,563615339.0,1.54,4.87,5.16,1.0,1,人工智能,49.57
sh.603990,麦迪科技,16.17,5.0,5.99,246262896.0,1.01,7.3,4.26,1.0,1,人工智能,48.59
sh.600461,洪城环境,17.95,2.45,1.16,173378089.0,4.1,12.75,15.36,1.0,0,,48.12
