股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603488,展鹏科技,12.42,9.59,6.45,339409949.0,2.26,8.19,24.57,1.0,1,人工智能,72.07
sh.603005,晶方科技,26.6,12.74,7.63,849774287.0,3.78,39.63,55.01,1.0,1,人工智能,66.88
sh.603636,南威软件,10.1,5.11,2.41,284768096.0,3.6,11.36,14.77,1.0,1,人工智能,65.02
sh.603626,科森科技,27.13,9.61,8.64,1419298300.0,1.51,11.33,18.78,1.0,1,人工智能,64.46
sh.600589,大位科技,11.37,16.26,11.12,2690837731.0,1.77,13.47,13.59,0.99,1,人工智能,62.14
sh.603601,再升科技,17.32,22.43,22.13,4330410092.0,1.17,15.93,23.71,1.0,1,人工智能,61.18
sh.603248,锡华科技,29.74,37.54,17.52,769562525.0,3.58,15.99,0.27,0.959,1,人工智能,61.01
sh.603162,海通发展,17.0,14.02,8.08,661325863.0,2.24,15.88,21.43,1.0,0,,58.73
sh.601778,晶科科技,7.42,17.12,16.89,4700668281.0,0.97,6.92,52.36,1.0,1,人工智能,58.35
sh.603032,德新科技,24.18,8.28,6.65,464852735.0,1.28,3.07,43.33,1.0,1,人工智能,56.05
sh.600152,维科技术,15.11,24.21,26.24,1931825815.0,1.11,5.96,59.22,0.963,1,人工智能,54.85
sh.603533,掌阅科技,27.28,7.32,4.8,869042858.0,1.66,4.24,14.19,1.0,1,人工智能,54.82
sh.603125,常青科技,23.28,2.24,3.74,209969579.0,0.93,8.38,37.02,1.0,1,人工智能,53.79
sh.600552,凯盛科技,16.58,7.56,6.57,1185575724.0,1.09,2.98,41.47,1.0,1,人工智能,53.72
sh.603305,旭升集团,17.71,2.56,1.77,189867001.0,2.03,8.65,19.34,1.0,0,,50.66
sh.603703,盛洋科技,14.31,3.51,2.67,206716390.0,1.39,4.45,18.07,1.0,1,人工智能,50.53
sh.600586,金晶科技,5.9,4.54,4.32,378429967.0,1.32,4.61,13.46,1.0,1,人工智能,50.18
sh.603327,福蓉科技,11.04,4.1,4.31,473070907.0,1.09,2.79,24.32,1.0,1,人工智能,49.79
sh.601218,吉鑫科技,6.7,8.08,9.82,523299236.0,0.93,3.24,15.52,0.974,1,人工智能,49.47
sh.600143,金发科技,17.73,2.63,1.92,1228416552.0,1.58,4.6,11.86,1.0,1,人工智能,49.09
sh.601163,三角轮胎,12.57,2.85,1.61,197082854.0,3.72,15.85,15.43,1.0,0,,48.73
sh.603042,华脉科技,21.31,12.01,7.11,404395243.0,1.63,6.98,2.75,0.913,1,人工智能,48.54
sh.600601,方正科技,12.06,5.07,5.06,2541951804.0,1.03,0.92,25.23,1.0,1,人工智能,48.2
sh.600292,电投水电,16.08,8.34,4.99,579602967.0,2.21,0.63,17.54,1.0,0,,47.67
sh.600521,华海药业,9.67,3.71,2.72,1782318541.0,1.42,7.56,25.58,1.0,0,,47.61
sh.600590,泰豪科技,17.0,5.83,5.35,841949242.0,0.79,3.79,26.21,0.966,1,人工智能,46.53
sh.600545,卓郎智能,5.01,7.63,9.21,684288363.0,0.93,1.21,37.26,0.923,1,人工智能,44.87
sh.603206,嘉环科技,17.36,2.31,1.75,121937569.0,1.55,3.21,7.09,0.99,1,人工智能,43.87
sh.601985,中国核电,10.94,5.01,5.05,796125059.0,1.3,10.62,32.77,0.928,0,,42.52
sh.603279,景津装备,19.15,2.38,2.7,263897794.0,1.34,8.07,15.02,0.995,0,,42.4
