股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600271,航天信息,5.49,4.59,2.96,278996045.0,2.58,6.19,16.31,1.0,2,"人工智能,军工",73.75
sh.600936,北投科技,5.37,10.15,9.15,904970962.0,2.34,25.76,30.02,1.0,1,人工智能,70.93
sh.600353,旭光电子,19.58,9.03,6.63,1475700123.0,1.87,10.19,30.36,1.0,1,军工,68.34
sh.600586,金晶科技,14.2,11.9,9.81,7015902452.0,1.88,19.73,40.45,0.992,1,人工智能,66.78
sh.600589,大位科技,13.56,20.95,21.2,4073452791.0,1.65,22.38,23.72,1.0,1,人工智能,65.99
sh.600184,光电股份,29.12,10.8,9.34,1813840250.0,1.63,24.44,44.95,1.0,1,军工,64.24
sh.603906,龙蟠科技,16.19,9.37,6.62,1694558076.0,1.42,16.22,47.99,1.0,2,"人工智能,新能源车",63.94
sh.600552,凯盛科技,18.2,10.51,8.83,1811173195.0,1.55,14.32,34.91,1.0,1,人工智能,62.83
sh.603890,春秋电子,21.98,10.22,9.55,967353924.0,1.32,15.99,40.54,1.0,1,军工,61.16
sh.600545,卓郎智能,6.28,13.58,10.22,1519499948.0,1.65,26.1,52.8,1.0,1,人工智能,61.03
sh.600501,航天晨光,20.95,6.53,7.43,632277255.0,1.33,11.32,22.73,0.969,1,军工,58.9
sh.600741,华域汽车,15.71,6.71,4.66,1477024879.0,1.64,3.49,14.5,1.0,1,新能源车,53.46
sh.603823,百合花,19.52,3.75,2.86,305917104.0,2.15,14.15,27.58,1.0,0,,50.61
sh.600497,驰宏锌锗,10.67,5.63,4.68,2991909424.0,1.88,14.0,29.65,1.0,0,,50.36
sh.600872,中炬高新,5.63,10.52,13.11,3443997527.0,0.99,20.04,41.81,1.0,0,,48.41
sh.600089,特变电工,29.13,7.14,5.17,10513934900.0,2.05,4.86,7.53,1.0,0,,47.14
sh.600536,中国软件,5.93,4.58,4.16,387118693.0,1.14,3.49,12.74,1.0,1,人工智能,46.55
sh.601958,金钼股份,23.38,2.35,1.77,1770242275.0,1.95,13.66,23.51,1.0,0,,46.46
sh.600879,航天电子,25.93,4.51,6.46,3848801501.0,0.83,3.02,21.57,0.968,1,军工,45.47
sh.603162,海通发展,18.65,5.37,10.17,278887368.0,0.69,14.0,32.83,1.0,0,,43.69
sh.600883,博闻科技,6.63,8.35,7.03,533140733.0,0.97,1.68,11.18,0.968,1,人工智能,42.89
sh.600237,铜峰电子,9.5,3.4,3.6,201881261.0,1.02,4.4,6.98,0.996,1,军工,42.83
sh.600110,诺德股份,11.07,9.19,9.25,1757418844.0,0.86,-3.32,12.04,0.967,1,新能源车,42.43
sh.600027,华电国际,5.39,2.07,1.7,1026035158.0,1.45,6.52,17.69,1.0,0,,42.12
sh.603936,博敏电子,24.5,2.22,2.2,172852418.0,1.1,5.24,2.51,1.0,1,军工,41.49
sh.600537,*ST亿晶,14.68,18.99,21.72,1477005645.0,0.76,-2.72,49.34,0.936,1,新能源车,41.2
sh.603993,洛阳钼业,20.99,1.91,1.8,7038669189.0,1.35,7.75,10.71,1.0,0,,39.91
sh.603268,松发股份,13.9,4.0,3.07,599910238.0,1.1,0.43,11.47,0.993,1,军工,39.83
sh.600151,航天机电,8.63,0.89,1.17,141325869.0,0.78,0.94,2.37,0.982,2,"军工,新能源车",39.59
sh.600562,国睿科技,27.46,1.21,1.14,411404827.0,1.25,-0.9,8.03,0.922,2,"人工智能,军工",39.46
