股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603690,至纯科技,28.57,15.22,8.83,1705037864.0,3.18,11.91,11.65,0.998,1,人工智能,73.29
sh.600984,建设机械,5.03,11.22,6.12,722822368.0,3.37,6.79,16.71,1.0,1,机器人,70.03
sh.603499,翔港科技,19.3,9.31,4.95,630768859.0,3.65,16.76,20.55,1.0,1,人工智能,66.27
sh.603007,顺景科技,8.37,37.29,15.44,2192149218.0,5.75,27.2,26.05,0.904,1,人工智能,65.4
sh.603382,海阳科技,25.63,8.22,10.44,289773558.0,1.53,25.95,32.32,1.0,1,人工智能,63.04
sh.600844,金煤科技,5.47,7.46,10.43,673637572.0,1.18,5.8,30.55,1.0,1,人工智能,61.54
sh.603679,华体科技,17.86,8.01,8.56,256076579.0,1.56,15.08,28.95,0.995,1,人工智能,61.33
sh.600552,凯盛科技,17.44,11.47,10.6,1924721590.0,1.46,5.51,31.92,0.953,1,人工智能,60.61
sh.603386,骏亚科技,16.92,6.82,7.46,368901414.0,1.51,17.09,19.32,1.0,1,人工智能,57.56
sh.603227,雪峰科技,27.81,3.93,2.7,161612807.0,1.99,6.76,6.31,1.0,1,人工智能,54.88
sh.603125,常青科技,25.53,2.43,1.91,251146201.0,1.1,7.54,40.43,1.0,1,人工智能,53.15
sh.600545,卓郎智能,6.32,12.09,11.9,1407869520.0,1.33,14.7,47.32,0.956,1,人工智能,52.93
sh.603767,中马传动,21.64,4.74,3.08,308446968.0,1.44,4.64,16.09,1.0,1,机器人,51.3
sh.603990,麦迪科技,16.56,6.96,5.67,350452045.0,1.3,3.89,9.23,1.0,1,人工智能,49.54
sh.600589,大位科技,12.85,16.35,20.44,3198437223.0,1.01,2.72,12.72,0.948,1,人工智能,48.39
sh.603610,麒盛科技,11.1,8.46,10.91,551175823.0,1.31,-0.09,19.23,0.947,1,人工智能,48.31
sh.603677,奇精机械,12.05,5.47,5.65,799045411.0,1.42,3.79,4.6,1.0,1,机器人,48.25
sh.600866,星湖科技,12.01,2.08,1.89,1143235846.0,1.46,6.28,18.21,0.958,1,人工智能,48.12
sh.600081,东风科技,12.94,2.6,1.89,181836258.0,1.46,1.97,15.43,1.0,1,人工智能,45.99
sh.601778,晶科科技,6.96,19.42,17.98,5128397298.0,1.16,-5.82,15.42,0.926,1,人工智能,45.37
sh.600271,航天信息,29.67,8.93,7.72,424569444.0,1.26,-0.54,20.41,0.937,1,人工智能,45.16
sh.600872,中炬高新,13.75,3.58,2.45,2692695740.0,1.81,5.93,12.06,0.991,0,,43.08
sh.601777,千里科技,12.68,3.19,2.12,162045959.0,1.78,0.48,2.34,1.0,1,人工智能,42.52
sh.603601,再升科技,16.87,13.5,18.07,2590794875.0,0.64,-5.75,18.8,0.934,1,人工智能,41.82
sh.603317,天味食品,18.65,7.93,7.88,417969344.0,0.97,2.98,34.56,0.972,0,,41.15
sh.600027,华电国际,5.34,1.99,2.18,971838045.0,1.17,4.09,16.09,0.991,0,,35.19
sh.603626,科森科技,25.55,8.08,7.15,1146969006.0,0.99,-7.76,7.17,0.922,1,人工智能,34.81
sh.603011,合锻智能,24.08,4.72,6.52,296603909.0,0.56,-6.88,34.37,0.905,1,人工智能,34.19
sh.601985,中国核电,8.84,2.16,1.74,492230529.0,0.94,4.37,19.46,0.982,0,,33.31
sh.603305,旭升集团,16.56,4.63,3.4,888336820.0,1.48,-0.6,10.03,0.994,0,,33.16
