板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,1,6,0,3,10,3.1,5.1,-2.3
低空经济,1,0,0,0,1,-0.2,1.8,-0.9
军工,2,0,2,1,1,-2.5,1.5,-0.7
光伏,1,2,0,2,13,-1.2,0.8,NEW
数字经济,2,1,1,5,18,-5.1,-1.0999999999999996,-8.5
