板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
新能源车,2,18,0,1,24,12.9,16.9,NEW
低空经济,4,6,1,5,17,0.10000000000000009,8.1,+6.3
人工智能,1,10,0,0,20,6.0,8.0,+2.9
机器人,1,10,0,0,20,6.0,8.0,NEW
军工,2,1,1,3,4,-1.7,2.3,+0.8
数字经济,1,0,0,3,6,-2.1,-0.10000000000000009,+1.0
