板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,1,7,0,0,8,5.4,7.4,+13.3
数字经济,1,7,0,0,8,5.4,7.4,NEW
机器人,2,11,0,14,24,2.0000000000000004,6.0,NEW
跨境出海,1,4,0,3,11,0.9,2.9,NEW
低空经济,2,4,0,7,16,-1.3,2.7,+4.4
军工,2,0,1,2,1,-1.8,2.2,-1.5
半导体,1,0,0,3,2,-1.3,0.7,NEW
