信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
20260401,600900,长江电力,2026-04-02,2026-04-10,26.9,26.4,26.9134,26.3868,5,-1.957,-2.114,0.157,-1.896
20260401,600886,国投电力,2026-04-02,2026-04-10,14.2,13.41,14.2071,13.4033,5,-5.658,-5.809,0.151,-5.563
