策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
relativity,20260413,002461,珠江啤酒,2026-04-14,2026-04-15,9.89,9.59,9.8949,9.5852,2,-3.13,-3.285,0.155,-3.741
relativity,20260413,600642,申能股份,2026-04-14,2026-04-15,8.71,9.14,8.7144,9.1354,2,4.832,4.664,0.168,0.0
relativity,20260413,603515,欧普照明,2026-04-14,2026-04-15,19.21,19.77,19.2196,19.7601,2,2.812,2.648,0.164,0.0
