信号日期,样本数,日均毛收益率(%),日均净收益率(%),净胜率(%)
20260401,1,0.051,-0.109,0.0
20260407,3,1.597,1.435,66.67
20260408,10,1.359,1.196,60.0
20260409,10,-2.435,-2.591,30.0
