信号日期,样本数,日均毛收益率(%),日均净收益率(%),净胜率(%)
20260401,10,-3.794,-3.947,30.0
20260403,10,4.511,4.344,80.0
20260407,10,0.788,0.627,50.0
20260408,10,0.094,-0.067,50.0
20260409,10,-1.419,-1.577,30.0
20260410,10,3.621,3.455,60.0
