板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
机器人,2,6,0,0,13,3.4,7.4,N/A
低空经济,3,2,1,3,7,-1.3,4.7,N/A
军工,2,0,0,4,2,-1.6,2.4,N/A
人工智能,1,3,0,16,14,-4.6,-2.5999999999999996,N/A
算力,1,3,0,16,14,-4.6,-2.5999999999999996,N/A
新能源车,1,3,0,16,14,-4.6,-2.5999999999999996,N/A
