板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,5,11,0,15,56,-4.7,5.3,N/A
机器人,1,10,0,5,26,3.3,5.3,N/A
军工,3,0,0,3,2,-1.3,4.7,N/A
低空经济,2,0,0,1,1,-0.5,3.5,N/A
算力,2,10,0,11,37,-0.7000000000000002,3.3,N/A
光伏,1,2,0,1,10,-0.3,1.7,N/A
跨境出海,1,2,0,1,10,-0.3,1.7,N/A
新能源车,1,0,0,1,5,-1.3,0.7,N/A
