板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,3,8,2,6,20,0.20000000000000018,6.2,N/A
机器人,2,8,2,3,17,1.7000000000000002,5.7,N/A
算力,3,14,0,23,39,-0.6999999999999993,5.300000000000001,N/A
新能源车,1,1,0,2,3,-0.2,1.8,N/A
数字经济,1,0,0,3,3,-1.5,0.5,N/A
低空经济,2,1,4,2,5,-4.6,-0.5999999999999996,N/A
军工,2,1,4,2,5,-4.6,-0.5999999999999996,N/A
