板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
通信,3,5,0,2,0,4.4,10.4,N/A
通信设备,2,5,0,2,0,4.4,8.4,N/A
电子,2,4,0,0,5,3.0,7.0,N/A
半导体,3,0,0,0,0,0.0,6.0,N/A
租赁,1,4,0,0,0,4.0,6.0,N/A
医院,1,0,0,0,0,0.0,2.0,N/A
银行,1,0,0,0,1,-0.2,1.8,N/A
汽车,3,5,0,15,36,-6.7,-0.7000000000000002,N/A
电力,3,5,2,19,22,-7.1,-1.0999999999999996,N/A
教育,3,0,0,6,27,-7.2,-1.2000000000000002,N/A
机器人,2,5,0,15,35,-6.5,-2.5,N/A
综合,3,6,2,34,52,-16.6,-10.600000000000001,N/A
