板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电池,2,2,0,1,3,1.1,5.1,N/A
燃料电池,1,2,0,1,1,1.5,3.5,N/A
电子,1,0,0,0,0,0.0,2.0,N/A
铜,1,0,0,0,1,-0.2,1.8,N/A
通信,1,0,0,0,1,-0.2,1.8,N/A
半导体,1,0,0,0,4,-0.8,1.2,N/A
汽车,3,4,0,11,30,-5.300000000000001,0.6999999999999993,N/A
银行,1,2,3,1,2,-1.7,0.30000000000000004,N/A
房地产,2,0,0,2,17,-4.0,0.0,N/A
机器人,3,4,1,12,34,-7.4,-1.4000000000000004,N/A
教育,2,0,0,6,27,-7.2,-3.2,N/A
电力,1,1,2,19,17,-10.1,-8.1,N/A
综合,3,5,2,30,45,-15.0,-9.0,N/A
