板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电子,1,0,0,0,0,0.0,2.0,N/A
教育,2,0,0,6,27,-7.2,-3.2,N/A
综合,2,1,2,19,17,-10.1,-6.1,N/A
电力,1,1,2,19,17,-10.1,-8.1,N/A
