股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603042,华脉科技,22.32,29.82,20.02,1079325998.0,2.01,10.11,10.44,0.979,1,人工智能,67.18
sh.600602,云赛智联,25.05,14.8,11.62,3946761078.0,1.68,7.83,7.1,1.0,1,数字经济,64.36
sh.600713,南京医药,5.79,5.46,3.36,405705717.0,3.27,9.66,8.22,1.0,1,医药医疗,63.47
sh.603002,宏昌电子,11.01,9.0,3.98,1113555403.0,3.46,11.89,2.13,0.997,1,军工,62.53
sh.601133,柏诚股份,22.44,33.81,24.02,1133191603.0,1.99,30.92,40.07,1.0,0,,59.9
sh.603039,泛微网络,47.5,5.33,4.83,638742485.0,2.02,9.32,7.39,1.0,1,数字经济,59.76
sh.600654,中安科,4.4,11.33,6.09,1096759667.0,4.17,31.34,22.22,1.0,0,,58.75
sh.600110,诺德股份,9.82,19.92,17.36,3358807968.0,1.52,6.51,26.87,1.0,0,,58.34
sh.603193,润本股份,25.3,11.74,9.65,301093401.0,2.43,13.76,12.05,1.0,0,,57.68
sh.600056,中国医药,11.03,6.65,5.89,1095129227.0,2.25,7.4,4.45,0.952,1,医药医疗,56.84
sh.603158,腾龙股份,12.3,13.74,7.99,822394219.0,2.38,10.22,10.41,0.961,0,,56.63
sh.603275,众辰科技,45.58,8.07,3.28,152377825.0,3.51,3.59,1.88,1.0,1,人工智能,56.21
sh.603222,济民健康,10.64,15.51,13.08,877394495.0,2.46,19.02,16.03,0.944,0,,55.41
sh.600594,益佰制药,4.6,17.87,20.49,660960073.0,1.74,16.16,14.14,0.918,1,医药医疗,54.86
sh.600641,先导基电,21.09,9.17,4.74,1754679849.0,2.72,14.74,17.23,1.0,0,,54.69
sh.603203,快克智能,42.1,3.75,2.08,380545149.0,3.08,19.98,2.81,1.0,1,人工智能,54.45
sh.603248,锡华科技,31.0,34.0,30.33,723781698.0,1.32,13.39,31.58,0.909,1,人工智能,54.1
sh.601208,东材科技,33.34,6.36,5.17,2127133661.0,1.68,13.59,6.21,1.0,1,人工智能,51.57
sh.600613,神奇制药,6.5,6.44,8.09,201855870.0,1.35,7.44,1.09,0.977,1,医药医疗,51.17
sh.603186,华正新材,70.87,12.16,7.69,1325897714.0,2.38,18.31,0.1,1.0,0,,50.58
sh.603122,合富中国,19.87,23.66,21.61,1912911768.0,1.83,14.46,16.81,0.95,0,,50.02
sh.600487,亨通光电,58.56,7.98,6.61,11309217308.0,1.4,11.2,17.14,0.998,0,,49.93
sh.603123,翠微股份,13.33,18.14,7.66,1580158393.0,5.83,21.96,0.98,0.961,0,,49.15
sh.603118,共进股份,13.96,11.08,9.09,1197750909.0,1.43,6.08,10.79,1.0,0,,49.0
sh.600743,华远控股,2.19,5.94,2.0,299411868.0,7.81,13.47,12.31,1.0,0,,48.9
sh.600664,哈药股份,3.74,8.83,4.84,844963949.0,3.9,6.25,4.18,0.966,0,,48.87
sh.600791,京能置业,12.55,8.63,6.66,485039771.0,1.84,29.38,53.24,1.0,0,,47.94
sh.603239,浙江仙通,25.63,4.82,3.25,333018915.0,2.17,7.28,10.76,0.979,0,,47.86
sh.600105,永鼎股份,33.23,10.51,12.32,5002986718.0,1.17,19.79,18.05,1.0,0,,47.42
sh.601811,新华文轩,14.48,1.55,0.6,174932525.0,4.31,7.1,5.85,1.0,0,,47.33
