代码,名称,上市日期,累计股息,年均股息,分红次数,融资总额,融资次数
600512,腾达建设,2002-12-26,27.3,1.19,18,38.6643,3
603444,吉比特,2017-01-04,27.3,3.04,12,8.9972,1
603766,隆鑫通用,2012-08-10,27.3,2.1,13,4.8709,1
002658,雪迪龙,2012-03-09,27.2,2.09,15,6.495,1
600167,联美控股,1999-01-28,27.2,1.01,13,38.4288,1
600684,珠江股份,1993-10-28,27.2,0.85,17,0.0,0
600845,宝信软件,1994-03-11,27.2,0.88,42,17.8777,2
600908,无锡银行,2016-09-23,27.2,3.02,9,27.8734,2
000975,山金国际,2000-06-08,27.1,1.08,20,0.0,0
002061,浙江交科,2006-08-16,27.1,1.43,12,24.1717,4
002202,金风科技,2007-12-26,27.1,1.51,19,58.7643,3
002626,金达威,2011-10-28,27.1,1.94,14,14.0978,2
600340,华夏幸福,2003-12-30,27.1,1.23,13,68.9364,1
600531,豫光金铅,2002-07-30,27.1,1.18,22,21.0071,2
600583,海油工程,2002-02-05,27.1,1.13,22,64.5667,2
603198,迎驾贡酒,2015-05-28,27.1,2.71,11,8.83,1
002597,金禾实业,2011-07-07,27.0,1.93,14,6.7684,1
002690,美亚光电,2012-07-31,27.0,2.07,13,8.0584,1
600298,安琪酵母,2000-08-18,27.0,1.08,25,21.9098,2
601336,新华保险,2011-12-16,27.0,1.93,15,35.941,1
600201,生物股份,1999-01-15,26.9,1.0,23,12.2398,1
600312,平高电气,2001-02-21,26.9,1.12,22,69.8255,3
600643,爱建集团,1993-04-26,26.9,0.84,18,42.5611,2
600875,东方电气,1995-10-10,26.9,0.9,22,104.1379,3
600895,张江高科,1996-04-22,26.9,0.93,25,25.372,1
000582,北部湾港,1995-11-02,26.8,0.89,16,78.5357,3
600332,白云山,2001-02-06,26.8,1.07,26,78.6345,1
601360,三六零,2012-01-16,26.8,1.91,18,54.7264,2
603037,凯众股份,2017-01-20,26.8,2.97,9,2.8401,1
603166,福达股份,2014-11-27,26.8,2.44,12,15.1534,3
603706,东方环宇,2018-07-09,26.8,3.83,7,8.2684,2
000046,*ST泛海,1994-09-12,26.7,0.92,21,76.2951,2
000544,中原环保,1993-12-08,26.7,0.83,12,10.915,1
000553,安道麦A,1993-12-03,26.7,0.84,27,15.3192,1
002687,乔治白,2012-07-13,26.7,2.06,11,5.3429,1
600063,皖维高新,1997-05-28,26.7,0.95,20,27.0687,5
000563,陕国投A,1994-01-10,26.6,0.83,26,110.0287,4
002415,海康威视,2010-05-28,26.6,1.77,16,33.3752,1
002534,西子洁能,2011-01-10,26.6,1.78,15,10.3097,1
600723,首商股份,1996-07-16,26.6,1.06,13,0.0,0
601872,招商轮船,2006-12-01,26.6,1.4,19,128.0,4
002556,辉隆股份,2011-03-02,26.5,1.89,16,14.1045,2
600638,新黄浦,1993-03-26,26.5,0.83,21,0.0,0
600926,杭州银行,2016-10-27,26.4,2.93,10,107.4221,2
000032,深桑达A,1993-10-28,26.3,0.82,29,10.0041,1
000089,深圳机场,1998-04-20,26.3,0.98,21,0.0,0
000822,山东海化,1998-07-03,26.3,0.97,17,0.0,0
002274,华昌化工,2008-09-25,26.3,1.55,13,18.1531,3
002839,张家港行,2017-01-24,26.3,2.92,9,7.34,1
600105,永鼎股份,1997-09-29,26.3,0.94,19,1.5571,1
601992,金隅集团,2011-03-01,26.3,1.88,15,74.1262,2
000421,南京公用,1996-08-06,26.2,0.9,21,2.5464,1
000520,凤凰航运,1993-10-25,26.2,0.82,14,0.0,0
000963,华东医药,2000-01-27,26.2,1.01,23,34.6845,1
002271,东方雨虹,2008-09-10,26.2,1.54,18,99.0571,4
600037,歌华有线,2001-02-08,26.2,1.05,24,32.835,1
600246,万通发展,2000-09-22,26.2,1.05,20,50.1099,2
600686,金龙汽车,1993-11-08,26.2,0.82,25,22.7539,3
002911,佛燃能源,2017-11-22,26.1,3.26,9,7.1488,1
600010,包钢股份,2001-03-09,26.1,1.09,18,354.532,2
002150,通润装备,2007-08-10,26.0,1.44,17,5.9562,2
002215,诺普信,2008-02-18,26.0,1.53,17,11.6055,3
002736,国信证券,2014-12-29,26.0,2.36,11,216.2182,2
601001,晋控煤业,2006-06-23,26.0,1.37,12,18.2906,1
000031,大悦城,1993-10-08,25.9,0.81,22,37.3195,2
601618,中国中冶,2009-09-21,25.9,1.62,13,245.3249,2
002294,信立泰,2009-09-10,25.8,1.62,15,30.7274,2
600283,钱江水利,2000-10-18,25.8,1.03,19,12.915,2
600588,用友网络,2001-05-18,25.8,1.07,22,68.7368,2
601678,滨化股份,2010-02-23,25.8,1.72,16,19.76,1
603165,荣晟环保,2017-01-17,25.8,2.87,9,2.948,1
600995,南网储能,2004-06-15,25.7,1.22,21,79.4948,1
002287,奇正藏药,2009-08-28,25.6,1.6,17,4.512,1
002532,天山铝业,2010-12-31,25.6,1.71,16,55.7139,2
600166,福田汽车,1998-06-02,25.6,0.95,19,142.4673,5
600328,中盐化工,2000-12-22,25.6,1.03,22,34.7474,3
600346,恒力石化,2001-08-20,25.6,1.07,14,91.9422,4
600618,氯碱化工,1992-11-13,25.6,0.77,30,0.0,0
601788,光大证券,2009-08-18,25.6,1.6,18,186.7864,2
603877,太平鸟,2017-01-09,25.6,2.84,9,10.8063,1
002051,中工国际,2006-06-19,25.5,1.34,18,16.8896,2
600740,山西焦化,1996-08-08,25.5,0.88,14,31.0724,3
601916,浙商银行,2019-11-26,25.5,4.25,5,221.5975,2
600406,国电南瑞,2003-10-16,25.4,1.15,22,67.8004,2
603128,华贸物流,2012-05-29,25.4,1.95,15,17.7053,2
000823,超声电子,1997-10-08,25.3,0.9,24,11.1223,2
002062,宏润建设,2006-08-16,25.3,1.33,18,7.336,2
601238,广汽集团,2012-03-29,25.3,1.94,27,149.144,1
000612,焦作万方,1996-09-26,25.2,0.87,18,17.4568,1
000915,华特达因,1999-06-09,25.2,0.97,16,0.0,0
600268,国电南自,1999-11-18,25.2,0.97,26,13.2814,3
600486,扬农化工,2002-04-25,25.2,1.1,22,7.0104,2
601588,北辰实业,2006-10-16,25.2,1.33,17,35.1634,1
000524,岭南控股,1993-11-18,25.1,0.79,13,14.6638,1
000878,云南铜业,1998-06-02,25.1,0.93,15,115.588,4
002244,滨江集团,2008-05-29,25.1,1.47,17,38.9022,2
002932,明德生物,2018-07-10,25.1,3.59,11,7.7249,2
600529,山东药玻,2002-06-03,25.1,1.09,24,27.9755,3
000598,兴蓉环境,1996-05-29,25.0,0.86,21,36.7966,2
600128,苏豪弘业,1997-09-01,25.0,0.89,26,5.046,1
600558,大西洋,2001-02-27,25.0,1.04,24,6.4209,1
600628,新世界,1993-01-19,25.0,0.76,23,13.0367,1
603115,海星股份,2019-08-09,25.0,4.17,6,11.4769,2
002376,新北洋,2010-03-23,24.9,1.66,16,15.5479,3
300230,永利股份,2011-06-15,24.9,1.78,12,16.0213,2
600279,重庆港,2000-07-31,24.9,1.0,25,11.7338,1
600452,涪陵电力,2004-03-03,24.9,1.19,17,17.6175,1
601825,沪农商行,2021-08-19,24.9,6.22,6,85.2888,1
603279,景津装备,2019-07-29,24.9,4.15,8,4.8549,1
002060,广东建工,2006-08-10,24.8,1.31,19,34.3778,4
600369,西南证券,2001-01-09,24.8,0.99,19,150.8041,3
601116,三江购物,2011-03-02,24.8,1.77,15,21.1489,2
601298,青岛港,2019-01-21,24.8,3.54,7,19.7893,1
603868,飞科电器,2016-04-18,24.8,2.76,10,7.2773,1
603967,中创物流,2019-04-29,24.8,4.13,7,9.193,1
002615,哈尔斯,2011-09-09,24.7,1.77,14,3.6413,1
002705,新宝股份,2014-01-21,24.7,2.06,12,25.6306,3
600087,退市长油,1997-06-12,24.7,1.45,12,29.9408,2
600834,申通地铁,1994-02-24,24.7,0.8,30,0.0,0
002632,道明光学,2011-11-22,24.6,1.76,15,11.2588,3
300200,高盟新材,2011-04-07,24.6,1.76,13,8.4208,2
600803,新奥股份,1994-01-03,24.6,0.77,15,59.2519,3
603757,大元泵业,2017-07-11,24.6,3.07,10,4.3173,1
600616,金枫酒业,1992-09-29,24.5,0.74,27,5.6364,1
000301,东方盛虹,2000-05-29,24.4,0.97,20,76.3791,2
000759,中百集团,1997-05-19,24.4,0.87,22,10.2762,2
000852,石化机械,1998-11-26,24.4,0.9,15,27.7287,2
600182,S佳通,1999-05-07,24.4,0.94,16,0.0,0
600498,烽火通信,2001-08-23,24.4,1.02,24,34.7952,4
600851,海欣股份,1994-04-04,24.4,0.79,48,0.0,0
600866,星湖科技,1994-08-18,24.4,0.79,12,8.7823,3
603277,银都股份,2017-09-11,24.4,3.05,11,7.4466,1
002078,太阳纸业,2006-11-16,24.3,1.28,19,31.6705,3
601789,宁波建工,2011-08-16,24.3,1.73,14,7.4549,2
603366,日出东方,2012-05-21,24.3,1.87,12,20.2758,1
002536,飞龙股份,2011-01-11,24.2,1.61,16,21.2067,3
002612,朗姿股份,2011-08-30,24.2,1.73,16,16.9369,2
600436,片仔癀,2003-06-16,24.2,1.1,23,7.519,1
600580,卧龙电驱,2002-06-06,24.2,1.05,23,27.6457,3
600976,健民集团,2004-04-19,24.2,1.15,18,0.0,0
603558,健盛集团,2015-01-27,24.2,2.2,12,15.0488,3
002662,峰璟股份,2012-03-09,24.1,1.85,11,14.3214,1
600825,新华传媒,1994-02-04,24.1,0.75,22,0.0,0
601128,常熟银行,2016-09-30,24.1,2.68,9,9.1118,1
601555,东吴证券,2011-12-12,24.1,1.72,15,253.915,5
603323,苏农银行,2016-11-29,24.1,2.68,9,7.1647,1
300121,阳谷华泰,2010-09-17,24.0,1.6,15,11.5659,3
600299,安迪苏,2000-04-20,24.0,0.96,19,23.1082,2
600400,红豆股份,2001-01-08,24.0,0.96,24,25.6045,2
600693,东百集团,1993-11-22,24.0,0.75,14,6.4009,1
603968,醋化股份,2015-05-18,24.0,2.4,9,4.5917,1
002434,万里扬,2010-06-18,23.9,1.59,13,27.0039,2
002966,苏州银行,2019-08-02,23.9,3.98,7,25.7031,1
600571,信雅达,2002-11-01,23.9,1.04,17,0.4901,1
600880,博瑞传播,1995-11-15,23.9,0.8,26,12.8493,2
002317,众生药业,2009-12-11,23.8,1.49,17,26.1586,3
002559,亚威股份,2011-03-03,23.8,1.7,15,8.5843,2
600315,上海家化,2001-03-15,23.8,0.99,24,0.0,0
002081,金螳螂,2006-11-20,23.7,1.25,18,15.8736,2
600888,新疆众和,1996-02-15,23.7,0.79,25,40.7543,4
601117,中国化学,2010-01-07,23.7,1.48,14,165.2973,2
000650,仁和药业,1996-12-10,23.6,0.81,15,18.7109,3
002706,良信股份,2014-01-21,23.6,1.97,12,23.7355,3
002774,快意电梯,2017-03-24,23.6,2.95,8,4.616,1
000767,晋控电力,1997-06-09,23.5,0.84,12,46.9637,3
002661,克明食品,2012-03-16,23.5,1.81,14,16.7336,3
600138,中青旅,1997-12-03,23.5,0.84,23,17.1787,2
600415,小商品城,2002-05-09,23.5,1.02,18,0.0,0
603920,世运电路,2017-04-26,23.5,2.94,8,30.3449,2
002010,传化智联,2004-06-29,23.4,1.11,20,48.3115,2
002328,新朋股份,2009-12-30,23.4,1.46,18,13.836,1
002734,利民股份,2015-01-27,23.4,2.13,12,9.672,2
600549,厦门钨业,2002-11-07,23.4,1.02,23,71.2281,3
600802,福建水泥,1994-01-03,23.4,0.73,17,0.0,0
601700,风范股份,2011-01-18,23.4,1.56,14,18.5135,1
603589,口子窖,2015-06-29,23.4,2.34,10,8.9137,1
603611,诺力股份,2015-01-28,23.4,2.13,10,5.5364,2
000404,长虹华意,1996-06-19,23.3,0.8,15,17.0071,2
002351,漫步者,2010-02-05,23.3,1.45,17,11.6455,1
002651,利君股份,2012-01-06,23.3,1.66,15,9.776,1
600054,黄山旅游,1997-05-06,23.3,0.83,43,7.8906,2
600993,马应龙,2004-05-17,23.3,1.11,22,0.0,0
000680,山推股份,1997-01-22,23.2,0.8,19,15.5807,3
300099,尤洛卡,2010-08-06,23.2,1.55,16,10.2229,3
600116,三峡水利,1997-08-04,23.2,0.83,22,17.0804,3
600477,杭萧钢构,2003-11-10,23.2,1.05,20,14.5684,3
600489,中金黄金,2003-08-14,23.2,1.05,21,97.4862,4
603357,设计总院,2017-08-01,23.2,2.9,8,7.9692,1
600456,宝钛股份,2002-04-12,23.1,1.0,23,42.4226,3
002332,仙琚制药,2010-01-12,23.0,1.43,15,25.0536,3
002393,力生制药,2010-04-23,23.0,1.53,15,20.0001,1
600125,铁龙物流,1998-05-11,23.0,0.85,21,6.8221,1
601311,骆驼股份,2011-06-02,23.0,1.64,14,14.7824,1
002595,豪迈科技,2011-06-28,22.9,1.63,15,11.5194,1
600301,华锡有色,2000-07-12,22.9,0.91,12,8.6823,2
600559,老白干酒,2002-10-29,22.9,0.99,20,10.9246,2
603013,亚普股份,2018-05-09,22.9,3.27,8,6.1198,1
603088,宁波精达,2014-11-11,22.9,2.08,11,3.1439,2
603866,桃李面包,2015-12-22,22.9,2.29,11,12.8446,2
000997,新大陆,2000-08-07,22.8,0.91,21,19.7772,2
600521,华海药业,2003-03-04,22.8,1.04,22,25.0013,4
601377,兴业证券,2010-10-13,22.8,1.52,16,285.3305,4
601965,中国汽研,2012-06-11,22.8,1.76,14,15.1051,1
002790,瑞尔特,2016-03-08,22.7,2.52,11,6.155,1
002811,郑中设计,2016-09-08,22.7,2.52,9,5.6201,1
601058,赛轮轮胎,2011-06-30,22.7,1.62,15,49.9088,5
603017,中衡设计,2014-12-31,22.7,2.06,10,9.9057,2
603239,浙江仙通,2016-12-30,22.7,2.52,9,4.4639,1
