成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-08-12 15:00:00,601128,常熟银行,7.88,296690,233.79,买盘,-0.38%,-0.03
2025-08-12 15:00:00,688125,安达智能,43.89,11560,50.74,买盘,-2.38%,-1.04
2025-08-12 15:00:00,603176,汇通集团,7.21,169100,121.92,卖盘,-1.64%,-0.12
2025-08-12 15:00:00,688221,前沿生物,18.42,51825,95.46,卖盘,-2.54%,-0.47
2025-08-12 15:00:00,688325,赛微微电,62.0,18196,112.82,买盘,0.00%,0.0
2025-08-12 15:00:00,600439,瑞贝卡,3.12,202600,63.21,卖盘,-1.27%,-0.04
2025-08-12 15:00:00,300708,聚灿光电,13.2,77200,101.9,买盘,-0.97%,-0.13
2025-08-12 15:00:00,300502,新易盛,204.9,3200,65.57,买盘,6.23%,12.76
2025-08-12 15:00:00,300066,三川智慧,7.0,129008,90.31,卖盘,-3.18%,-0.22
2025-08-12 15:00:00,600666,奥瑞德,4.18,224000,93.63,买盘,0.48%,0.02
2025-08-12 15:00:00,603966,法兰泰克,11.07,200000,221.4,卖盘,-0.81%,-0.09
2025-08-12 15:00:00,600010,包钢股份,2.51,450300,113.03,卖盘,-2.33%,-0.06
2025-08-12 15:00:00,601231,环旭电子,17.22,78000,134.32,买盘,-1.88%,-0.32
2025-08-12 15:00:00,600221,海航控股,1.52,990000,150.48,卖盘,-0.65%,-0.01
2025-08-12 15:00:00,601186,中国铁建,8.2,202200,165.8,买盘,-0.36%,-0.03
2025-08-12 15:00:00,600557,康缘药业,17.65,63600,112.25,卖盘,1.09%,0.19
2025-08-12 15:00:00,601108,财通证券,8.25,285744,235.74,卖盘,0.12%,0.01
2025-08-12 15:00:00,301678,新恒汇,88.69,7900,70.07,卖盘,1.09%,0.97
2025-08-12 15:00:00,301678,新恒汇,88.69,6700,59.42,卖盘,1.09%,0.97
2025-08-12 15:00:00,301678,新恒汇,88.69,24700,219.06,买盘,1.09%,0.97
2025-08-12 15:00:00,301678,新恒汇,88.69,8300,73.61,买盘,1.09%,0.97
2025-08-12 15:00:00,301662,宏工科技,101.93,5800,59.12,买盘,0.15%,0.15
2025-08-12 15:00:00,302132,中航成飞,85.62,10400,89.04,卖盘,0.58%,0.49
2025-08-12 15:00:00,302132,中航成飞,85.62,45600,390.43,卖盘,0.58%,0.49
2025-08-12 15:00:00,302132,中航成飞,85.62,9500,81.34,卖盘,0.58%,0.49
2025-08-12 15:00:00,302132,中航成飞,85.62,15000,128.43,卖盘,0.58%,0.49
2025-08-12 15:00:00,302132,中航成飞,85.62,19600,167.82,卖盘,0.58%,0.49
2025-08-12 15:00:00,301658,首航新能,35.6,50300,179.07,买盘,2.77%,0.99
2025-08-12 15:00:00,302132,中航成飞,85.62,27300,233.74,卖盘,0.58%,0.49
2025-08-12 15:00:00,301658,首航新能,35.6,34400,122.46,卖盘,2.77%,0.99
2025-08-12 15:00:00,301658,首航新能,35.6,23500,83.66,卖盘,2.77%,0.99
2025-08-12 15:00:00,301600,慧翰股份,118.19,6600,78.01,买盘,-3.50%,-4.13
2025-08-12 15:00:00,301600,慧翰股份,118.19,5500,65.0,买盘,-3.50%,-4.13
2025-08-12 15:00:00,301600,慧翰股份,118.19,13200,156.01,买盘,-3.50%,-4.13
2025-08-12 15:00:00,301592,六九一二,158.7,4700,74.59,卖盘,-2.87%,-4.55
2025-08-12 15:00:00,301571,国科天成,48.82,10500,51.26,买盘,-1.97%,-0.96
2025-08-12 15:00:00,301616,浙江华业,50.91,67200,342.12,卖盘,-4.84%,-2.46
2025-08-12 15:00:00,301616,浙江华业,50.91,39100,199.06,卖盘,-4.84%,-2.46
2025-08-12 15:00:00,301616,浙江华业,50.91,23800,121.17,卖盘,-4.84%,-2.46
