名称/代码,涨跌幅,综合热度
长城军工,+8.03%,2577000
中国船舶,+1.64%,1318000
福日电子,+10.03%,1039000
金发科技,-1.20%,898000
中国重工,+1.80%,866000
江特电机,+10.02%,866000
创新医疗,+9.99%,698000
天齐锂业,+2.16%,695000
比亚迪,+0.14%,637000
东方财富,+0.80%,575000
际华集团,-7.37%,532000
盛和资源,-5.09%,524000
