股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
002461,珠江啤酒,1.0,0.75,63,35,28,34,28
600642,申能股份,0.9714285714285714,0.7142857142857143,63,35,28,35,24
603515,欧普照明,0.9714285714285714,0.7142857142857143,63,35,28,29,33
601006,大秦铁路,1.0,0.6785714285714286,63,35,28,31,27
601928,凤凰传媒,1.0,0.6785714285714286,63,35,28,27,31
001286,陕西能源,0.9714285714285714,0.6785714285714286,63,35,28,37,26
600750,华润江中,0.9714285714285714,0.6785714285714286,63,35,28,31,32
603075,热威股份,0.9714285714285714,0.6785714285714286,63,35,28,38,25
001289,龙源电力,0.9428571428571428,0.6785714285714286,63,35,28,37,26
605319,无锡振华,0.9428571428571428,0.6785714285714286,63,35,28,41,21
000848,承德露露,1.0,0.6428571428571429,63,35,28,29,31
600007,中国国贸,1.0,0.6428571428571429,63,35,28,33,28
600188,兖矿能源,0.8285714285714286,0.6428571428571429,63,35,28,31,30
002508,老板电器,1.0,0.6071428571428571,63,35,28,26,35
002832,比音勒芬,1.0,0.6071428571428571,63,35,28,32,28
002003,伟星股份,0.9714285714285714,0.6071428571428571,63,35,28,32,29
002007,华兰生物,0.9714285714285714,0.6071428571428571,63,35,28,27,36
600741,华域汽车,0.9714285714285714,0.6071428571428571,63,35,28,30,33
601633,长城汽车,0.9714285714285714,0.6071428571428571,63,35,28,29,34
601101,昊华能源,0.9428571428571428,0.6071428571428571,63,35,28,34,26
601107,四川成渝,0.9428571428571428,0.6071428571428571,63,35,28,31,30
603317,天味食品,0.9428571428571428,0.6071428571428571,63,35,28,34,28
605377,华旺科技,0.9428571428571428,0.6071428571428571,63,35,28,29,32
