股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600062,华润双鹤,1.0,0.75,65,37,28,35,27
000828,东莞控股,0.972972972972973,0.7142857142857143,65,37,28,32,32
600642,申能股份,0.972972972972973,0.7142857142857143,65,37,28,37,24
601033,永兴股份,0.972972972972973,0.7142857142857143,65,37,28,32,31
603515,欧普照明,0.972972972972973,0.7142857142857143,65,37,28,31,33
600535,天士力,1.0,0.6785714285714286,65,37,28,30,32
601006,大秦铁路,1.0,0.6785714285714286,65,37,28,32,28
601928,凤凰传媒,1.0,0.6785714285714286,65,37,28,29,31
001286,陕西能源,0.972972972972973,0.6785714285714286,65,37,28,38,27
600750,华润江中,0.972972972972973,0.6785714285714286,65,37,28,33,32
603075,热威股份,0.972972972972973,0.6785714285714286,65,37,28,40,25
001289,龙源电力,0.945945945945946,0.6785714285714286,65,37,28,38,27
605319,无锡振华,0.945945945945946,0.6785714285714286,65,37,28,42,22
000848,承德露露,1.0,0.6428571428571429,65,37,28,30,32
000999,华润三九,1.0,0.6428571428571429,65,37,28,28,36
600007,中国国贸,1.0,0.6428571428571429,65,37,28,35,28
601985,中国核电,1.0,0.6428571428571429,65,37,28,30,34
600188,兖矿能源,0.8378378378378378,0.6428571428571429,65,37,28,31,32
002832,比音勒芬,1.0,0.6071428571428571,65,37,28,33,29
002003,伟星股份,0.972972972972973,0.6071428571428571,65,37,28,34,29
002007,华兰生物,0.972972972972973,0.6071428571428571,65,37,28,29,36
600741,华域汽车,0.972972972972973,0.6071428571428571,65,37,28,30,35
601633,长城汽车,0.972972972972973,0.6071428571428571,65,37,28,29,36
601107,四川成渝,0.945945945945946,0.6071428571428571,65,37,28,33,30
603317,天味食品,0.945945945945946,0.6071428571428571,65,37,28,34,30
605377,华旺科技,0.945945945945946,0.6071428571428571,65,37,28,30,33
