股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600249,两面针,7.14,23.28,8.43,945112386.0,7.73,26.6,24.83,1.0,0,,63.36
sh.600207,安彩高科,7.1,10.79,10.06,839702864.0,1.48,7.9,27.47,0.993,0,,57.57
sh.600250,南京商旅,13.74,16.63,16.82,725259883.0,1.43,10.18,25.82,0.978,0,,57.1
sh.600222,太龙药业,7.47,8.2,4.98,351655717.0,2.41,9.21,4.62,0.995,0,,53.16
sh.600110,诺德股份,9.34,15.88,16.67,2504704973.0,1.48,18.68,19.13,1.0,0,,52.45
sh.600105,永鼎股份,30.29,15.04,11.6,6791504822.0,1.87,19.3,7.83,0.993,0,,51.13
sh.600195,中牧股份,8.12,5.34,1.75,439262994.0,5.25,10.63,3.7,0.996,0,,49.61
sh.600127,金健米业,7.47,8.89,9.33,425652193.0,1.31,11.99,6.71,0.995,0,,47.58
sh.600158,中体产业,11.59,10.42,10.69,1171029512.0,1.18,7.71,14.75,0.967,0,,47.51
sh.600428,中远海特,9.6,3.93,3.08,920833112.0,1.68,9.22,14.01,1.0,0,,46.79
sh.600066,宇通客车,38.25,2.35,1.98,1972884316.0,1.85,16.97,23.07,1.0,0,,45.49
sh.600196,复星医药,27.06,1.51,1.37,870021748.0,1.53,7.0,7.25,1.0,0,,38.82
sh.600351,亚宝药业,6.73,3.28,3.09,153341406.0,1.48,6.49,3.86,0.994,0,,38.04
sh.600056,中国医药,10.54,1.55,1.0,244745905.0,1.92,5.61,1.54,0.995,0,,37.85
sh.600186,莲花控股,7.08,11.36,13.55,1452176017.0,0.82,0.71,22.92,0.958,0,,37.84
sh.600276,恒瑞医药,57.37,1.2,1.3,4415860425.0,1.28,11.12,6.79,0.994,0,,36.62
sh.600252,中恒集团,2.61,2.35,1.72,194230309.0,1.58,6.53,3.98,0.985,0,,36.56
sh.600211,西藏药业,42.97,1.58,1.18,218403607.0,1.47,8.29,4.55,0.972,0,,35.43
sh.600129,太极集团,16.88,1.89,1.97,175973043.0,1.31,7.31,2.24,0.995,0,,35.23
sh.600267,海正药业,10.74,1.16,1.2,149516334.0,1.08,8.81,7.72,0.997,0,,35.17
sh.600380,健康元,11.46,1.0,1.01,211035857.0,1.21,7.61,5.33,0.997,0,,34.79
sh.600429,三元股份,5.98,2.24,2.23,201072622.0,1.2,3.1,16.8,0.988,0,,34.37
sh.600398,海澜之家,6.58,1.12,1.51,351010226.0,1.01,6.82,6.99,1.0,0,,33.3
sh.600257,大湖股份,6.96,4.28,5.45,143285628.0,0.92,3.88,4.04,1.0,0,,32.54
sh.600062,华润双鹤,18.89,1.36,1.14,265488200.0,1.1,4.54,5.3,1.0,0,,30.39
sh.600315,上海家化,21.83,1.08,1.14,157855967.0,0.98,5.66,5.66,0.989,0,,29.54
sh.600420,国药现代,10.71,1.04,1.05,149576099.0,1.11,5.83,1.71,0.976,0,,28.07
sh.600251,冠农股份,11.43,2.01,2.13,180715233.0,0.98,3.44,5.35,0.965,0,,25.54
sh.600135,乐凯胶片,10.49,4.88,8.79,285622551.0,0.49,1.06,17.47,0.915,0,,25.13
sh.600132,重庆啤酒,57.99,0.99,0.77,277792311.0,1.22,1.56,3.46,0.984,0,,25.03
