策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
boll,20260413,601019,山东出版,2026-04-14,2026-04-20,8.08,7.68,8.084,7.6762,5,-5.045,-5.197,0.152,-4.95
boll,20260413,601928,凤凰传媒,2026-04-14,2026-04-20,9.71,9.95,9.7149,9.945,5,2.369,2.206,0.164,-0.309
theme,20260413,600589,大位科技,2026-04-14,2026-04-20,11.59,11.13,11.5958,11.1244,5,-4.065,-4.218,0.153,-3.969
theme,20260413,600562,国睿科技,2026-04-14,2026-04-20,27.0,28.28,27.0135,28.2659,5,4.636,4.469,0.167,0.0
theme,20260413,600152,维科技术,2026-04-14,2026-04-20,10.81,13.93,10.8154,13.923,5,28.733,28.527,0.206,0.0
theme,20260414,600151,航天机电,2026-04-15,2026-04-21,14.05,15.12,14.057,15.1124,5,7.508,7.336,0.172,-0.996
theme,20260414,600658,电子城,2026-04-15,2026-04-21,5.11,4.83,5.1126,4.8276,5,-5.574,-5.725,0.151,-5.479
boll,20260415,601006,大秦铁路,2026-04-16,2026-04-22,5.22,5.25,5.2226,5.2474,5,0.474,0.313,0.161,0.0
theme,20260415,600152,维科技术,2026-04-16,2026-04-22,11.9,12.54,11.9059,12.5337,5,5.273,5.104,0.168,0.0
theme,20260415,600658,电子城,2026-04-16,2026-04-22,5.01,5.08,5.0125,5.0775,5,1.296,1.134,0.162,-3.593
theme,20260415,600237,铜峰电子,2026-04-16,2026-04-22,9.4,9.44,9.4047,9.4353,5,0.325,0.165,0.16,-0.957
theme,20260415,600552,凯盛科技,2026-04-16,2026-04-22,13.42,15.7,13.4267,15.6921,5,16.873,16.686,0.187,0.0
theme,20260415,600151,航天机电,2026-04-16,2026-04-22,13.91,15.05,13.917,15.0425,5,8.087,7.915,0.173,0.0
theme,20260415,600589,大位科技,2026-04-16,2026-04-22,11.14,10.63,11.1456,10.6247,5,-4.673,-4.826,0.152,-6.194
theme,20260415,600562,国睿科技,2026-04-16,2026-04-22,27.37,28.67,27.3837,28.6557,5,4.645,4.478,0.167,0.0
boll,20260417,002545,东方铁塔,2026-04-20,2026-04-24,21.56,22.65,21.5708,22.6387,5,4.951,4.783,0.168,0.0
boll,20260417,600985,淮北矿业,2026-04-20,2026-04-24,13.3,14.2,13.3066,14.1929,5,6.66,6.49,0.171,0.0
boll,20260417,002508,老板电器,2026-04-20,2026-04-24,19.99,19.0,20.0,18.9905,5,-5.047,-5.199,0.152,-4.952
boll,20260417,600674,川投能源,2026-04-20,2026-04-24,14.85,14.93,14.8574,14.9225,5,0.438,0.278,0.161,0.0
theme,20260417,600552,凯盛科技,2026-04-20,2026-04-24,15.01,15.08,15.0175,15.0725,5,0.366,0.205,0.161,-2.132
boll,20260424,600282,南钢股份,2026-04-27,2026-05-06,5.23,5.37,5.2326,5.3673,5,2.574,2.41,0.164,-0.191
theme,20260424,600699,均胜电子,2026-04-27,2026-05-06,28.5,29.73,28.5142,29.7151,5,4.212,4.045,0.167,-1.123
theme,20260424,601777,千里科技,2026-04-27,2026-05-06,10.8,11.03,10.8054,11.0245,5,2.028,1.864,0.163,0.0
theme,20260424,600601,方正科技,2026-04-27,2026-05-06,11.6,11.86,11.6058,11.8541,5,2.139,1.976,0.163,0.0
theme,20260424,603936,博敏电子,2026-04-27,2026-05-06,16.1,17.05,16.1081,17.0415,5,5.795,5.626,0.169,-3.727
theme,20260424,600845,宝信软件,2026-04-27,2026-05-06,22.9,24.0,22.9114,23.988,5,4.699,4.531,0.167,-1.223
