股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603095,越剑智能,23.06,9.27,4.02,511971325.0,5.55,26.22,29.33,1.0,1,人工智能,67.11
sh.603125,常青科技,22.66,4.34,3.07,398310312.0,2.97,21.63,33.37,1.0,1,人工智能,64.52
sh.600152,维科技术,14.5,34.4,21.44,2640682977.0,1.72,15.63,38.62,0.924,1,人工智能,59.6
sh.601218,吉鑫科技,6.75,10.63,10.76,697399938.0,1.33,8.87,10.29,0.981,1,人工智能,59.06
sh.600846,同济科技,6.96,18.27,21.35,4540567356.0,0.82,6.42,42.33,0.968,1,人工智能,58.02
sh.601101,昊华能源,10.94,5.67,5.02,881926139.0,2.4,28.55,29.01,1.0,0,,55.91
sh.600004,白云机场,15.35,5.03,2.18,185388831.0,3.98,3.58,3.23,1.0,1,数字经济,54.62
sh.603601,再升科技,13.73,2.41,2.18,658879222.0,1.55,13.38,23.69,1.0,1,人工智能,52.96
sh.600623,华谊集团,10.86,2.6,1.56,528471955.0,2.39,10.93,12.66,1.0,0,,51.39
sh.600391,航发科技,29.8,9.6,6.27,446647904.0,1.23,0.98,26.27,0.977,1,人工智能,50.69
sh.603279,景津装备,19.25,5.38,2.09,584201211.0,5.48,4.62,13.97,1.0,0,,50.25
sh.601777,千里科技,11.25,1.07,1.33,543493161.0,1.28,8.7,13.98,1.0,1,人工智能,50.08
sh.600060,海信视像,13.67,2.08,1.12,206359801.0,2.62,7.89,7.38,1.0,0,,49.63
sh.603027,千禾味业,10.1,3.05,1.49,381523917.0,3.08,6.77,8.14,1.0,0,,49.23
sh.600366,宁波韵升,13.4,4.36,2.88,634767838.0,2.21,4.77,14.04,1.0,0,,48.01
sh.600258,首旅酒店,16.03,4.24,1.94,744920519.0,3.04,6.16,7.01,0.988,0,,47.66
sh.601001,晋控煤业,19.32,1.76,1.35,572905536.0,1.84,9.9,17.59,1.0,0,,47.37
sh.603327,福蓉科技,10.92,4.25,4.51,483493939.0,0.88,3.7,20.26,0.997,1,人工智能,47.16
sh.603015,弘讯科技,7.45,3.46,1.97,215522944.0,1.87,3.62,4.49,0.989,1,人工智能,47.04
sh.603386,骏亚科技,11.4,5.31,4.2,175738664.0,1.43,0.97,14.46,0.993,1,人工智能,46.57
sh.600601,方正科技,11.81,5.68,5.09,2800361163.0,1.26,-0.08,19.53,0.988,1,人工智能,46.2
sh.603032,德新科技,23.08,5.53,6.81,293602604.0,0.65,1.9,31.51,0.984,1,人工智能,45.93
sh.605377,华旺科技,5.65,1.11,1.13,526778921.0,1.25,8.24,2.54,1.0,1,人工智能,45.02
sh.603075,热威股份,5.43,8.4,8.84,792299487.0,1.29,25.4,49.18,1.0,0,,44.54
sh.600299,安迪苏,16.2,1.72,1.33,833704003.0,1.94,17.48,19.56,1.0,0,,44.13
sh.603939,益丰药房,23.17,1.59,1.16,2167399819.0,1.91,16.55,19.74,1.0,0,,43.69
sh.600499,科达制造,20.05,2.86,2.66,1082782979.0,1.58,12.39,26.18,0.988,0,,43.21
sh.600980,北矿科技,22.92,2.79,1.85,120193916.0,1.86,-1.08,6.9,0.988,1,人工智能,42.94
sh.600375,汉马科技,15.41,6.1,7.21,896671077.0,0.73,-1.85,29.93,0.957,1,人工智能,42.24
sh.603339,四方科技,23.96,6.32,7.19,845462463.0,0.97,1.1,8.51,0.98,1,人工智能,41.78
