股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601677,明泰铝业,6.91,30.54,18.73,7740995281.0,3.97,36.83,27.96,1.0,0,,65.0
sh.600977,中国电影,14.91,5.0,2.39,1372907326.0,3.31,7.11,12.36,1.0,0,,52.89
sh.600583,海油工程,29.0,4.11,3.84,411237472.0,1.33,4.2,21.29,0.971,0,,39.38
sh.600499,科达制造,18.44,1.43,1.82,498932554.0,0.97,8.22,12.17,1.0,0,,36.86
sh.600552,凯盛科技,13.65,4.36,6.15,558984083.0,0.88,6.14,4.04,1.0,0,,35.69
sh.603766,隆鑫通用,15.78,1.43,1.01,462041654.0,1.18,6.55,2.53,1.0,0,,32.49
sh.600459,贵研铂业,21.05,2.01,1.81,319643814.0,1.17,4.41,2.09,1.0,0,,30.53
sh.601233,桐昆股份,20.38,1.52,1.76,733965820.0,0.91,4.62,7.55,1.0,0,,30.16
sh.600566,济川药业,17.58,2.64,3.04,565324579.0,0.61,2.15,17.28,0.994,0,,29.02
sh.600546,山煤国际,11.95,0.98,1.29,231068370.0,0.78,6.6,2.14,1.0,0,,28.52
sh.600750,华润江中,27.28,0.93,0.76,157705056.0,1.09,2.83,5.98,1.0,0,,27.9
sh.601699,潞安环能,19.62,0.99,0.95,630464031.0,1.12,3.65,1.24,0.994,0,,26.94
sh.600312,平高电气,19.62,0.99,0.95,630464031.0,1.12,3.65,1.24,0.994,0,,26.94
sh.601958,金钼股份,19.62,0.99,0.95,630464031.0,1.12,3.65,1.24,0.994,0,,26.94
sh.600872,中炬高新,19.82,1.24,1.38,188211958.0,0.98,2.64,4.21,1.0,0,,26.58
sh.600888,新疆众和,8.7,1.73,1.8,231561014.0,0.91,3.08,2.72,1.0,0,,26.41
sh.600521,华海药业,16.29,1.67,2.09,406713304.0,0.88,3.36,2.78,0.982,0,,24.96
sh.603187,海容冷链,13.31,0.95,0.87,133581515.0,1.15,0.99,3.66,0.984,0,,23.79
sh.600578,京能电力,19.4,2.06,2.76,164889365.0,0.52,-4.72,9.67,0.936,0,,16.11
sh.600230,沧州大化,19.4,2.06,2.76,164889365.0,0.52,-4.72,9.67,0.936,0,,16.11
