股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601218,吉鑫科技,6.88,13.96,9.48,902744582.0,1.94,10.08,5.04,1.0,1,人工智能,65.55
sh.603125,常青科技,22.5,6.24,2.34,563365204.0,7.45,19.74,29.98,1.0,1,人工智能,64.42
sh.603095,越剑智能,20.96,3.23,2.51,172350788.0,2.22,16.19,18.28,1.0,1,人工智能,58.1
sh.600152,维科技术,15.69,14.28,19.94,1150701087.0,0.69,20.6,38.48,1.0,1,人工智能,56.66
sh.603767,中马传动,19.32,4.38,2.21,262626163.0,3.71,3.7,3.26,1.0,1,机器人,54.6
sh.603327,福蓉科技,10.95,6.53,4.19,742762499.0,1.41,3.79,19.54,1.0,1,人工智能,53.02
sh.603936,博敏电子,16.1,9.1,8.38,1365699232.0,1.22,7.12,33.06,1.0,0,,52.51
sh.603279,景津装备,11.15,1.57,1.11,797133910.0,2.58,10.72,14.36,1.0,0,,52.38
sh.600694,大商股份,18.25,2.89,1.65,181310667.0,3.23,8.37,10.67,1.0,0,,51.88
sh.600499,科达制造,20.29,3.56,2.12,1385854826.0,2.64,14.83,20.77,1.0,0,,51.61
sh.603906,龙蟠科技,29.99,12.41,15.79,2118421570.0,0.93,15.26,33.76,0.921,1,人工智能,50.54
sh.600299,安迪苏,14.95,4.08,2.46,551268794.0,2.71,9.77,4.55,0.985,0,,49.14
sh.600460,士兰微,28.93,3.85,2.33,1822357196.0,2.35,5.78,10.67,1.0,0,,48.61
sh.601200,上海环境,7.12,19.69,21.8,5053169936.0,0.94,12.13,38.52,0.99,0,,48.4
sh.601101,昊华能源,14.5,3.93,1.38,1849627735.0,4.32,4.77,11.8,1.0,0,,48.37
sh.603657,春光科技,27.0,4.46,1.89,163740254.0,3.85,3.01,6.3,0.933,1,人工智能,47.96
sh.603496,恒为科技,23.85,8.86,6.92,1186102481.0,1.42,0.76,9.6,0.975,1,人工智能,46.36
sh.603679,华体科技,14.3,5.26,3.12,134224864.0,2.08,1.42,0.7,0.984,1,人工智能,46.13
sh.603610,麒盛科技,16.44,2.73,1.77,158727609.0,1.78,3.72,3.72,0.984,1,人工智能,45.02
sh.600375,汉马科技,5.32,2.24,1.38,174373512.0,1.95,1.14,4.52,1.0,1,人工智能,44.86
sh.600415,小商品城,11.95,6.01,5.08,2976912549.0,1.62,1.7,20.83,1.0,0,,43.74
sh.600535,天士力,15.92,6.77,9.36,681180151.0,0.92,6.2,19.43,0.964,0,,42.74
sh.603032,德新科技,22.64,6.08,7.2,322074614.0,0.71,-0.4,24.4,0.965,1,人工智能,42.59
sh.601890,亚星锚链,10.85,8.87,6.03,930448548.0,2.13,0.65,5.75,0.987,0,,42.1
sh.600993,马应龙,25.96,2.19,0.99,243151152.0,2.74,3.63,2.04,1.0,0,,42.07
sh.603601,再升科技,15.26,21.82,19.2,3748841098.0,1.04,-6.15,5.24,0.938,1,人工智能,41.3
sh.600686,金龙汽车,17.58,2.92,2.95,359722640.0,1.05,7.46,1.27,0.969,1,新能源车,41.16
sh.603233,大参林,18.6,0.95,0.7,200560511.0,1.94,6.1,5.92,1.0,0,,40.41
sh.600642,申能股份,7.61,3.38,2.82,521220313.0,1.52,7.94,4.68,0.99,0,,39.94
sh.603967,中创物流,13.71,3.02,2.78,144398853.0,1.86,3.24,0.73,0.931,1,跨境出海,39.83
