股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601606,长城军工,14.05,26.58,9.14,1351328673.0,10.42,17.77,26.35,0.965,1,军工,70.64
sh.600699,均胜电子,29.51,7.96,6.15,3162373613.0,2.17,13.59,19.57,1.0,1,军工,63.33
sh.603002,宏昌电子,14.39,8.63,8.74,1406011534.0,1.08,11.21,53.09,1.0,1,军工,57.42
sh.600353,旭光电子,16.83,3.89,4.32,544290610.0,1.05,7.88,20.73,0.984,1,军工,52.66
sh.603936,博敏电子,12.72,2.39,1.69,594753697.0,1.82,6.44,8.44,1.0,1,军工,52.11
sz.300327,中颖电子,27.45,3.63,3.75,338963926.0,1.25,6.4,15.19,1.0,1,军工,51.54
sh.601777,千里科技,10.84,1.82,0.75,877643023.0,4.54,7.75,13.75,1.0,0,,51.54
sh.600499,科达制造,16.04,9.53,8.74,979479975.0,1.53,11.93,17.08,0.972,0,,51.25
sz.300270,中威电子,12.5,5.2,7.4,170888454.0,0.85,4.6,23.03,0.983,1,军工,50.9
sz.300975,商络电子,19.36,19.52,11.08,1899593611.0,2.24,-5.0,5.27,0.911,1,军工,50.61
sh.600566,济川药业,10.99,8.01,4.58,839825326.0,2.7,4.37,6.39,1.0,0,,50.27
sh.600415,小商品城,13.63,6.0,2.29,4442282849.0,3.96,10.54,1.94,0.999,0,,49.97
sz.300585,奥联电子,18.93,5.0,4.87,163415974.0,0.83,4.13,28.43,0.992,1,军工,49.2
sh.603939,益丰药房,15.02,7.3,10.02,1046606449.0,0.94,10.04,24.03,0.957,0,,47.15
sh.600203,福日电子,12.02,4.02,4.52,283567186.0,1.24,3.62,12.13,0.986,1,军工,46.24
sh.600546,山煤国际,14.33,3.74,1.34,406131162.0,4.37,3.92,7.58,1.0,0,,45.52
sh.603890,春秋电子,18.94,9.8,12.86,839105350.0,0.7,0.11,39.47,0.942,1,军工,44.6
sh.600316,洪都航空,14.75,6.83,7.31,1477255898.0,1.18,0.89,13.29,0.962,1,低空经济,44.02
sh.600601,方正科技,11.67,4.3,4.83,2095375270.0,1.25,11.57,16.12,0.987,0,,43.91
sh.600557,康缘药业,14.46,2.39,1.07,194946706.0,3.14,3.14,6.64,1.0,0,,43.45
sh.601985,中国核电,17.9,8.43,11.4,555302277.0,0.74,10.77,50.67,0.976,0,,42.81
sz.300455,航天智装,25.71,1.98,2.78,363394027.0,0.82,0.78,6.72,0.956,2,"低空经济,军工",40.9
sh.600845,宝信软件,24.34,1.54,0.93,484676281.0,1.88,5.46,9.3,1.0,0,,40.79
sz.300590,移为通信,24.0,10.39,9.73,2413676699.0,1.06,-3.96,9.19,0.925,1,算力,39.97
sz.300656,民德电子,13.45,3.54,4.87,475887684.0,0.88,2.75,16.25,0.947,1,军工,39.49
sz.300446,航天智造,19.95,2.94,4.37,219604444.0,0.68,-2.68,0.76,0.944,2,"低空经济,军工",36.85
sh.601021,春秋航空,23.62,5.56,6.93,4400119446.0,0.93,0.85,10.84,0.925,1,低空经济,35.98
sh.600460,士兰微,27.82,2.48,1.9,1147879420.0,1.64,3.27,6.88,1.0,0,,35.97
sh.600409,三友化工,7.35,2.7,2.2,406400187.0,1.39,6.83,3.81,0.989,0,,35.96
sh.600694,大商股份,17.91,4.0,5.89,266240226.0,0.88,5.23,17.29,0.964,0,,35.88
