股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603339,四方科技,25.16,9.88,7.62,1344407840.0,1.56,9.87,6.84,1.0,1,人工智能,59.25
sh.600152,维科技术,14.85,30.0,24.05,2360751316.0,1.46,26.06,42.79,0.946,1,人工智能,59.2
sh.600883,博闻科技,9.01,5.85,2.85,124044224.0,3.61,12.62,10.69,1.0,1,人工智能,59.08
sh.603859,能科科技,15.82,8.32,5.32,398330498.0,2.07,6.68,4.49,1.0,1,人工智能,58.94
sh.603488,展鹏科技,11.65,6.29,4.94,213004833.0,1.77,6.1,14.78,1.0,1,人工智能,58.27
sh.603657,春光科技,29.33,5.89,3.35,229938035.0,3.5,12.72,1.38,1.0,1,人工智能,55.87
sh.603032,德新科技,23.31,6.19,6.66,335504664.0,0.83,6.58,30.3,0.994,1,人工智能,54.65
sh.603601,再升科技,15.85,23.17,19.33,4127066675.0,1.19,4.62,6.59,0.975,1,人工智能,52.81
sh.600378,昊华科技,22.07,2.67,3.43,242764118.0,1.39,18.66,27.65,0.974,1,人工智能,50.62
sh.603610,麒盛科技,8.95,2.18,2.92,504453680.0,0.97,9.82,19.33,0.994,1,人工智能,50.48
sh.605377,华旺科技,9.83,2.63,1.43,142722444.0,2.31,2.4,4.91,1.0,1,人工智能,50.37
sh.600887,伊利股份,27.46,3.41,1.6,5900016973.0,4.17,8.67,4.29,1.0,0,,49.45
sh.601777,千里科技,11.23,1.68,1.3,862599291.0,1.85,3.6,10.42,0.998,1,人工智能,48.83
sh.601101,昊华能源,11.69,4.83,5.2,774260315.0,1.7,24.89,37.85,1.0,0,,48.81
sh.600570,恒生电子,26.79,2.53,1.37,1288728342.0,2.29,1.25,3.64,0.995,1,军工,47.63
sh.600552,凯盛科技,15.54,5.86,6.92,868443221.0,0.69,3.46,28.54,0.965,1,人工智能,46.6
sh.600520,三佳科技,29.46,6.79,6.39,318603905.0,0.81,2.26,22.7,0.966,1,人工智能,45.26
sh.600375,汉马科技,5.37,2.07,1.76,161815956.0,1.56,4.07,4.88,1.0,1,人工智能,45.09
sh.600072,中船科技,13.68,7.8,4.08,1159205475.0,1.63,1.26,7.04,0.977,1,人工智能,45.07
sh.600546,山煤国际,14.06,2.08,2.11,576097238.0,1.22,10.53,25.87,1.0,0,,45.0
sh.600288,大恒科技,15.18,4.61,2.21,310505374.0,2.1,1.13,6.45,0.958,1,人工智能,44.54
sh.600501,航天晨光,23.61,2.34,1.74,234462493.0,1.2,0.94,5.54,0.966,2,"低空经济,军工",44.51
sh.603767,中马传动,19.41,2.55,2.85,153395619.0,1.35,4.47,2.64,1.0,1,机器人,43.84
sh.600460,士兰微,28.9,3.93,3.19,1886229464.0,1.78,5.63,11.2,0.999,0,,43.72
sh.603327,福蓉科技,10.8,2.73,4.45,308214584.0,0.61,4.96,17.65,0.986,1,人工智能,43.32
sh.601778,晶科科技,6.5,15.75,19.86,3834742968.0,0.7,-9.6,30.52,0.904,1,人工智能,42.4
sh.601038,一拖股份,13.84,1.59,1.28,160736598.0,1.75,8.46,7.7,1.0,0,,42.39
sh.601001,晋控煤业,19.33,1.42,1.38,455752615.0,1.36,7.69,17.72,1.0,0,,42.15
sh.601218,吉鑫科技,6.47,9.02,10.63,570946677.0,1.0,2.86,3.35,0.94,1,人工智能,41.92
sh.600151,航天机电,14.51,4.21,4.51,879729148.0,0.67,-5.35,9.67,0.947,2,"低空经济,军工",41.18
