股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600152,维科技术,12.07,35.61,19.51,2369152498.0,3.22,21.06,17.87,1.0,1,人工智能,72.15
sh.600539,狮头股份,15.96,14.75,11.52,543581762.0,1.5,10.83,34.68,1.0,0,,59.92
sh.600713,南京医药,6.4,10.24,8.67,816755785.0,1.96,10.54,19.4,1.0,0,,59.44
sh.600658,电子城,5.08,4.8,2.07,278084874.0,5.05,7.4,1.6,1.0,1,军工,58.56
sh.600749,西藏旅游,18.12,11.15,11.47,456422016.0,1.91,9.95,9.42,0.993,0,,55.88
sh.600237,铜峰电子,9.49,7.56,5.33,442700229.0,1.97,5.8,1.5,1.0,1,军工,55.4
sh.600338,西藏珠峰,18.99,10.56,7.15,1855842849.0,2.14,7.29,9.71,0.994,0,,54.47
sh.600552,凯盛科技,13.47,6.92,6.29,887233933.0,1.55,6.15,4.1,0.999,1,人工智能,53.32
sh.600186,莲花控股,7.69,17.28,12.28,2317298757.0,1.74,0.79,22.06,1.0,0,,52.21
sh.600267,海正药业,11.39,4.12,1.71,548437452.0,3.32,9.94,7.66,1.0,0,,51.15
sh.600707,彩虹股份,7.19,5.57,3.49,1419297094.0,3.77,23.97,13.77,1.0,0,,50.85
sh.600769,祥龙电业,15.16,6.38,4.16,358729684.0,2.18,9.3,6.61,1.0,0,,50.73
sh.600233,圆通速递,21.5,1.63,0.75,1194953304.0,3.4,7.99,6.7,1.0,0,,48.96
sh.600469,风神股份,7.14,5.54,2.8,289286903.0,3.7,6.25,3.18,0.985,0,,47.23
sh.600151,航天机电,13.91,4.7,6.31,951160873.0,1.13,5.78,2.88,0.989,1,军工,46.45
sh.600110,诺德股份,10.25,12.39,15.11,2244708961.0,0.8,4.38,27.97,0.988,0,,46.41
sh.600330,天通股份,19.8,10.93,13.7,2711600704.0,0.98,10.55,16.33,0.961,0,,46.08
sh.600589,大位科技,11.14,10.42,12.75,1722674576.0,1.06,2.48,4.01,0.964,1,人工智能,45.18
sh.600562,国睿科技,27.33,0.9,1.09,307676585.0,1.18,8.5,5.07,0.99,1,人工智能,44.22
sh.600268,国电南自,15.67,6.64,3.91,1038951612.0,1.62,6.82,8.29,1.0,0,,44.16
