股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600749,西藏旅游,18.15,16.3,7.18,649605744.0,5.68,16.72,9.27,1.0,0,,55.89
sh.600589,大位科技,11.2,11.11,9.82,1829506467.0,1.26,11.89,3.13,0.969,1,人工智能,54.28
sh.600562,国睿科技,27.18,2.04,0.85,682067665.0,3.73,14.01,2.64,1.0,1,人工智能,52.59
sh.600713,南京医药,5.86,11.67,6.85,912900175.0,3.5,4.46,7.92,0.969,0,,51.38
sh.600480,凌云股份,11.47,8.73,3.66,1197326647.0,6.6,21.38,6.5,1.0,0,,49.17
sh.600184,光电股份,21.04,10.84,10.17,1335227708.0,1.14,12.21,22.25,1.0,0,,48.91
sh.600152,维科技术,10.81,13.49,13.1,757137200.0,0.91,13.91,10.64,0.954,1,人工智能,48.25
sh.600330,天通股份,19.62,15.14,12.49,3614579941.0,1.58,15.34,6.46,0.996,0,,47.98
sh.600110,诺德股份,10.19,14.8,18.11,2557300520.0,0.88,16.46,22.18,1.0,0,,47.61
sh.600666,奥瑞德,6.42,20.63,21.52,3152379983.0,0.88,9.18,54.33,0.979,0,,46.7
sh.600206,有研新材,22.63,5.59,3.97,1061595635.0,1.98,11.59,2.54,1.0,0,,46.65
sh.600707,彩虹股份,6.89,4.56,1.92,1135243283.0,6.39,25.73,6.82,0.981,0,,44.27
sh.600186,莲花控股,7.41,8.38,9.33,1101554103.0,0.75,6.01,22.89,0.971,0,,43.39
sh.600212,绿能慧充,7.8,4.63,2.8,189181940.0,2.26,12.88,2.9,1.0,0,,43.1
sh.600641,先导基电,21.82,5.51,7.51,1124654402.0,1.14,20.02,18.72,0.988,0,,42.03
sh.600382,广东明珠,9.34,3.99,3.71,257434687.0,1.44,9.11,7.6,0.989,0,,41.38
sh.600127,金健米业,7.49,13.85,11.56,670684079.0,1.35,3.17,1.9,0.98,0,,40.84
sh.600773,西藏城投,19.36,4.65,3.0,839997230.0,1.51,9.81,6.08,0.983,0,,40.38
sh.600030,中信证券,26.09,1.77,1.58,5591240528.0,1.68,8.8,1.32,1.0,0,,39.5
sh.600292,电投水电,14.93,3.04,2.31,352230136.0,1.48,9.14,1.84,1.0,0,,38.86
