日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-04-14,5.42,0.74,10415212.0,2.54,851041.0,0.21,9564171.0,2.33,-5377137.0,-1.31,-5038076.0,-1.23
2025-04-15,5.49,1.29,46033271.0,8.59,15489441.0,2.89,30543830.0,5.7,-8696248.0,-1.62,-37337023.0,-6.96
2025-04-16,5.51,0.36,870128.0,0.18,4211670.0,0.89,-3341542.0,-0.7,-10502858.0,-2.22,9632730.0,2.03
2025-04-17,5.53,0.36,-15676650.0,-3.26,-8570801.0,-1.78,-7105849.0,-1.48,-1934208.0,-0.4,17610858.0,3.66
2025-04-18,5.54,0.18,10631151.0,2.87,-9307213.0,-2.51,19938364.0,5.37,-1992209.0,-0.54,-8638942.0,-2.33
2025-04-21,5.64,1.81,22813085.0,4.5,60229959.0,11.89,-37416874.0,-7.39,-16379051.0,-3.23,-6434033.0,-1.27
2025-04-22,5.58,-1.06,-49694057.0,-9.13,-21607023.0,-3.97,-28087034.0,-5.16,22547063.0,4.14,27146994.0,4.99
2025-04-23,5.59,0.18,37148150.0,9.85,27855725.0,7.39,9292425.0,2.46,-25884253.0,-6.86,-11263896.0,-2.99
2025-04-24,5.68,1.61,-7883928.0,-1.02,-23329000.0,-3.02,15445072.0,2.0,19069695.0,2.47,-11185767.0,-1.45
2025-04-25,5.75,1.23,21229235.0,3.77,24615796.0,4.37,-3386561.0,-0.6,-18770051.0,-3.34,-2459185.0,-0.44
2025-04-28,5.9,2.61,3459222.0,0.38,28107542.0,3.12,-24648320.0,-2.73,-39709328.0,-4.4,36250097.0,4.02
2025-04-29,5.76,-2.37,-33941771.0,-5.55,918999.0,0.15,-34860770.0,-5.7,15577104.0,2.55,18364667.0,3.0
2025-04-30,5.58,-3.13,-96396264.0,-15.89,-79927090.0,-13.17,-16469174.0,-2.71,35369587.0,5.83,61026677.0,10.06
2025-05-06,5.68,1.79,50514661.0,11.79,39473162.0,9.21,11041499.0,2.58,-25587899.0,-5.97,-24926762.0,-5.82
2025-05-07,5.62,-1.06,-29973806.0,-7.17,-30648727.0,-7.33,674921.0,0.16,20235803.0,4.84,9738004.0,2.33
2025-05-08,5.63,0.18,38962303.0,10.96,18626153.0,5.24,20336150.0,5.72,-17832424.0,-5.02,-21129880.0,-5.94
2025-05-09,5.74,1.95,38867749.0,6.41,28975619.0,4.78,9892130.0,1.63,-10272792.0,-1.69,-28594958.0,-4.72
2025-05-12,5.77,0.52,-11176167.0,-2.09,-25383817.0,-4.75,14207650.0,2.66,14501054.0,2.71,-3324888.0,-0.62
2025-05-13,5.77,0.0,5176967.0,1.57,-316952.0,-0.1,5493919.0,1.66,12098853.0,3.66,-17275820.0,-5.23
2025-05-14,5.76,-0.17,-6887713.0,-1.76,-11972721.0,-3.06,5085008.0,1.3,7623621.0,1.95,-735908.0,-0.19
2025-05-15,5.83,1.22,19195197.0,2.97,-18701542.0,-2.9,37896739.0,5.87,-6962312.0,-1.08,-12232883.0,-1.9
2025-05-16,5.77,-1.03,-28735806.0,-6.83,-12141161.0,-2.88,-16594645.0,-3.94,-14404681.0,-3.42,43140488.0,10.25
2025-05-19,5.78,0.17,-34281558.0,-7.08,-16144578.0,-3.33,-18136980.0,-3.75,2913314.0,0.6,31368245.0,6.48
2025-05-20,5.86,1.38,-14142776.0,-2.91,9497185.0,1.96,-23639961.0,-4.87,-11451691.0,-2.36,25594467.0,5.27
2025-05-21,5.87,0.17,2204552.0,0.39,-21766996.0,-3.81,23971548.0,4.2,-15267643.0,-2.68,13063091.0,2.29
2025-05-22,5.81,-1.02,-19052714.0,-5.0,-10657161.0,-2.8,-8395553.0,-2.2,10861910.0,2.85,8190805.0,2.15
2025-05-23,5.76,-0.86,12034571.0,3.28,16736986.0,4.56,-4702415.0,-1.28,4112818.0,1.12,-16147390.0,-4.39
2025-05-26,5.8,0.69,-6945704.0,-2.35,-7268928.0,-2.46,323224.0,0.11,-5993846.0,-2.03,12939551.0,4.38
2025-05-27,5.84,0.69,9685017.0,2.72,29101297.0,8.16,-19416280.0,-5.45,-11555405.0,-3.24,1870387.0,0.52
2025-05-28,5.74,-1.71,-65718088.0,-16.35,-34416912.0,-8.56,-31301176.0,-7.79,13870365.0,3.45,51847723.0,12.9
2025-05-29,5.71,-0.52,-40588937.0,-9.27,-27736826.0,-6.33,-12852111.0,-2.93,299091.0,0.07,40289845.0,9.2
2025-05-30,5.72,0.18,-1826876.0,-0.47,-23276764.0,-6.03,21449888.0,5.56,5612763.0,1.45,-3785888.0,-0.98
2025-06-03,5.73,0.17,46482130.0,11.52,-2906214.0,-0.72,49388344.0,12.24,-48317759.0,-11.98,1835630.0,0.46
2025-06-04,5.7,-0.52,8584905.0,3.25,3439242.0,1.3,5145663.0,1.95,-11461930.0,-4.34,2877024.0,1.09
2025-06-05,5.68,-0.35,-15235491.0,-5.97,-9431158.0,-3.7,-5804333.0,-2.27,-992698.0,-0.39,16228189.0,6.36
2025-06-06,5.7,0.35,7310076.0,3.2,-1041071.0,-0.46,8351147.0,3.66,-2609929.0,-1.14,-4700147.0,-2.06
2025-06-09,5.7,0.0,1663170.0,0.52,-8905060.0,-2.78,10568230.0,3.3,15633217.0,4.88,-17296387.0,-5.4
2025-06-10,5.75,0.88,15933209.0,2.59,-6816953.0,-1.11,22750162.0,3.69,-9552161.0,-1.55,-6381048.0,-1.04
2025-06-11,5.76,0.17,19972400.0,5.18,366124.0,0.1,19606276.0,5.09,-5242136.0,-1.36,-14730264.0,-3.82
2025-06-12,5.66,-1.74,-67887410.0,-16.42,-53876017.0,-13.03,-14011393.0,-3.39,41654094.0,10.07,26233317.0,6.35
2025-06-13,5.7,0.71,-17092494.0,-3.52,-12869616.0,-2.65,-4222878.0,-0.87,-52960840.0,-10.89,70053333.0,14.41
2025-06-16,5.71,0.18,-26015675.0,-7.94,-21150597.0,-6.46,-4865078.0,-1.49,23791382.0,7.26,2224292.0,0.68
2025-06-17,5.84,2.28,-26144270.0,-4.41,-21601821.0,-3.64,-4542449.0,-0.77,5893926.0,0.99,20250344.0,3.41
2025-06-18,5.78,-1.03,-6843249.0,-1.79,19377126.0,5.08,-26220375.0,-6.87,-13104341.0,-3.44,19947591.0,5.23
2025-06-19,5.56,-3.81,-57729379.0,-9.12,-35702052.0,-5.64,-22027327.0,-3.48,42514735.0,6.71,15214644.0,2.4
2025-06-20,5.53,-0.54,-8265216.0,-3.06,916936.0,0.34,-9182152.0,-3.4,2593596.0,0.96,5671620.0,2.1
2025-06-23,5.43,-1.81,-66711955.0,-15.58,-14869230.0,-3.47,-51842725.0,-12.1,35242735.0,8.23,31469220.0,7.35
2025-06-24,5.45,0.37,39632333.0,10.88,40450759.0,11.1,-818426.0,-0.22,-18464765.0,-5.07,-21167567.0,-5.81
2025-06-25,5.5,0.92,-3375358.0,-0.89,11386653.0,3.0,-14762011.0,-3.88,-63960.0,-0.02,3439319.0,0.9
2025-06-26,5.41,-1.64,-66040389.0,-14.23,-54360768.0,-11.71,-11679621.0,-2.52,37995990.0,8.19,28044398.0,6.04
2025-06-27,5.31,-1.85,-119708695.0,-19.69,-80270248.0,-13.2,-39438447.0,-6.49,55883987.0,9.19,63824708.0,10.5
2025-06-30,5.34,0.56,7453395.0,2.97,11696465.0,4.66,-4243070.0,-1.69,-6610619.0,-2.63,-842776.0,-0.34
2025-07-01,5.38,0.75,23092595.0,7.18,-6749456.0,-2.1,29842051.0,9.28,-14591869.0,-4.54,-8500726.0,-2.64
2025-07-02,5.44,1.12,48972680.0,13.55,62079879.0,17.18,-13107199.0,-3.63,-19977072.0,-5.53,-28995609.0,-8.02
2025-07-03,5.44,0.0,23874138.0,9.5,10611504.0,4.22,13262634.0,5.28,-12316979.0,-4.9,-11557159.0,-4.6
2025-07-04,5.49,0.92,22003505.0,4.85,17601681.0,3.88,4401824.0,0.97,-20584471.0,-4.54,-1419033.0,-0.31
2025-07-07,5.61,2.19,81863337.0,12.47,55340380.0,8.43,26522957.0,4.04,-69626374.0,-10.61,-12236963.0,-1.86
2025-07-08,5.53,-1.43,-23778391.0,-4.38,-35369041.0,-6.51,11590650.0,2.13,-4239122.0,-0.78,28017513.0,5.16
2025-07-09,5.46,-1.27,-87553846.0,-17.39,-22679100.0,-4.51,-64874746.0,-12.89,44328643.0,8.81,43225206.0,8.59
2025-07-10,5.44,-0.37,-33147020.0,-8.52,-11753031.0,-3.02,-21393989.0,-5.5,37309096.0,9.59,-4162076.0,-1.07
2025-07-11,5.42,-0.37,5168143.0,1.14,721500.0,0.16,4446643.0,0.98,7521642.0,1.66,-12689785.0,-2.8
2025-07-14,5.47,0.92,8629113.0,1.81,12887456.0,2.71,-4258343.0,-0.9,-10939230.0,-2.3,2310117.0,0.49
2025-07-15,5.4,-1.28,-37920672.0,-7.24,-17873553.0,-3.41,-20047119.0,-3.83,-1808181.0,-0.35,39728853.0,7.58
2025-07-16,5.43,0.56,45613598.0,13.76,29397269.0,8.87,16216329.0,4.89,-32900041.0,-9.93,-12713556.0,-3.84
2025-07-17,5.38,-0.92,-45942975.0,-14.69,-26261529.0,-8.4,-19681446.0,-6.29,21612318.0,6.91,24330657.0,7.78
2025-07-18,5.38,0.0,24317306.0,7.41,16127268.0,4.91,8190038.0,2.49,-26258448.0,-8.0,1941142.0,0.59
2025-07-21,5.45,1.3,62857377.0,12.04,45412640.0,8.7,17444737.0,3.34,-53806162.0,-10.3,-9051215.0,-1.73
2025-07-22,5.47,0.37,-23645730.0,-2.68,80461997.0,9.12,-104107727.0,-11.8,-14769461.0,-1.67,38415183.0,4.36
