序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301632,广东建科,34.01,418.45%,84.59%,10.61亿,8.87亿,1.73亿,19.48亿
2,300815,玉禾田,29.5,20.02%,19.66%,9.17亿,12.57亿,-3.41亿,21.74亿
3,688584,上海合晶,22.86,20.00%,7.47%,2.39亿,3.16亿,-7714.17万,5.55亿
4,301486,致尚科技,91.97,20.00%,29.00%,9.96亿,7.81亿,2.14亿,17.77亿
5,688256,寒武纪,848.88,20.00%,4.58%,81.24亿,70.02亿,11.21亿,151.26亿
6,300637,扬帆新材,14.64,20.00%,13.15%,2.07亿,2.31亿,-2423.70万,4.38亿
7,300620,光库科技,66.08,19.99%,0.69%,0.00,1.12亿,-1.12亿,1.12亿
8,688702,盛科通信,78.0,19.27%,5.57%,4.70亿,3.48亿,1.22亿,8.17亿
9,688273,麦澜德,52.83,18.06%,40.85%,3.32亿,4.39亿,-1.07亿,7.71亿
10,300453,三鑫医疗,10.75,14.24%,22.68%,4.33亿,4.35亿,-182.44万,8.69亿
11,301018,申菱环境,56.02,13.13%,14.23%,9.56亿,6.07亿,3.49亿,15.63亿
12,301173,毓恬冠佳,53.25,12.11%,47.38%,2.31亿,1.96亿,3465.51万,4.26亿
13,300398,飞凯材料,23.19,11.81%,22.55%,15.42亿,12.80亿,2.62亿,28.22亿
14,300806,斯迪克,21.0,11.46%,11.64%,4.71亿,2.73亿,1.98亿,7.44亿
15,300902,国安达,26.24,11.42%,16.20%,2.92亿,2.12亿,7972.25万,5.04亿
16,300857,协创数据,85.66,11.29%,9.12%,17.30亿,8.98亿,8.32亿,26.28亿
17,688626,翔宇医疗,64.4,11.02%,6.43%,3.54亿,2.91亿,6321.23万,6.44亿
18,688498,源杰科技,270.03,10.71%,7.96%,6.87亿,5.68亿,1.19亿,12.55亿
19,301033,迈普医学,88.8,10.38%,4.28%,1.18亿,9158.01万,2624.59万,2.09亿
20,688376,美埃科技,50.7,10.34%,8.50%,1.25亿,8837.92万,3675.14万,2.14亿
21,600984,建设机械,3.8,10.14%,7.30%,2.01亿,1.35亿,6583.94万,3.36亿
22,601929,吉视传媒,3.27,10.10%,15.80%,7.98亿,9.49亿,-1.51亿,17.46亿
23,600581,八一钢铁,5.13,10.09%,17.33%,7.58亿,5.58亿,2.00亿,13.17亿
24,2307,北新路桥,5.58,10.06%,9.68%,2.75亿,4.06亿,-1.31亿,6.82亿
25,14,沙河股份,14.25,10.04%,9.14%,7265.81万,2.42亿,-1.69亿,3.15亿
26,11,深物业A,10.52,10.04%,9.11%,2.44亿,2.31亿,1319.66万,4.78亿
27,6,深振业A,7.46,10.03%,8.47%,4.86亿,3.39亿,1.47亿,8.26亿
28,2052,同洲电子,11.96,10.03%,2.63%,1.03亿,1.13亿,-1073.92万,2.16亿
29,600203,福日电子,17.34,10.03%,48.75%,22.59亿,26.20亿,-3.61亿,48.79亿
30,2298,中电鑫龙,8.56,10.03%,14.75%,3.07亿,5.04亿,-1.97亿,8.11亿
31,601137,博威合金,22.18,10.02%,13.00%,12.93亿,10.15亿,2.78亿,23.07亿
32,2328,新朋股份,6.81,10.02%,10.63%,2.07亿,1.98亿,816.28万,4.05亿
33,2270,华明装备,20.09,10.02%,3.96%,3.27亿,3.69亿,-4196.63万,6.96亿
34,2176,江特电机,9.55,10.02%,22.62%,21.46亿,14.41亿,7.05亿,35.87亿
35,26,飞亚达,21.44,10.01%,15.43%,5.29亿,6.10亿,-8141.81万,11.40亿
36,605298,必得科技,21.65,10.01%,2.63%,3814.74万,6352.38万,-2537.64万,1.02亿
37,605188,国光连锁,13.3,10.01%,0.87%,0.00,5804.52万,-5804.52万,5804.52万
38,603610,麒盛科技,14.4,10.01%,14.54%,2.74亿,4.50亿,-1.77亿,7.24亿
39,600246,万通发展,9.23,10.01%,17.95%,12.94亿,17.80亿,-4.86亿,30.73亿
40,600211,西藏药业,48.04,10.01%,5.43%,3.18亿,5.15亿,-1.97亿,8.33亿
41,600053,九鼎投资,19.67,10.01%,1.22%,1.57万,1.04亿,-1.04亿,1.04亿
42,2941,新疆交建,16.71,10.01%,1.20%,0.00,1.29亿,-1.29亿,1.29亿
43,3017,大洋生物,34.87,10.00%,10.94%,1.28亿,1.29亿,-109.17万,2.58亿
44,603757,大元泵业,35.41,10.00%,3.73%,4594.56万,1.71亿,-1.25亿,2.17亿
45,603706,东方环宇,24.52,10.00%,8.28%,1.82亿,1.94亿,-1186.78万,3.77亿
46,603080,新疆火炬,26.74,10.00%,11.23%,1.71亿,2.37亿,-6611.57万,4.09亿
47,603023,威帝股份,4.62,10.00%,8.64%,9288.39万,1.21亿,-2809.50万,2.14亿
48,600619,海立股份,22.98,10.00%,21.51%,18.41亿,19.72亿,-1.30亿,38.13亿
49,600410,华胜天成,15.62,10.00%,37.35%,29.32亿,31.31亿,-1.99亿,60.63亿
50,600113,浙江东日,39.71,10.00%,4.77%,4.22亿,3.37亿,8503.68万,7.59亿
51,2104,恒宝股份,22.33,10.00%,44.10%,28.42亿,27.14亿,1.27亿,55.56亿
52,603090,宏盛股份,35.35,9.99%,7.41%,1.36亿,1.19亿,1660.80万,2.55亿
53,2549,凯美特气,13.65,9.99%,12.05%,4.57亿,6.26亿,-1.69亿,10.83亿
54,2173,创新医疗,20.59,9.99%,38.36%,14.83亿,16.77亿,-1.94亿,31.60亿
55,2148,北纬科技,11.45,9.99%,60.81%,13.50亿,17.28亿,-3.78亿,30.78亿
56,2040,南京港,10.69,9.98%,11.32%,2.98亿,2.67亿,3063.43万,5.66亿
57,605169,洪通燃气,17.97,9.98%,12.95%,2.73亿,3.50亿,-7735.93万,6.23亿
58,2670,国盛金控,17.74,9.98%,12.37%,16.22亿,18.25亿,-2.03亿,34.47亿
59,417,合百集团,6.28,9.98%,12.58%,1.98亿,4.15亿,-2.16亿,6.13亿
60,2820,桂发祥,13.68,9.97%,27.85%,3.54亿,3.78亿,-2375.35万,7.33亿
61,2676,顺威股份,10.48,9.97%,9.09%,2.91亿,3.71亿,-7981.22万,6.62亿
62,561,烽火电子,11.36,9.97%,8.29%,9561.60万,4.64亿,-3.68亿,5.59亿
63,600658,电子城,5.74,9.96%,11.18%,3.27亿,3.87亿,-6064.86万,7.14亿
64,300050,世纪鼎利,6.45,9.88%,24.50%,5.15亿,3.50亿,1.65亿,8.65亿
65,2622,皓宸医疗,3.56,9.88%,11.13%,1.51亿,1.73亿,-2273.11万,3.24亿
66,2501,利源股份,2.24,9.80%,8.58%,3.91亿,2.70亿,1.21亿,6.61亿
67,301398,星源卓镁,43.91,9.67%,30.82%,2.57亿,1.86亿,7116.94万,4.43亿
68,300839,博汇股份,14.94,9.61%,11.38%,2.52亿,1.92亿,6006.60万,4.45亿
69,300953,震裕科技,115.55,9.61%,10.46%,8.98亿,5.55亿,3.44亿,14.53亿
70,2837,英维克,54.75,9.39%,11.96%,25.35亿,27.24亿,-1.89亿,52.59亿
71,603123,翠微股份,13.8,9.35%,15.54%,8.51亿,4.98亿,3.53亿,13.48亿
72,600737,中粮糖业,11.35,9.34%,5.28%,7.07亿,5.47亿,1.60亿,12.54亿
73,688521,芯原股份,107.93,9.24%,3.81%,11.32亿,8.46亿,2.86亿,19.78亿
74,601138,工业富联,39.71,9.24%,1.12%,48.53亿,36.98亿,11.55亿,85.51亿
75,300671,富满微,42.78,9.10%,20.12%,9.05亿,9.32亿,-2707.10万,18.37亿
76,688499,利元亨,59.0,9.06%,10.38%,5.24亿,4.59亿,6499.37万,9.83亿
77,688362,甬矽电子,35.9,8.79%,9.29%,5.45亿,3.61亿,1.84亿,9.06亿
78,300041,回天新材,11.02,8.57%,16.05%,5.41亿,3.87亿,1.53亿,9.28亿
79,688668,鼎通科技,102.0,8.51%,7.34%,5.82亿,4.18亿,1.64亿,10.00亿
80,300766,每日互动,40.88,8.49%,27.91%,23.84亿,16.37亿,7.47亿,40.21亿
81,301323,新莱福,56.98,8.47%,15.15%,3.06亿,2.72亿,3425.30万,5.78亿
82,300399,天利科技,36.5,8.47%,23.95%,10.02亿,7.09亿,2.94亿,17.11亿
83,603306,华懋科技,46.9,8.39%,5.93%,5.51亿,3.42亿,2.09亿,8.93亿
84,300990,同飞股份,68.41,8.38%,11.35%,3.29亿,2.55亿,7431.33万,5.84亿
85,605208,永茂泰,14.38,8.36%,10.78%,2.95亿,2.01亿,9349.78万,4.96亿
86,688679,通源环境,19.6,8.29%,5.86%,6838.90万,8159.40万,-1320.50万,1.50亿
87,301502,华阳智能,58.56,8.20%,33.23%,2.23亿,2.35亿,-1187.38万,4.59亿
88,601606,长城军工,61.65,8.03%,17.92%,36.07亿,42.73亿,-6.66亿,78.79亿
89,3019,宸展光电,32.96,7.78%,10.10%,3.69亿,1.87亿,1.82亿,5.55亿
90,300194,福安药业,5.02,7.73%,20.74%,5.59亿,4.79亿,7970.58万,10.38亿
91,688648,中邮科技,48.17,7.69%,18.49%,2.94亿,2.88亿,596.84万,5.81亿
92,300196,长海股份,15.95,7.62%,14.88%,3.12亿,2.52亿,5988.34万,5.65亿
93,300690,双一科技,35.38,7.60%,52.00%,10.69亿,9.72亿,9717.20万,20.41亿
94,2920,德赛西威,113.91,7.44%,4.72%,16.41亿,13.28亿,3.13亿,29.69亿
95,688591,泰凌微,51.04,7.34%,10.05%,4.56亿,3.73亿,8362.34万,8.29亿
96,688535,华海诚科,87.71,7.34%,12.60%,2.96亿,2.61亿,3445.38万,5.57亿
97,300368,汇金股份,17.63,7.24%,31.34%,14.44亿,13.55亿,8850.80万,27.99亿
98,300969,恒帅股份,91.0,7.21%,21.21%,3.04亿,2.66亿,3778.83万,5.70亿
99,688127,蓝特光学,30.03,7.17%,3.71%,2.59亿,1.80亿,7896.55万,4.39亿
100,2967,广电计量,20.21,7.16%,7.91%,5.25亿,3.07亿,2.18亿,8.32亿
101,628,高新发展,53.71,7.16%,21.76%,12.47亿,9.20亿,3.26亿,21.67亿
102,688669,聚石化学,24.0,7.14%,4.98%,7427.31万,6964.38万,462.93万,1.44亿
103,300476,胜宏科技,216.88,7.13%,4.34%,42.11亿,36.86亿,5.26亿,78.97亿
104,603800,洪田股份,49.99,7.02%,11.57%,6.66亿,5.32亿,1.34亿,11.98亿
105,600513,联环药业,25.65,7.01%,22.86%,7.75亿,8.58亿,-8273.70万,16.32亿
106,300236,上海新阳,47.05,7.00%,9.33%,6.62亿,5.33亿,1.28亿,11.95亿
107,300546,雄帝科技,29.89,6.94%,29.10%,5.89亿,5.36亿,5303.57万,11.26亿
108,688691,灿芯股份,68.55,6.93%,14.55%,3.96亿,3.02亿,9450.46万,6.98亿
109,603722,阿科力,44.67,6.87%,5.15%,1.30亿,8453.01万,4563.33万,2.15亿
110,300430,诚益通,22.86,6.87%,17.76%,6.00亿,4.46亿,1.54亿,10.46亿
111,603129,春风动力,270.01,6.84%,1.76%,3.69亿,3.40亿,2906.26万,7.08亿
112,601008,连云港,6.45,6.79%,10.19%,4.80亿,3.23亿,1.58亿,8.03亿
113,688199,久日新材,27.29,6.77%,14.64%,2.81亿,3.58亿,-7750.69万,6.39亿
114,301259,艾布鲁,42.6,6.77%,9.80%,2.27亿,1.71亿,5540.42万,3.98亿
115,2396,星网锐捷,30.41,6.74%,5.57%,5.67亿,3.97亿,1.69亿,9.64亿
116,300756,金马游乐,32.64,6.74%,7.17%,1.80亿,1.21亿,5969.92万,3.01亿
117,688392,骄成超声,87.66,6.68%,4.17%,1.28亿,1.24亿,364.75万,2.52亿
118,301511,德福科技,35.84,6.67%,18.04%,12.61亿,10.61亿,2.00亿,23.23亿
119,300468,四方精创,40.92,6.67%,18.93%,22.33亿,17.32亿,5.01亿,39.66亿
120,301086,鸿富瀚,59.42,6.66%,12.79%,1.84亿,1.69亿,1542.24万,3.53亿
121,2833,弘亚数控,17.8,6.65%,7.46%,2.22亿,1.50亿,7163.82万,3.72亿
122,301367,瑞迈特,97.77,6.63%,5.87%,1.81亿,1.40亿,4117.83万,3.21亿
123,301232,飞沃科技,42.99,6.62%,37.48%,3.40亿,3.53亿,-1299.80万,6.92亿
124,300706,阿石创,48.76,6.56%,36.76%,9.93亿,10.37亿,-4405.40万,20.29亿
125,688313,仕佳光子,59.08,6.55%,9.47%,13.94亿,10.94亿,3.01亿,24.88亿
126,301181,标榜股份,31.14,6.53%,27.65%,1.71亿,1.43亿,2729.49万,3.14亿
127,2028,思源电气,85.0,6.49%,1.30%,4.01亿,2.54亿,1.47亿,6.55亿
128,688629,华丰科技,59.29,6.45%,14.93%,9.64亿,6.08亿,3.56亿,15.72亿
129,600798,宁波海运,4.31,6.42%,12.64%,4.07亿,2.41亿,1.66亿,6.48亿
130,600561,江西长运,7.47,6.41%,7.25%,8683.97万,6446.25万,2237.72万,1.51亿
131,300584,海辰药业,51.3,6.39%,27.34%,5.52亿,5.87亿,-3570.82万,11.39亿
132,2518,科士达,27.14,6.35%,6.98%,5.73亿,4.70亿,1.03亿,10.43亿
133,600232,金鹰股份,8.32,6.26%,16.75%,2.53亿,2.39亿,1440.18万,4.92亿
134,688448,磁谷科技,43.67,6.25%,18.51%,1.84亿,1.82亿,195.83万,3.65亿
135,600353,旭光电子,15.5,6.24%,12.79%,9.05亿,7.46亿,1.60亿,16.51亿
136,300502,新易盛,204.9,6.23%,5.85%,59.57亿,44.45亿,15.12亿,104.03亿
137,688146,中船特气,37.38,6.22%,16.07%,4.38亿,4.04亿,3404.25万,8.43亿
138,603033,三维股份,12.8,6.22%,2.87%,1.92亿,1.66亿,2609.53万,3.59亿
139,688157,松井股份,43.68,6.17%,4.49%,1.51亿,1.53亿,-170.81万,3.04亿
140,301010,晶雪节能,21.75,6.15%,7.47%,8713.91万,8566.25万,147.66万,1.73亿
141,603955,大千生态,39.85,6.15%,5.30%,1.51亿,1.33亿,1765.55万,2.83亿
142,603669,灵康药业,6.05,6.14%,9.24%,2.37亿,1.60亿,7694.61万,3.98亿
143,300192,科德教育,16.83,6.12%,11.86%,3.85亿,2.46亿,1.39亿,6.31亿
144,300589,江龙船艇,15.81,6.11%,25.94%,5.26亿,4.39亿,8760.48万,9.65亿
145,603290,斯达半导,96.87,6.10%,6.58%,7.68亿,7.30亿,3823.97万,14.97亿
146,301202,朗威股份,50.69,6.07%,36.53%,3.58亿,3.28亿,3028.27万,6.86亿
147,301590,优优绿能,165.72,6.07%,28.23%,2.12亿,1.69亿,4282.86万,3.81亿
148,605020,永和股份,28.29,5.99%,4.89%,3.07亿,2.06亿,1.01亿,5.14亿
149,300790,宇瞳光学,25.85,5.99%,14.98%,6.72亿,4.50亿,2.22亿,11.23亿
150,600835,上海机电,27.59,5.95%,5.39%,6.70亿,5.14亿,1.56亿,11.83亿
151,301095,广立微,82.0,5.93%,8.37%,6.22亿,5.49亿,7247.16万,11.71亿
152,66,中国长城,15.91,5.93%,12.43%,33.30亿,30.11亿,3.20亿,64.05亿
153,300002,神州泰岳,14.01,5.90%,12.43%,18.59亿,12.99亿,5.60亿,31.59亿
154,301075,多瑞医药,37.8,5.88%,7.33%,1.17亿,9514.37万,2234.37万,2.13亿
155,300226,上海钢联,28.14,5.87%,14.80%,7.29亿,5.19亿,2.10亿,12.48亿
156,603093,南华期货,23.2,5.84%,6.96%,4.94亿,4.79亿,1518.61万,9.72亿
157,688677,海泰新光,49.77,5.83%,3.08%,1.02亿,8063.30万,2120.43万,1.82亿
158,2551,尚荣医疗,4.78,5.75%,31.04%,4.68亿,4.25亿,4323.30万,8.93亿
159,603767,中马传动,31.9,5.70%,17.38%,8.76亿,7.95亿,8020.36万,16.71亿
160,688220,翱捷科技,93.1,5.63%,3.48%,5.93亿,5.48亿,4507.79万,11.42亿
161,603337,杰克股份,47.05,5.52%,0.90%,1.05亿,9065.05万,1399.06万,1.95亿
162,300657,弘信电子,30.95,5.52%,11.55%,9.81亿,6.54亿,3.27亿,16.35亿
163,688580,伟思医疗,55.86,5.40%,5.79%,1.53亿,1.53亿,30.85万,3.06亿
164,300602,飞荣达,29.75,5.38%,20.37%,12.15亿,11.59亿,5575.10万,23.74亿
165,688347,华虹公司,65.99,5.31%,5.96%,7.91亿,7.77亿,1437.80万,15.68亿
166,605378,野马电池,29.1,5.28%,12.85%,4.96亿,4.78亿,1778.02万,9.74亿
167,600094,大名城,3.39,5.28%,3.45%,1.36亿,1.16亿,2008.77万,2.51亿
168,29,深深房A,22.58,5.27%,1.50%,1.42亿,1.57亿,-1515.83万,3.01亿
169,2686,亿利达,7.4,5.26%,12.82%,2.11亿,2.87亿,-7674.00万,4.98亿
170,300499,高澜股份,22.83,5.26%,29.75%,9.51亿,8.57亿,9430.00万,18.08亿
171,603611,诺力股份,27.53,5.24%,9.95%,3.69亿,3.35亿,3355.33万,7.04亿
172,600888,新疆众和,7.87,5.21%,6.95%,4.25亿,3.33亿,9253.88万,7.58亿
173,2047,*ST宝鹰,2.22,5.21%,2.21%,4384.86万,2944.30万,1440.56万,7329.16万
174,603379,三美股份,53.62,5.20%,1.72%,3.29亿,2.23亿,1.06亿,5.51亿
175,2062,宏润建设,6.09,5.18%,14.67%,5.29亿,4.54亿,7517.84万,9.82亿
176,688410,山外山,18.16,5.15%,7.84%,1.81亿,1.61亿,1966.26万,3.42亿
177,600167,联美控股,6.55,5.14%,1.28%,1.12亿,7712.78万,3443.51万,1.89亿
178,300308,中际旭创,225.68,5.09%,3.90%,52.05亿,43.29亿,8.76亿,95.34亿
179,716,黑芝麻,7.03,5.08%,16.20%,4.10亿,3.83亿,2791.14万,7.93亿
180,600355,*ST精伦,3.12,5.05%,4.04%,736.31万,5456.61万,-4720.30万,6192.92万
181,2586,*ST围海,3.33,5.05%,1.36%,2746.26万,1238.95万,1507.31万,3985.22万
182,603500,祥和实业,11.67,5.04%,14.96%,3.05亿,2.77亿,2784.23万,5.83亿
183,603032,德新科技,20.05,5.03%,11.03%,2.82亿,2.13亿,6869.68万,4.95亿
184,600568,ST中珠,1.88,5.03%,2.45%,4754.05万,2883.37万,1870.68万,7637.41万
185,600360,*ST华微,9.0,5.02%,4.14%,2.24亿,1.30亿,9366.39万,3.53亿
186,2305,*ST南置,3.58,4.99%,4.28%,1.54亿,1.08亿,4634.91万,2.63亿
187,600421,*ST华嵘,6.74,4.98%,0.18%,0.00,240.29万,-240.29万,240.29万
188,600636,*ST国化,8.87,4.97%,2.12%,4921.68万,3218.51万,1703.17万,8140.19万
189,300429,强力新材,15.01,4.97%,26.70%,8.43亿,7.75亿,6837.50万,16.18亿
190,600066,宇通客车,27.7,4.96%,0.96%,3.81亿,2.00亿,1.81亿,5.82亿
191,600318,新力金融,10.39,4.95%,20.14%,6.22亿,4.51亿,1.71亿,10.72亿
192,301061,匠心家居,104.0,4.93%,1.15%,8919.97万,8187.02万,732.95万,1.71亿
193,2785,万里石,31.3,4.93%,5.82%,2.18亿,1.30亿,8771.21万,3.48亿
194,2231,*ST奥维,3.62,4.93%,4.33%,851.08万,3751.35万,-2900.27万,4602.43万
195,301132,满坤科技,42.31,4.91%,12.76%,4.06亿,3.85亿,2098.24万,7.91亿
196,603823,百合花,13.7,4.90%,6.19%,1.88亿,1.54亿,3406.41万,3.42亿
197,965,天保基建,4.71,4.90%,20.70%,5.81亿,4.86亿,9575.84万,10.67亿
198,603657,春光科技,32.39,4.89%,5.38%,1.10亿,1.21亿,-1039.84万,2.31亿
199,2830,名雕股份,18.88,4.89%,7.56%,4851.22万,4565.90万,285.32万,9417.12万
200,2721,金一文化,3.91,4.83%,10.21%,6.82亿,3.80亿,3.02亿,10.62亿
201,688709,成都华微,34.96,4.83%,5.54%,2.15亿,2.06亿,884.93万,4.21亿
202,301536,星宸科技,60.2,4.82%,7.30%,4.75亿,3.40亿,1.35亿,8.16亿
203,301293,三博脑科,60.18,4.82%,20.58%,10.55亿,9.39亿,1.16亿,19.95亿
204,603040,新坐标,54.19,4.82%,3.84%,1.45亿,1.31亿,1447.82万,2.76亿
205,300577,开润股份,22.4,4.82%,4.94%,8703.68万,6690.40万,2013.29万,1.54亿
206,688301,奕瑞科技,98.0,4.81%,2.37%,2.19亿,2.33亿,-1326.46万,4.52亿
207,2868,*ST绿康,28.96,4.81%,1.12%,2607.65万,2322.82万,284.83万,4930.47万
208,2130,沃尔核材,24.34,4.78%,12.84%,23.79亿,14.87亿,8.92亿,38.67亿
209,603725,天安新材,10.79,4.76%,8.15%,1.44亿,1.08亿,3598.36万,2.52亿
210,688399,硕世生物,63.68,4.75%,3.78%,1.20亿,7916.67万,4120.09万,2.00亿
211,300981,中红医疗,17.47,4.74%,10.81%,3.60亿,3.93亿,-3367.24万,7.53亿
212,300773,拉卡拉,28.05,4.70%,10.95%,12.67亿,9.40亿,3.27亿,22.07亿
213,300046,台基股份,44.98,4.70%,19.96%,11.02亿,9.88亿,1.14亿,20.90亿
214,45,深纺织A,12.04,4.70%,9.46%,2.81亿,2.29亿,5139.25万,5.16亿
215,688512,慧智微,12.55,4.67%,7.22%,1.48亿,1.39亿,926.11万,2.88亿
216,2971,和远气体,28.59,4.65%,3.05%,7625.57万,6038.40万,1587.17万,1.37亿
217,301309,万得凯,34.73,4.64%,39.93%,1.73亿,1.76亿,-338.34万,3.49亿
218,600892,*ST大晟,3.16,4.64%,5.09%,5159.02万,3757.81万,1401.21万,8916.83万
219,300967,晓鸣股份,24.0,4.62%,22.18%,3.19亿,3.56亿,-3657.10万,6.75亿
220,688767,博拓生物,36.33,4.61%,4.90%,1.51亿,1.10亿,4089.31万,2.62亿
221,300257,开山股份,14.55,4.60%,2.01%,1.57亿,1.17亿,4025.49万,2.74亿
222,300113,顺网科技,22.05,4.60%,10.04%,6.82亿,4.59亿,2.23亿,11.41亿
223,603912,佳力图,10.3,4.57%,13.51%,3.86亿,3.70亿,1554.02万,7.56亿
224,301606,绿联科技,61.69,4.56%,2.35%,1.62亿,1.47亿,1504.23万,3.08亿
225,301057,汇隆新材,21.31,4.56%,8.98%,7802.91万,7791.54万,11.37万,1.56亿
226,2316,ST亚联,5.73,4.56%,7.52%,9278.49万,5143.10万,4135.40万,1.44亿
227,603893,瑞芯微,167.66,4.55%,3.13%,13.48亿,8.20亿,5.28亿,21.68亿
228,2156,通富微电,28.7,4.55%,7.08%,18.19亿,12.25亿,5.94亿,30.44亿
229,688236,春立医疗,25.08,4.54%,1.63%,6136.32万,5657.19万,479.12万,1.18亿
230,301120,新特电气,14.75,4.54%,31.19%,4.41亿,6.43亿,-2.02亿,10.84亿
231,300537,广信材料,27.65,4.54%,18.76%,3.77亿,3.53亿,2379.95万,7.30亿
232,600243,*ST海华,3.7,4.52%,5.49%,4750.98万,4020.72万,730.25万,8771.70万
233,2401,中远海科,20.33,4.52%,10.43%,3.79亿,3.87亿,-785.75万,7.65亿
234,603075,热威股份,24.75,4.52%,27.97%,1.46亿,1.41亿,456.34万,2.87亿
235,603607,京华激光,25.97,4.47%,12.58%,2.77亿,3.01亿,-2438.30万,5.78亿
236,688502,茂莱光学,343.54,4.46%,9.65%,2.98亿,2.44亿,5348.02万,5.42亿
237,688549,中巨芯,8.45,4.45%,7.54%,2.11亿,1.54亿,5702.66万,3.65亿
238,300003,乐普医疗,18.07,4.45%,5.01%,7.53亿,7.01亿,5248.70万,14.54亿
239,603173,福斯达,46.14,4.44%,10.40%,1.09亿,1.24亿,-1573.76万,2.33亿
240,688260,昀冢科技,26.0,4.42%,5.86%,9826.84万,8351.11万,1475.73万,1.82亿
241,603196,日播时尚,20.12,4.41%,3.09%,8270.93万,6361.29万,1909.64万,1.46亿
242,1298,好上好,33.2,4.40%,30.55%,8.07亿,7.25亿,8241.87万,15.32亿
243,600775,南京熊猫,12.1,4.40%,14.69%,6.18亿,5.69亿,4951.44万,11.87亿
244,300613,富瀚微,53.63,4.38%,7.27%,4.38亿,4.04亿,3367.11万,8.43亿
245,2927,泰永长征,16.92,4.38%,15.89%,2.06亿,4.00亿,-1.94亿,6.06亿
246,688531,日联科技,63.0,4.34%,5.78%,2.15亿,1.71亿,4433.21万,3.85亿
247,300085,银之杰,44.1,4.33%,9.94%,17.40亿,9.91亿,7.49亿,27.31亿
248,688372,伟测科技,60.07,4.31%,8.07%,2.84亿,2.07亿,7648.36万,4.91亿
249,301015,百洋医药,26.39,4.31%,2.63%,1.94亿,1.66亿,2761.01万,3.60亿
250,600589,大位科技,8.48,4.31%,13.37%,10.56亿,6.10亿,4.45亿,16.66亿
251,2166,莱茵生物,8.72,4.31%,26.11%,3.62亿,6.95亿,-3.34亿,10.57亿
252,600608,*ST沪科,4.12,4.30%,2.17%,1090.86万,1758.44万,-667.58万,2849.30万
253,688370,丛麟科技,25.35,4.28%,10.62%,6659.76万,5040.45万,1619.31万,1.17亿
254,603081,大丰实业,13.4,4.28%,9.01%,3.11亿,2.12亿,9851.90万,5.23亿
255,600021,上海电力,10.96,4.28%,5.02%,8.83亿,6.48亿,2.35亿,15.30亿
256,300274,阳光电源,88.1,4.24%,4.91%,35.77亿,31.04亿,4.73亿,66.82亿
257,818,航锦科技,22.87,4.24%,11.52%,9.99亿,7.15亿,2.84亿,17.15亿
258,600255,鑫科材料,4.19,4.23%,16.07%,7.05亿,5.08亿,1.98亿,12.13亿
259,36,华联控股,3.94,4.23%,3.22%,1.08亿,5921.38万,4877.78万,1.73亿
260,301258,富士莱,39.02,4.22%,21.14%,1.40亿,1.35亿,540.08万,2.75亿
261,688403,汇成股份,13.59,4.22%,9.68%,3.80亿,3.72亿,819.34万,7.51亿
262,68,华控赛格,3.71,4.21%,6.09%,1.23亿,1.03亿,1976.64万,2.29亿
263,301196,唯科科技,89.82,4.20%,6.90%,3.83亿,3.79亿,379.04万,7.62亿
264,688310,迈得医疗,19.36,4.20%,5.28%,9282.66万,7870.31万,1412.34万,1.72亿
265,301165,锐捷网络,67.62,4.19%,16.32%,5.89亿,4.45亿,1.44亿,10.33亿
266,601567,三星医疗,24.4,4.18%,2.54%,5.35亿,3.29亿,2.06亿,8.64亿
267,2005,ST德豪,2.76,4.15%,1.36%,3598.91万,2922.65万,676.26万,6521.56万
268,600498,烽火通信,25.2,4.13%,5.97%,10.70亿,6.58亿,4.12亿,17.28亿
269,600302,标准股份,7.6,4.11%,10.39%,1.49亿,1.20亿,2893.66万,2.69亿
270,688159,有方科技,60.59,4.05%,9.24%,3.06亿,2.05亿,1.00亿,5.11亿
271,600228,*ST返利,4.38,4.04%,2.72%,3298.50万,1587.42万,1711.08万,4885.92万
272,2338,奥普光电,51.19,4.04%,5.76%,3.60亿,3.36亿,2342.60万,6.96亿
273,688581,安杰思,84.89,4.03%,6.78%,1.37亿,1.05亿,3261.60万,2.42亿
274,601199,江南水务,5.97,4.01%,3.31%,1.18亿,6386.15万,5429.27万,1.82亿
275,2444,巨星科技,33.68,4.01%,1.06%,2.07亿,1.99亿,814.70万,4.06亿
276,2017,东信和平,30.33,4.01%,21.27%,18.70亿,18.50亿,1961.50万,37.20亿
277,301345,涛涛车业,171.6,4.00%,10.47%,2.87亿,2.24亿,6308.30万,5.11亿
278,603186,华正新材,36.47,3.99%,20.36%,5.10亿,5.30亿,-2016.09万,10.40亿
279,300655,晶瑞电材,11.2,3.99%,9.96%,6.09亿,4.86亿,1.23亿,10.95亿
280,300475,香农芯创,37.0,3.96%,5.23%,5.03亿,3.46亿,1.57亿,8.49亿
281,688205,德科立,72.83,3.94%,5.55%,2.82亿,3.48亿,-6618.86万,6.30亿
282,856,冀东装备,12.42,3.93%,17.59%,2.59亿,2.44亿,1462.30万,5.03亿
283,2537,海联金汇,9.81,3.92%,9.20%,6.18亿,4.17亿,2.01亿,10.35亿
284,688227,品高股份,32.97,3.91%,12.30%,1.46亿,1.14亿,3146.56万,2.60亿
285,301188,力诺药包,25.06,3.90%,4.22%,1.36亿,1.15亿,2027.35万,2.51亿
