序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1883,300415,伊之密,21.66,0.14%,2.12%,1.02亿,1.06亿,-387.36万,2.08亿
1884,2594,比亚迪,105.67,0.14%,0.90%,16.39亿,16.64亿,-2445.00万,33.03亿
1885,2381,双箭股份,7.17,0.14%,1.53%,1811.29万,1704.52万,106.77万,3515.81万
1886,2361,神剑股份,7.3,0.14%,7.50%,2.05亿,2.37亿,-3201.80万,4.42亿
1887,2301,齐心集团,7.18,0.14%,1.28%,3257.89万,3341.53万,-83.64万,6599.42万
1888,777,中核科技,21.41,0.14%,3.91%,1.39亿,1.78亿,-3941.08万,3.17亿
1889,543,皖能电力,7.12,0.14%,0.68%,5007.42万,5949.50万,-942.08万,1.10亿
1890,89,深圳机场,7.22,0.14%,0.54%,3845.01万,4157.89万,-312.88万,8068.75万
1891,605365,立达信,14.84,0.13%,0.43%,1503.47万,1671.00万,-167.53万,3174.47万
1892,600906,财达证券,7.58,0.13%,3.09%,2.24亿,2.72亿,-4769.59万,4.96亿
1893,300970,华绿生物,15.88,0.13%,4.14%,3172.32万,2928.45万,243.87万,6100.78万
1894,300968,格林精密,15.43,0.13%,1.90%,5713.07万,6374.93万,-661.85万,1.21亿
1895,605003,众望布艺,22.9,0.13%,1.00%,1186.86万,1318.30万,-131.44万,2505.16万
1896,603661,恒林股份,30.22,0.13%,0.58%,1197.67万,1256.31万,-58.65万,2453.98万
1897,601966,玲珑轮胎,15.29,0.13%,0.97%,1.08亿,1.11亿,-325.32万,2.18亿
1898,601328,交通银行,7.68,0.13%,0.40%,6.42亿,5.73亿,6904.26万,12.15亿
1899,605138,盛泰集团,7.78,0.13%,1.61%,3178.18万,3816.01万,-637.83万,6994.20万
1900,601007,金陵饭店,7.7,0.13%,1.62%,2380.95万,2472.84万,-91.89万,4853.80万
1901,600278,东方创业,7.88,0.13%,1.31%,4862.28万,4107.00万,755.27万,8969.28万
1902,300609,汇纳科技,44.87,0.13%,5.21%,1.38亿,1.41亿,-275.70万,2.79亿
1903,300533,冰川网络,37.33,0.13%,11.52%,3.26亿,3.87亿,-6044.00万,7.13亿
1904,300295,三六五网,15.21,0.13%,2.17%,2674.57万,2831.66万,-157.09万,5506.23万
1905,300093,*ST金刚,14.84,0.13%,3.05%,4675.00万,5229.74万,-554.74万,9904.74万
1906,559,万向钱潮,7.8,0.13%,0.74%,9038.64万,9629.40万,-590.76万,1.90亿
1907,99,中信海直,23.3,0.13%,2.80%,2.37亿,2.62亿,-2552.58万,5.04亿
1908,603014,威高血净,40.97,0.12%,17.55%,1.20亿,1.58亿,-3839.15万,2.78亿
1909,301066,万事利,16.02,0.12%,2.01%,2833.55万,3260.45万,-426.90万,6094.00万
