日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-04-02,0.534502963538966,5.43,4.89,5.68,0.07447645640309684,5.05,5.58,0.050424571482685705
2025-04-03,0.6148810231046467,5.43,4.89,5.68,0.07447645640309684,5.06,5.58,0.049344719282533894
2025-04-07,0.21273874678045218,5.42,4.89,5.67,0.07351810795530347,5.06,5.58,0.049344719282533894
2025-04-08,0.441961852396383,5.42,4.89,5.67,0.07351810795530347,5.07,5.58,0.04826708501080514
2025-04-09,0.6648206900438277,5.42,4.91,5.67,0.07240766594745526,5.08,5.57,0.046213166499707053
2025-04-10,0.6084467102759844,5.42,4.91,5.67,0.07240766594745526,5.09,5.57,0.04513985045693711
2025-04-11,0.44292297251106255,5.42,4.91,5.67,0.07240766594745526,5.09,5.57,0.04513985045693711
2025-04-14,0.5064692071658589,5.42,4.91,5.67,0.07240766594745526,5.09,5.57,0.04513985045693711
2025-04-15,0.6820985239402079,5.42,4.91,5.67,0.07240766594745526,5.1,5.57,0.04406873439926564
2025-04-16,0.7375824349504535,5.43,4.91,5.67,0.07240766594745526,5.1,5.57,0.04406873439926564
2025-04-17,0.7839139947880617,5.43,4.91,5.66,0.07144717533684414,5.11,5.57,0.04299981156962499
2025-04-18,0.8076762812917853,5.43,4.92,5.66,0.07033887549181368,5.11,5.57,0.04299981156962499
2025-04-21,0.9363133226528207,5.43,4.92,5.66,0.07033887549181368,5.11,5.57,0.04299981156962499
2025-04-22,0.844341806371578,5.44,4.92,5.67,0.071299518837603,5.12,5.58,0.042911944639454476
2025-04-23,0.8567937622253218,5.44,4.92,5.67,0.071299518837603,5.12,5.58,0.042911944639454476
2025-04-24,0.941820121831382,5.44,4.92,5.68,0.07225817891657062,5.13,5.59,0.04282443607611562
2025-04-25,0.9780391449531819,5.45,4.92,5.7,0.07416957379038376,5.13,5.61,0.04379940634275895
2025-04-28,0.9856948517811336,5.45,4.92,5.74,0.07702194416617837,5.13,5.62,0.04477239243888428
2025-04-29,0.9485374828014616,5.45,4.93,5.77,0.07875236081393959,5.15,5.63,0.04468146080715706
2025-04-30,0.7632402957805231,5.46,4.93,5.77,0.07875236081393959,5.15,5.64,0.04565059093709742
2025-05-06,0.890541073013698,5.46,4.93,5.77,0.07875236081393959,5.15,5.64,0.04565059093709742
2025-05-07,0.8164135264942363,5.46,4.93,5.76,0.07780918284027379,5.16,5.65,0.04555815730141668
