日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-02-18,27.63,0.69,210859712.0,6.86,38568816.0,1.25,172290896.0,5.6,-202309792.0,-6.58,-8549920.0,-0.28
2025-02-19,27.34,-1.05,-222558064.0,-9.49,-83499888.0,-3.56,-139058176.0,-5.93,96061552.0,4.1,126496528.0,5.39
2025-02-20,27.31,-0.11,206145232.0,10.58,226636544.0,11.63,-20491312.0,-1.05,-306044784.0,-15.7,99899552.0,5.13
2025-02-21,27.07,-0.88,-128003664.0,-3.69,71857232.0,2.07,-199860896.0,-5.76,70947424.0,2.04,57056240.0,1.64
2025-02-24,26.82,-0.92,-202956256.0,-5.67,-188314544.0,-5.26,-14641712.0,-0.41,-146107376.0,-4.08,349063632.0,9.75
2025-02-25,26.6,-0.82,-61005312.0,-2.29,-15623104.0,-0.59,-45382208.0,-1.7,-3228064.0,-0.12,64233376.0,2.41
2025-02-26,26.9,1.13,126899264.0,5.18,122026944.0,4.98,4872320.0,0.2,-131774592.0,-5.38,4875328.0,0.2
2025-02-27,26.79,-0.41,-231450544.0,-8.49,-178094496.0,-6.53,-53356048.0,-1.96,127287776.0,4.67,104162752.0,3.82
2025-02-28,26.65,-0.52,-45548976.0,-1.41,17309632.0,0.53,-62858608.0,-1.94,-73606816.0,-2.27,119155776.0,3.68
2025-03-03,26.36,-1.09,-1275296.0,-0.04,228613664.0,7.47,-229888960.0,-7.51,-193200640.0,-6.31,194475936.0,6.35
2025-03-04,26.42,0.23,-12828211.0,-0.73,-2561379.0,-0.15,-10266832.0,-0.58,-7378304.0,-0.42,20206512.0,1.15
2025-03-05,26.75,1.25,182689008.0,7.04,49535440.0,1.91,133153568.0,5.13,-164674576.0,-6.35,-18014416.0,-0.69
2025-03-06,26.49,-0.97,-194517808.0,-7.28,-100334560.0,-3.76,-94183248.0,-3.53,39089440.0,1.46,155428352.0,5.82
2025-03-07,26.53,0.15,124207440.0,6.66,73089968.0,3.92,51117472.0,2.74,-175918720.0,-9.44,51711280.0,2.77
2025-03-10,26.37,-0.6,-78196560.0,-3.27,-77035696.0,-3.22,-1160864.0,-0.05,-158675344.0,-6.63,236871904.0,9.9
2025-03-11,26.46,0.34,-10857904.0,-0.44,235926944.0,9.56,-246784848.0,-10.0,-17519552.0,-0.71,28377488.0,1.15
2025-03-12,26.39,-0.26,-54135920.0,-2.55,-52273920.0,-2.46,-1862000.0,-0.09,-61631184.0,-2.9,115767104.0,5.44
2025-03-13,26.52,0.49,1932528.0,0.08,-38042608.0,-1.6,39975136.0,1.68,9040688.0,0.38,-10973232.0,-0.46
2025-03-14,26.72,0.75,-18177392.0,-0.59,-23945808.0,-0.78,5768416.0,0.19,100118656.0,3.28,-81941248.0,-2.68
2025-03-17,26.64,-0.3,-100157216.0,-4.77,-97396176.0,-4.64,-2761040.0,-0.13,62060352.0,2.96,38096880.0,1.81
2025-03-18,26.47,-0.64,-242825776.0,-11.47,-175287824.0,-8.28,-67537952.0,-3.19,63215680.0,2.99,179610080.0,8.49
2025-03-19,26.9,1.62,404828592.0,11.14,286336208.0,7.88,118492384.0,3.26,-249444304.0,-6.86,-155384272.0,-4.28
2025-03-20,26.91,0.04,87587464.0,5.26,142626536.0,8.57,-55039072.0,-3.31,-78747344.0,-4.73,-8840128.0,-0.53
2025-03-21,26.67,-0.89,-45763424.0,-2.24,-57209392.0,-2.8,11445968.0,0.56,-50545008.0,-2.47,96308448.0,4.71
2025-03-24,26.97,1.12,287672576.0,10.48,190950080.0,6.95,96722496.0,3.52,-178236464.0,-6.49,-109436128.0,-3.99
2025-03-25,27.2,0.85,262502720.0,12.19,213646992.0,9.92,48855728.0,2.27,-154745728.0,-7.19,-107756992.0,-5.01
2025-03-26,27.1,-0.37,-18447482.0,-0.96,23693654.0,1.24,-42141136.0,-2.2,2801392.0,0.15,15646096.0,0.82
2025-03-27,27.04,-0.22,-22748551.0,-1.43,-73755207.0,-4.64,51006656.0,3.21,-9534560.0,-0.6,32283120.0,2.03
2025-03-28,27.12,0.3,160298883.0,10.08,131071299.0,8.24,29227584.0,1.84,-114604912.0,-7.2,-45693968.0,-2.87
2025-03-31,27.08,-0.15,24499408.0,0.97,-60956640.0,-2.41,85456048.0,3.38,12248288.0,0.48,-36747696.0,-1.45
2025-04-01,27.17,0.33,98461270.0,6.1,-10653786.0,-0.66,109115056.0,6.76,-102308144.0,-6.34,3846896.0,0.24
2025-04-02,27.1,-0.26,-25950669.0,-1.69,23136979.0,1.5,-49087648.0,-3.19,35076192.0,2.28,-9125520.0,-0.59
2025-04-03,27.67,2.1,205088736.0,5.06,41601984.0,1.03,163486752.0,4.03,-82867056.0,-2.04,-122221664.0,-3.01
2025-04-07,27.6,-0.25,-567214976.0,-6.13,-447438208.0,-4.84,-119776768.0,-1.3,553455680.0,5.99,13759296.0,0.15
2025-04-08,28.32,2.61,-247381952.0,-3.69,57338272.0,0.86,-304720224.0,-4.55,562274672.0,8.39,-314892720.0,-4.7
2025-04-09,28.84,1.84,376517344.0,5.84,316401600.0,4.91,60115744.0,0.93,-202365728.0,-3.14,-174151632.0,-2.7
2025-04-10,28.44,-1.39,65215776.0,1.62,37553952.0,0.93,27661824.0,0.69,-15842144.0,-0.39,-49373616.0,-1.23
2025-04-11,28.47,0.11,169722144.0,6.68,-84625792.0,-3.33,254347936.0,10.0,-103294080.0,-4.06,-66428064.0,-2.61
2025-04-14,28.42,-0.18,85080864.0,3.55,-86862080.0,-3.62,171942944.0,7.17,-133714448.0,-5.57,48633568.0,2.03
2025-04-15,28.54,0.42,-66159280.0,-2.9,67354064.0,2.95,-133513344.0,-5.85,26947056.0,1.18,39212224.0,1.72
2025-04-16,28.67,0.46,-203152800.0,-6.9,-139273840.0,-4.73,-63878960.0,-2.17,201754672.0,6.85,1398096.0,0.05
2025-04-17,28.48,-0.66,-71639664.0,-2.93,-62247888.0,-2.54,-9391776.0,-0.38,28858400.0,1.18,42781248.0,1.75
2025-04-18,28.85,1.3,329256992.0,12.7,251760336.0,9.71,77496656.0,2.99,-170820000.0,-6.59,-158437008.0,-6.11
2025-04-21,28.58,-0.94,-102572955.0,-6.15,-85747323.0,-5.15,-16825632.0,-1.01,71615184.0,4.3,30957776.0,1.86
2025-04-22,28.6,0.07,156895184.0,6.91,86862464.0,3.83,70032720.0,3.09,-172056464.0,-7.58,15161296.0,0.67
2025-04-23,28.47,-0.45,-28984656.0,-1.61,-47221760.0,-2.62,18237104.0,1.01,-113027744.0,-6.28,142012416.0,7.89
2025-04-24,28.73,0.91,115526699.0,6.9,116217803.0,6.94,-691104.0,-0.04,-69136976.0,-4.13,-46389744.0,-2.77
2025-04-25,28.79,0.21,154991230.0,9.66,107536894.0,6.7,47454336.0,2.96,-96940288.0,-6.04,-58050944.0,-3.62
2025-04-28,28.99,0.69,153542784.0,7.13,27001200.0,1.25,126541584.0,5.88,-114416848.0,-5.31,-39125952.0,-1.82
2025-04-29,28.73,-0.9,-11064032.0,-0.52,-25175952.0,-1.18,14111920.0,0.66,-60500144.0,-2.84,71564192.0,3.36
2025-04-30,28.77,0.14,51673440.0,3.17,-61757696.0,-3.79,113431136.0,6.96,-83767248.0,-5.14,32093824.0,1.97
2025-05-06,28.45,-1.11,-17453360.0,-0.72,69473360.0,2.86,-86926720.0,-3.58,10093280.0,0.42,7360096.0,0.3
2025-05-07,28.62,0.6,63365696.0,2.68,64455648.0,2.72,-1089952.0,-0.05,-108574912.0,-4.59,45209216.0,1.91
2025-05-08,28.58,-0.14,60699494.0,4.4,25788550.0,1.87,34910944.0,2.53,-5701792.0,-0.41,-54997691.0,-3.98
2025-05-09,28.82,0.84,117432848.0,5.42,-4042592.0,-0.19,121475440.0,5.61,-71910352.0,-3.32,-45522496.0,-2.1
2025-05-12,28.81,-0.03,129255243.0,7.65,-14654005.0,-0.87,143909248.0,8.51,-79113600.0,-4.68,-50141648.0,-2.97
2025-05-13,29.01,0.69,119816976.0,6.56,-38048976.0,-2.08,157865952.0,8.64,-155092000.0,-8.49,35275008.0,1.93
2025-05-14,29.35,1.17,64635888.0,2.89,38179632.0,1.71,26456256.0,1.18,-15982992.0,-0.71,-48652912.0,-2.17
2025-05-15,29.62,0.92,-62280720.0,-2.88,-35794352.0,-1.66,-26486368.0,-1.23,92938272.0,4.3,-30657584.0,-1.42
2025-05-16,29.37,-0.84,-26290224.0,-1.37,-91051440.0,-4.74,64761216.0,3.37,62170992.0,3.24,-35880768.0,-1.87
2025-05-19,29.74,1.26,120362623.0,7.04,69297647.0,4.05,51064976.0,2.99,-86520560.0,-5.06,-33842048.0,-1.98
2025-05-20,29.95,0.71,-67526448.0,-3.62,-47389392.0,-2.54,-20137056.0,-1.08,54190160.0,2.91,13336272.0,0.72
2025-05-21,30.07,0.4,-194617410.0,-11.79,3090142.0,0.19,-197707552.0,-11.98,46873216.0,2.84,147744192.0,8.95
2025-05-22,30.3,0.76,37123599.0,2.24,64893071.0,3.91,-27769472.0,-1.67,-47227792.0,-2.85,10104192.0,0.61
2025-05-23,29.76,-1.78,-70845808.0,-2.71,107021520.0,4.1,-177867328.0,-6.81,-76225376.0,-2.92,147071184.0,5.63
2025-05-26,29.61,-0.5,4840666.0,0.25,30833290.0,1.62,-25992624.0,-1.37,26589952.0,1.4,-31430624.0,-1.65
2025-05-27,29.53,-0.27,-166569615.0,-9.65,-75517935.0,-4.38,-91051680.0,-5.28,109893680.0,6.37,56675936.0,3.28
2025-05-28,29.8,0.91,195694608.0,11.96,224853648.0,13.74,-29159040.0,-1.78,-151617776.0,-9.26,-44076832.0,-2.69
2025-05-29,29.56,-0.81,49473048.0,2.44,140423032.0,6.93,-90949984.0,-4.49,18240464.0,0.9,-67713504.0,-3.34
2025-05-30,29.47,-0.3,53648381.0,2.74,-127753715.0,-6.54,181402096.0,9.28,-112588544.0,-5.76,58940160.0,3.02
2025-06-03,29.42,-0.17,-13290512.0,-0.57,176868560.0,7.52,-190159072.0,-8.09,-57102192.0,-2.43,70392704.0,2.99
2025-06-04,29.16,-0.88,-34561248.0,-1.94,52919936.0,2.96,-87481184.0,-4.9,-31378256.0,-1.76,65939472.0,3.69
2025-06-05,29.07,-0.31,10769088.0,0.66,36995440.0,2.25,-26226352.0,-1.6,-90640544.0,-5.52,79871456.0,4.87
2025-06-06,29.26,0.65,124825184.0,7.62,58267696.0,3.56,66557488.0,4.06,-91021056.0,-5.56,-33804128.0,-2.06
2025-06-09,29.25,-0.03,147746032.0,7.24,-56609728.0,-2.77,204355760.0,10.02,-76789728.0,-3.76,-70956304.0,-3.48
