序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
4332,300379,*ST东通,5.24,-16.99,5136.0,-1.5,-8.7,5070,-6.6,-6.6,4904,-6.76,软件开发
4333,688566,吉贝尔,31.42,-11.07,4418.0,-1.5,-13.5,5426,-8.72,-3.85,3782,-9.14,化学制药
4334,002278,神开股份,9.82,-8.53,3905.0,-1.5,-1.88,2586,-1.6,-0.8,1763,1.66,专用设备
4335,600019,宝钢股份,7.2,-3.64,2698.0,-1.5,-0.07,1706,-1.64,0.96,865,-3.74,钢铁行业
4336,002544,普天科技,23.68,-19.81,5326.0,-1.5,-1.86,2574,0.98,0.22,1213,2.78,通信服务
4337,601208,东材科技,16.27,-3.75,2731.0,-1.51,-2.44,2882,-0.91,-6.69,4930,-7.08,塑料制品
4338,601212,白银有色,3.26,-9.54,4143.0,-1.51,-5.86,4407,-1.51,-4.02,3863,-1.81,有色金属
4339,688420,美腾科技,27.4,-2.21,2360.0,-1.51,-10.3,5252,0.85,-5.74,4644,4.26,专用设备
4340,002363,隆基机械,8.46,-7.42,3651.0,-1.51,-0.29,1801,4.19,-1.84,2414,6.42,汽车零部件
4341,603151,邦基科技,24.19,-4.7,2839.0,-1.51,-2.98,2993,-1.79,0.18,1238,-2.38,农牧饲渔
4342,002624,完美世界,14.98,-11.95,4553.0,-1.51,-4.43,3905,-2.66,-1.88,2442,-0.66,游戏
4343,601089,福元医药,30.64,-5.26,3086.0,-1.51,2.56,742,6.46,1.63,643,33.8,化学制药
4344,603098,森特股份,10.46,-11.9,4544.0,-1.51,-5.62,4333,0.38,-4.66,4184,-1.32,工程建设
4345,688292,浩瀚深度,22.06,-14.03,4851.0,-1.52,-12.68,5134,-1.69,-5.08,4150,1.57,互联网服务
4346,002596,海南瑞泽,3.89,-14.23,4876.0,-1.52,-4.84,3843,-0.26,-6.6,4646,-5.12,水泥建材
4347,300841,康华生物,86.77,-1.7,2233.0,-1.52,0.13,1623,11.09,1.42,711,27.27,生物制品
4348,600965,福成股份,5.18,-17.52,5178.0,-1.52,-2.11,2711,-0.96,-5.1,4396,-0.77,农牧饲渔
4349,301276,嘉曼服饰,25.3,-14.65,4918.0,-1.52,-6.08,4483,-2.69,2.04,525,12.75,纺织服装
4350,605589,圣泉集团,31.09,-5.7,3206.0,-1.52,-10.76,5292,-3.0,-5.07,4379,-2.51,化学制品
4351,300530,领湃科技,34.32,-5.6,3184.0,-1.52,-2.02,2667,-1.69,-6.1,4766,-7.72,电池
4352,688799,华纳药厂,49.91,-4.11,2826.0,-1.52,-6.92,4719,-5.9,-7.11,5035,-11.66,化学制药
4353,002205,国统股份,15.57,-10.38,4283.0,-1.52,-2.35,2837,18.4,-1.34,2093,6.86,水泥建材
4354,688317,之江生物,23.95,-9.14,4052.0,-1.52,-7.48,4858,-7.21,-2.2,2671,-1.03,医疗器械
4355,688135,利扬芯片,21.36,-14.45,4900.0,-1.52,-7.02,4743,-1.34,-6.33,4830,-3.04,半导体
4356,688455,科捷智能,15.4,-15.42,5000.0,-1.53,-5.91,4423,1.12,-4.52,4126,5.41,通用设备
4357,603778,国晟科技,3.87,-13.95,4835.0,-1.53,-3.82,3597,0.52,-5.51,4562,-0.77,光伏设备
4358,002377,国创高新,3.19,-12.32,4607.0,-1.54,2.44,776,3.91,-1.35,2099,0.63,化学制品
4359,002181,粤 传 媒,7.05,-20.74,5348.0,-1.54,-6.17,4507,-1.67,-3.46,3527,-1.54,文化传媒
4360,603878,武进不锈,5.74,-12.12,4576.0,-1.54,-3.78,3577,0.35,1.57,671,-0.52,钢铁行业
4361,605008,长鸿高科,14.1,-27.47,5474.0,-1.54,-8.81,5089,-2.35,-8.59,5279,-3.42,塑料制品
4362,688218,江苏北人,23.63,-7.2,3603.0,-1.54,-3.29,3341,0.64,-2.09,2615,7.26,专用设备
4363,603949,雪龙集团,19.2,-12.73,4663.0,-1.54,-8.18,4988,-1.03,-5.84,4684,-1.23,汽车零部件
4364,301387,光大同创,42.06,-8.84,3986.0,-1.54,1.02,1258,3.93,-1.58,2257,4.37,消费电子
4365,600696,*ST岩石,6.39,-13.11,4721.0,-1.54,-2.97,2987,0.95,0.76,890,11.71,酿酒行业
4366,300179,四方达,10.87,-16.45,5089.0,-1.54,-7.55,4872,1.97,-4.08,3904,3.13,通用设备
4367,301526,国际复材,5.1,-4.58,2811.0,-1.54,0.48,1367,5.81,-2.37,2779,2.0,玻璃玻纤
4368,300411,金盾股份,14.02,-8.24,3833.0,-1.54,-0.98,2137,1.67,-2.99,3210,-1.48,专用设备
4369,605303,园林股份,12.8,-4.66,2828.0,-1.54,-14.46,5177,-0.31,-9.52,5082,1.67,工程建设
4370,600197,伊力特,15.39,-14.86,4944.0,-1.54,3.21,596,4.48,0.28,1187,3.36,酿酒行业
4371,300582,英飞特,14.08,-14.8,4934.0,-1.54,-1.16,2226,1.88,-0.8,1765,2.47,光学光电子
4372,002946,新乳业,17.13,-19.0,5281.0,-1.55,-6.45,4593,0.82,-3.97,3841,2.82,食品饮料
4373,688186,广大特材,25.98,-14.07,4857.0,-1.55,-3.15,3252,4.0,-2.61,2934,4.13,风电设备
4374,002348,高乐股份,3.81,-20.21,5339.0,-1.55,-4.06,3717,-0.52,-2.73,3018,-3.79,家用轻工
4375,300921,南凌科技,24.72,-4.8,2854.0,-1.55,-3.97,3466,-0.16,-4.62,4168,-4.52,通信服务
4376,300407,凯发电气,11.45,-5.01,3029.0,-1.55,-2.3,2819,2.69,-0.65,1686,4.85,电网设备
4377,301071,力量钻石,30.49,-9.88,4208.0,-1.55,-6.43,4343,-0.07,-4.68,3960,0.59,非金属材料
4378,300705,九典制药,17.84,-12.45,4624.0,-1.55,-8.33,5013,-1.98,-3.85,3776,-1.6,化学制药
4379,301023,江南奕帆,44.89,-8.17,3821.0,-1.56,-0.13,1734,2.68,-3.53,3581,3.24,电机
4380,688177,百奥泰,31.01,-11.55,4491.0,-1.56,-7.2,4794,0.26,-5.81,4673,1.08,生物制品
4381,002560,通达股份,8.23,-27.8,5479.0,-1.56,-5.38,4247,1.35,-5.35,4493,-0.48,电网设备
4382,600613,神奇制药,6.96,-6.24,3342.0,-1.56,-2.01,2662,-2.25,0.0,1310,-0.43,化学制药
4383,300572,安车检测,26.52,-9.61,4160.0,-1.56,-7.13,4521,1.96,-7.13,4778,1.96,专业服务
4384,300849,锦盛新材,13.28,-11.12,4422.0,-1.56,-6.55,4621,0.38,-3.75,3725,-0.23,美容护理
4385,300670,大烨智能,7.58,-4.91,3006.0,-1.56,-0.97,2126,1.74,-2.23,2689,5.28,电网设备
4386,605089,味知香,25.95,-3.88,2767.0,-1.56,-5.01,4125,0.54,-1.48,2203,2.13,食品饮料
4387,603227,雪峰科技,8.84,-7.94,3767.0,-1.56,0.61,1411,5.24,-2.8,3067,1.38,化学制品
4388,688520,神州细胞,64.42,-8.75,3958.0,-1.56,-10.47,5271,-8.17,-8.39,5255,-17.01,生物制品
4389,300099,尤洛卡,7.58,-16.52,5092.0,-1.56,-3.9,3640,-0.52,-3.93,3820,2.71,专用设备
4390,600977,中国电影,13.24,-7.01,3549.0,-1.56,-4.23,3813,-4.34,-6.41,4851,-7.74,文化传媒
4391,600415,小商品城,18.87,-4.04,2804.0,-1.56,-4.4,3889,-5.22,-5.38,4504,-14.31,商业百货
4392,600777,*ST新潮,3.77,-3.18,2578.0,-1.57,-10.23,5247,-5.28,-12.31,5458,-9.59,石油行业
4393,300987,川网传媒,19.38,-15.02,4964.0,-1.57,-15.12,5458,-8.37,-7.51,5109,-10.48,文化传媒
4394,603926,铁流股份,13.14,-3.06,2550.0,-1.57,1.83,939,10.14,-2.52,2878,9.23,汽车零部件
4395,300562,乐心医疗,16.92,-11.64,4504.0,-1.57,-0.65,1967,2.05,-2.99,3211,3.3,医疗器械
4396,301522,上大股份,36.31,-11.99,4564.0,-1.57,-3.13,3242,0.11,-1.99,2526,1.74,有色金属
4397,300040,九洲集团,7.51,-15.9,5045.0,-1.57,-3.87,3624,0.81,-6.1,4764,-1.18,电力行业
4398,002408,齐翔腾达,5.01,8.61,429.0,-1.57,-1.56,2421,-1.76,-1.41,2146,-6.7,化学制品
4399,300797,钢研纳克,15.02,-20.35,5343.0,-1.57,-3.07,3218,2.11,-5.5,4555,0.33,专业服务
4400,603396,金辰股份,28.24,-1.67,2227.0,-1.57,-7.9,4942,-1.88,-3.45,3521,-5.23,光伏设备
4401,603663,三祥新材,26.25,-12.75,4667.0,-1.57,-7.13,4773,-2.67,-7.12,5036,-9.58,化学原料
4402,603028,赛福天,8.14,-5.84,3244.0,-1.57,-4.63,3986,1.62,-3.22,3362,0.74,通用设备
4403,300488,恒锋工具,35.59,-13.04,4710.0,-1.58,-1.07,2041,2.12,-2.18,2499,4.13,通用设备
4404,300825,阿尔特,11.81,-14.41,4897.0,-1.58,-3.06,3032,0.43,-2.35,2601,1.37,汽车服务
4405,300452,山河药辅,14.26,-4.78,2851.0,-1.59,-0.23,1657,0.07,-1.41,2148,0.28,化学制药
4406,000789,万年青,6.18,-21.44,5365.0,-1.59,-2.0,2657,1.31,-2.39,2795,-0.64,水泥建材
4407,603520,司太立,11.11,-3.04,2545.0,-1.59,-7.24,4802,-1.51,-3.66,3671,-1.94,化学制药
4408,603256,宏和科技,24.68,-3.72,2719.0,-1.59,-1.67,2478,1.73,0.86,914,6.33,玻璃玻纤
4409,300618,寒锐钴业,37.21,-12.6,4644.0,-1.59,-0.67,1980,2.2,-5.09,4389,-3.48,能源金属
