序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
1,301632,N广建科,34.01,23.47,24.0,418.45,23.47,3,418.45,23.47,2,418.45,专业服务
2,300815,玉禾田,29.5,9.3,363.0,20.02,8.93,63,42.86,6.63,46,44.75,环保行业
3,688584,上海合晶,22.86,20.13,35.0,20.0,12.43,23,24.24,7.57,25,24.24,半导体
4,300637,扬帆新材,14.64,19.78,40.0,20.0,7.97,85,22.31,3.23,267,25.13,化学制品
5,688256,寒武纪-U,848.88,13.33,152.0,20.0,4.66,310,22.14,2.4,440,19.43,半导体
6,301486,致尚科技,91.97,8.98,393.0,20.0,4.75,298,23.14,1.89,572,31.61,消费电子
7,300620,光库科技,66.08,37.06,4.0,19.99,37.06,1,19.99,37.06,1,19.99,通信设备
8,688702,盛科通信-U,78.0,0.59,1656.0,19.27,-0.04,1701,16.77,-3.91,3809,11.91,半导体
9,688273,麦澜德,52.83,5.16,823.0,18.06,7.04,114,50.34,5.56,84,55.75,医疗器械
10,300453,三鑫医疗,10.75,-0.08,1759.0,14.24,1.0,1177,20.11,0.75,960,23.28,医疗器械
11,301018,申菱环境,56.02,1.52,1473.0,13.13,4.12,394,21.07,3.54,227,30.31,专用设备
12,301173,毓恬冠佳,53.25,12.36,186.0,12.11,1.84,935,8.67,3.2,271,17.34,汽车零部件
13,300398,飞凯材料,23.19,4.63,916.0,11.81,0.13,1621,13.96,-0.68,1701,16.01,电子化学品
14,300806,斯迪克,21.0,2.83,1215.0,11.46,0.69,1376,13.82,-1.88,2443,12.9,塑料制品
15,300902,国安达,26.24,1.26,1530.0,11.42,1.29,1141,14.99,0.41,1135,23.54,专用设备
16,300857,协创数据,85.66,0.29,1720.0,11.29,-5.14,4169,8.68,-6.79,4965,5.49,消费电子
17,688626,翔宇医疗,64.4,-1.72,2237.0,11.02,-1.15,2222,20.53,-1.6,2267,37.52,医疗器械
18,688498,源杰科技,270.03,-9.04,4023.0,10.71,-2.0,2659,24.08,0.65,1016,22.9,半导体
19,301033,迈普医学,88.8,4.1,1010.0,10.38,0.87,1312,17.31,-0.75,1739,19.03,医疗服务
20,688376,美埃科技,50.7,7.72,529.0,10.34,3.82,460,6.67,3.83,190,12.84,环保行业
21,600984,建设机械,3.8,24.83,20.0,10.14,15.67,10,14.8,5.76,77,10.79,工程机械
22,601929,吉视传媒,3.27,-6.33,3370.0,10.1,1.98,895,47.3,1.29,750,63.5,文化传媒
23,600581,八一钢铁,5.13,1.67,1437.0,10.09,2.06,871,29.87,0.71,984,26.04,钢铁行业
24,002307,北新路桥,5.58,-7.68,3715.0,10.06,5.38,217,35.11,4.74,131,34.13,工程建设
25,000014,沙河股份,14.25,6.01,715.0,10.04,2.83,686,13.55,1.02,843,12.2,房地产开发
26,000011,深物业A,10.52,13.75,136.0,10.04,14.31,16,23.19,10.72,11,18.87,房地产开发
27,002052,同洲电子,11.96,17.88,54.0,10.03,5.11,252,16.0,-1.87,2434,8.83,家电行业
28,000006,深振业Ａ,7.46,8.62,425.0,10.03,5.37,219,19.55,3.07,295,17.67,房地产开发
29,002298,中电鑫龙,8.56,47.56,2.0,10.03,13.7,19,17.26,5.68,79,8.49,电网设备
30,600203,福日电子,17.34,11.44,220.0,10.03,-0.82,2043,34.42,1.1,812,56.78,消费电子
31,002176,江特电机,9.55,8.03,502.0,10.02,7.68,99,26.32,3.42,243,17.61,电机
32,601137,博威合金,22.18,4.66,908.0,10.02,6.08,170,19.5,3.13,282,19.31,有色金属
33,002270,华明装备,20.09,14.18,123.0,10.02,9.34,53,12.36,6.34,59,14.02,电网设备
34,002328,新朋股份,6.81,24.12,21.0,10.02,11.03,32,10.55,7.83,22,15.42,汽车零部件
35,600246,万通发展,9.23,-1.46,2174.0,10.01,-1.1,2195,28.91,-2.45,2837,26.96,房地产开发
36,605188,国光连锁,13.3,40.47,3.0,10.01,24.16,2,21.24,11.56,9,21.57,商业百货
37,603610,麒盛科技,14.4,16.24,85.0,10.01,8.18,80,13.48,4.38,157,15.02,装修建材
38,000026,飞亚达,21.44,-2.46,2415.0,10.01,5.47,207,26.42,1.9,568,19.91,珠宝首饰
39,600053,九鼎投资,19.67,14.38,117.0,10.01,14.97,12,22.94,8.06,20,21.65,多元金融
40,002941,新疆交建,16.71,30.26,8.0,10.01,23.04,4,37.64,14.4,3,38.67,工程建设
41,605298,必得科技,21.65,18.31,50.0,10.01,4.13,391,25.8,4.05,176,40.68,交运设备
42,600211,西藏药业,48.04,28.02,13.0,10.01,6.02,175,9.48,3.62,216,18.65,生物制品
43,603023,威帝股份,4.62,15.54,96.0,10.0,7.05,113,12.68,4.93,115,20.0,汽车零部件
44,603706,东方环宇,24.52,4.71,903.0,10.0,-0.57,1925,16.54,0.17,1244,19.79,燃气
45,603080,新疆火炬,26.74,-7.14,3584.0,10.0,-2.3,2817,37.48,-0.31,1491,46.92,燃气
46,603757,大元泵业,35.41,10.09,300.0,10.0,4.39,350,26.33,3.3,257,50.55,通用设备
47,003017,大洋生物,34.87,25.56,17.0,10.0,-2.17,2751,2.59,1.18,780,15.85,化学原料
48,600113,浙江东日,39.71,-9.71,4182.0,10.0,-8.35,4758,30.2,-4.91,4069,50.36,综合行业
49,600619,海立股份,22.98,9.46,347.0,10.0,1.97,900,41.07,0.0,1305,35.18,家电行业
50,002104,恒宝股份,22.33,10.87,248.0,10.0,4.23,374,16.67,0.33,1161,4.1,通信设备
51,600410,华胜天成,15.62,-2.07,2320.0,10.0,4.04,405,38.23,3.2,270,44.23,互联网服务
52,002549,凯美特气,13.65,31.12,7.0,9.99,5.05,257,12.16,0.69,989,9.11,化学制品
53,002148,北纬科技,11.45,-3.9,2770.0,9.99,-2.38,2850,33.61,0.99,853,57.5,通信服务
54,002173,创新医疗,20.59,7.9,511.0,9.99,2.1,862,26.86,3.38,248,44.49,医疗服务
55,603090,宏盛股份,35.35,11.39,221.0,9.99,3.35,568,14.7,3.25,265,12.87,通用设备
56,000417,合百集团,6.28,19.21,47.0,9.98,13.28,20,11.74,9.15,13,10.56,商业百货
57,002670,国盛金控,17.74,8.51,446.0,9.98,10.93,34,16.4,6.49,50,12.21,证券
58,605169,洪通燃气,17.97,1.73,1426.0,9.98,-3.07,3216,41.61,-0.23,1447,60.59,燃气
59,002040,南 京 港,10.69,27.45,15.0,9.98,17.01,7,11.94,7.83,23,9.42,航运港口
60,002820,桂发祥,13.68,4.89,868.0,9.97,10.2,39,22.58,8.37,18,23.13,食品饮料
61,000561,烽火电子,11.36,47.83,1.0,9.97,12.56,22,9.55,4.84,120,11.92,通信设备
62,002676,顺威股份,10.48,8.37,459.0,9.97,2.88,673,29.06,2.18,492,41.24,家电行业
63,600658,电子城,5.74,10.52,273.0,9.96,6.08,169,14.8,4.69,133,20.34,房地产服务
64,002622,皓宸医疗,3.56,34.67,6.0,9.88,16.87,8,15.21,12.28,8,15.58,医疗服务
65,300050,世纪鼎利,6.45,11.11,240.0,9.88,3.85,447,9.14,2.91,333,13.56,通信服务
66,002501,利源股份,2.24,29.73,10.0,9.8,11.9,25,8.21,5.41,90,8.21,有色金属
67,301398,星源卓镁,43.91,8.66,419.0,9.67,-0.96,2121,11.33,-2.34,2764,12.02,汽车零部件
68,300839,博汇股份,14.94,8.96,396.0,9.61,4.31,361,18.76,2.72,372,17.82,石油行业
69,300953,震裕科技,115.55,3.37,1114.0,9.61,4.99,263,7.69,1.88,574,15.06,电池
70,002837,英维克,54.75,1.24,1533.0,9.39,0.85,1314,33.54,0.94,875,64.76,专用设备
71,603123,翠微股份,13.8,7.56,544.0,9.35,2.68,717,9.52,-1.93,2479,2.68,多元金融
72,600737,中粮糖业,11.35,9.08,384.0,9.34,8.42,75,13.39,5.64,82,14.53,食品饮料
73,601138,工业富联,39.71,5.95,720.0,9.24,0.65,1391,13.3,0.49,1084,29.98,消费电子
74,688521,芯原股份,107.93,4.3,972.0,9.24,-4.08,3729,5.83,-3.21,3354,8.47,半导体
75,300671,富满微,42.78,3.97,1032.0,9.1,1.63,1011,30.95,0.89,903,31.07,半导体
76,688499,利元亨,59.0,1.51,1477.0,9.06,2.06,873,14.92,-3.24,3373,4.39,电池
77,688362,甬矽电子,35.9,3.68,1074.0,8.79,-2.99,3177,11.18,-2.06,2580,20.03,半导体
78,300041,回天新材,11.02,12.74,172.0,8.57,-0.04,1699,7.51,-5.52,4565,5.35,化学制品
79,688668,鼎通科技,102.0,9.84,320.0,8.51,1.8,949,9.93,0.62,1032,14.99,通信设备
80,300766,每日互动,40.88,4.68,905.0,8.49,1.08,1230,8.41,0.54,1065,13.08,互联网服务
81,300399,天利科技,36.5,6.62,643.0,8.47,3.4,555,14.13,-0.13,1396,9.31,互联网服务
82,301323,新莱福,56.98,0.54,1665.0,8.47,0.88,1307,25.15,-0.27,1468,24.11,塑料制品
83,603306,华懋科技,46.9,4.92,863.0,8.39,-2.05,2684,4.95,-4.49,4111,-0.85,汽车零部件
84,300990,同飞股份,68.41,3.39,1112.0,8.38,-0.89,2071,10.16,0.33,1164,23.93,通用设备
85,605208,永茂泰,14.38,9.91,314.0,8.36,1.5,1046,11.04,-1.7,2324,12.61,汽车零部件
86,688679,通源环境,19.6,8.06,499.0,8.29,3.81,463,25.24,-0.37,1532,27.03,环保行业
87,301502,华阳智能,58.56,2.03,1372.0,8.2,7.59,103,30.51,5.79,75,37.17,电机
88,601606,长城军工,61.65,-7.62,3700.0,8.03,-6.13,4495,44.35,-2.54,2887,101.27,专用设备
89,003019,宸展光电,32.96,1.58,1462.0,7.78,-1.03,2156,6.98,-2.82,3090,6.39,光学光电子
90,300194,福安药业,5.02,-1.59,2204.0,7.73,-2.77,3055,7.26,-3.3,3411,7.04,化学制药
91,688648,中邮科技,48.17,9.0,391.0,7.69,2.54,747,10.89,1.51,687,8.44,通用设备
92,300196,长海股份,15.95,13.73,137.0,7.62,9.12,57,13.12,1.38,721,9.85,玻璃玻纤
93,300690,双一科技,35.38,-10.31,4271.0,7.6,0.8,1338,35.14,0.6,1036,40.79,风电设备
94,002920,德赛西威,113.91,-6.53,3415.0,7.44,-2.15,2734,10.26,-1.77,2373,6.55,汽车零部件
95,688535,华海诚科,87.71,4.95,859.0,7.34,2.21,829,9.38,-0.39,1541,8.36,半导体
96,688591,泰凌微,51.04,6.97,605.0,7.34,2.06,874,9.06,-2.04,2557,5.09,半导体
97,300368,汇金股份,17.63,-6.94,3527.0,7.24,-0.25,1785,47.53,-0.54,1627,50.04,计算机设备
98,300969,恒帅股份,91.0,13.17,156.0,7.21,4.84,285,3.56,2.62,394,9.63,汽车零部件
99,688127,蓝特光学,30.03,7.31,569.0,7.17,2.96,656,11.35,-0.19,1425,7.52,光学光电子
100,002967,广电计量,20.21,-4.62,2818.0,7.16,2.3,805,16.89,0.55,1057,15.88,专业服务
101,000628,高新发展,53.71,4.85,875.0,7.16,10.45,37,20.81,7.61,24,19.25,工程建设
102,688669,聚石化学,24.0,14.57,113.0,7.14,-0.57,1928,6.81,-1.77,2376,14.29,塑料制品
103,300476,胜宏科技,216.88,3.27,1131.0,7.13,2.04,878,14.47,-0.73,1723,14.6,电子元件
104,603800,洪田股份,49.99,-5.23,3075.0,7.02,1.04,1250,46.38,1.9,569,62.83,专用设备
105,600513,联环药业,25.65,1.34,1514.0,7.01,1.23,1159,19.25,2.32,462,33.52,化学制药
106,300236,上海新阳,47.05,11.31,228.0,7.0,7.64,101,12.29,4.5,145,10.52,电子化学品
107,300546,雄帝科技,29.89,7.25,575.0,6.94,2.53,752,12.07,-2.51,2863,-1.32,计算机设备
108,688691,灿芯股份,68.55,5.33,808.0,6.93,2.54,748,13.21,-1.38,2123,11.21,半导体
109,603722,阿科力,44.67,12.64,176.0,6.87,3.13,613,9.67,-2.98,3205,8.55,塑料制品
110,300430,诚益通,22.86,3.71,1070.0,6.87,-1.83,2551,9.27,-2.47,2844,10.65,通用设备
111,603129,春风动力,270.01,-0.29,1811.0,6.84,-1.78,2370,19.05,-4.34,3811,16.03,交运设备
112,601008,连云港,6.45,5.27,812.0,6.79,2.28,813,7.5,0.04,1285,5.91,航运港口
113,688199,久日新材,27.29,2.07,1354.0,6.77,-0.37,1836,14.57,0.14,1254,15.93,化学制品
114,301259,艾布鲁,42.6,6.02,713.0,6.77,-1.79,2528,-1.39,0.74,970,9.31,环保行业
115,002396,星网锐捷,30.41,6.22,684.0,6.74,1.8,947,11.43,1.92,558,13.55,通信设备
116,300756,金马游乐,32.64,-2.18,2348.0,6.74,-2.53,2932,18.3,-2.81,3080,25.54,旅游酒店
117,688392,骄成超声,87.66,12.13,194.0,6.68,-7.37,4830,4.52,3.07,296,17.7,专用设备
118,301511,德福科技,35.84,7.9,512.0,6.67,2.79,697,5.38,2.93,329,4.95,电池
119,300468,四方精创,40.92,8.35,462.0,6.67,-0.01,1684,7.15,-6.18,4785,-7.86,软件开发
120,301086,鸿富瀚,59.42,9.36,358.0,6.66,6.11,166,18.91,5.2,102,25.36,消费电子
121,002833,弘亚数控,17.8,16.63,76.0,6.65,9.36,52,8.34,4.26,161,8.6,专用设备
122,301367,瑞迈特,97.77,-2.12,2337.0,6.63,-3.2,3289,10.01,-4.16,3946,12.15,医疗器械
123,301232,飞沃科技,42.99,5.5,786.0,6.62,4.34,357,27.95,3.49,235,33.47,风电设备
124,300706,阿石创,48.76,-1.81,2258.0,6.56,-1.37,2314,26.78,-2.06,2579,41.25,半导体
125,688313,仕佳光子,59.08,7.81,518.0,6.55,-4.66,3996,3.34,-7.35,5079,-11.66,通信设备
126,301181,标榜股份,31.14,5.12,832.0,6.53,0.59,1421,14.95,-1.76,2366,18.27,汽车零部件
127,002028,思源电气,85.0,6.6,649.0,6.49,-1.09,2185,9.31,0.48,1096,3.84,电网设备
128,688629,华丰科技,59.29,3.92,1039.0,6.45,0.22,1581,4.49,2.02,528,7.55,电子元件
129,600798,宁波海运,4.31,0.26,1726.0,6.42,0.49,1457,6.68,-1.6,2263,5.38,航运港口
130,600561,江西长运,7.47,13.01,163.0,6.41,0.02,1659,6.41,0.61,1033,11.16,铁路公路
131,300584,海辰药业,51.3,0.87,1607.0,6.39,1.7,987,19.58,2.28,469,45.0,化学制药
132,002518,科士达,27.14,9.49,342.0,6.35,5.67,196,14.51,3.6,219,16.28,电源设备
133,600232,金鹰股份,8.32,12.73,173.0,6.26,7.98,84,18.52,6.21,63,30.0,纺织服装
134,688448,磁谷科技,43.67,-0.86,2020.0,6.25,-3.61,3503,8.17,0.68,1002,33.3,通用设备
135,600353,旭光电子,15.5,16.7,74.0,6.24,10.44,38,15.16,7.31,29,14.73,电子元件
136,300502,新易盛,204.9,8.06,496.0,6.23,1.68,993,12.3,-2.38,2786,5.95,通信设备
137,603033,三维股份,12.8,8.21,480.0,6.22,4.45,339,14.8,1.72,620,15.42,橡胶制品
138,688146,中船特气,37.38,9.6,336.0,6.22,3.0,640,22.76,1.11,808,22.88,电子化学品
139,688157,松井股份,43.68,3.51,1097.0,6.17,-0.84,2055,9.06,0.25,1201,29.54,化学制品
140,301010,晶雪节能,21.75,1.42,1495.0,6.15,2.78,698,14.11,2.0,535,18.14,装修建材
141,603955,大千生态,39.85,4.42,953.0,6.15,4.52,329,13.57,1.8,594,17.31,工程建设
142,603669,灵康药业,6.05,3.85,1048.0,6.14,1.18,1175,6.14,-5.94,4714,-7.07,化学制药
143,300192,科德教育,16.83,11.91,202.0,6.12,3.43,545,7.13,0.73,978,7.68,教育
144,300589,江龙船艇,15.81,5.65,764.0,6.11,-2.33,2827,7.4,-3.43,3510,4.77,船舶制造
145,603290,斯达半导,96.87,10.64,265.0,6.1,3.96,426,14.27,3.0,315,12.65,半导体
146,301202,朗威股份,50.69,8.33,466.0,6.07,2.04,879,9.06,2.1,507,14.55,通用设备
147,301590,优优绿能,165.72,10.81,255.0,6.07,4.04,406,6.39,-0.87,1819,5.57,电源设备
148,605020,永和股份,28.29,-0.32,1815.0,5.99,-0.35,1707,10.59,-0.1,1280,14.21,化学制品
149,300790,宇瞳光学,25.85,7.21,580.0,5.99,3.99,415,9.12,1.61,653,15.25,光学光电子
150,600835,上海机电,27.59,4.06,1013.0,5.95,-3.5,3451,2.11,-1.94,2486,2.11,专用设备
151,301095,广立微,82.0,17.3,66.0,5.93,0.7,1371,20.45,-0.35,1517,32.45,半导体
152,000066,中国长城,15.91,15.21,103.0,5.93,6.19,160,5.5,3.15,278,4.26,计算机设备
153,300002,神州泰岳,14.01,12.12,195.0,5.9,3.22,594,2.56,4.47,151,12.35,游戏
154,301075,多瑞医药,37.8,-5.89,3262.0,5.88,-3.45,3425,2.52,-1.92,2477,6.18,化学制药
155,300226,上海钢联,28.14,10.36,280.0,5.87,1.89,919,5.71,-3.33,3433,1.04,互联网服务
156,603093,南华期货,23.2,10.12,297.0,5.84,3.87,443,6.23,-3.88,3793,-7.01,多元金融
157,688677,海泰新光,49.77,-0.57,1958.0,5.83,-0.29,1803,11.84,0.84,920,18.19,医疗器械
158,002551,尚荣医疗,4.78,4.35,964.0,5.75,5.93,183,21.63,4.94,114,25.79,医疗器械
159,603767,中马传动,31.9,0.49,1676.0,5.7,-4.05,3708,32.42,1.23,767,82.91,汽车零部件
160,688220,翱捷科技-U,93.1,5.73,755.0,5.63,-1.0,2144,3.44,1.48,695,5.25,半导体
161,300657,弘信电子,30.95,8.22,478.0,5.52,-3.19,3281,2.48,-2.08,2599,4.88,电子元件
162,603337,杰克股份,47.05,6.19,690.0,5.52,-0.13,1732,12.24,-0.35,1519,10.34,专用设备
163,688580,伟思医疗,55.86,7.8,521.0,5.4,1.81,945,15.27,0.91,896,21.99,医疗器械
164,300602,飞荣达,29.75,3.11,1163.0,5.38,0.82,1328,11.38,1.35,731,24.22,消费电子
165,688347,华虹公司,65.99,15.43,98.0,5.31,3.02,636,2.31,1.21,772,9.58,半导体
166,605378,野马电池,29.1,-3.88,2764.0,5.28,7.78,95,37.65,6.14,65,44.63,电池
167,600094,大名城,3.39,3.56,1090.0,5.28,1.13,1199,8.65,0.2,1220,3.99,房地产开发
168,000029,深深房Ａ,22.58,2.6,1260.0,5.27,-3.09,3225,12.51,0.48,1094,17.85,房地产开发
169,002686,亿利达,7.4,14.75,110.0,5.26,6.81,128,9.63,3.79,196,11.11,通用设备
170,300499,高澜股份,22.83,7.03,596.0,5.26,2.5,761,11.31,2.68,381,22.54,专用设备
171,603611,诺力股份,27.53,1.03,1580.0,5.24,-0.83,2049,6.5,0.89,904,20.43,工程机械
172,002047,*ST宝鹰,2.22,24.05,22.0,5.21,6.18,161,9.9,2.73,369,11.56,装修装饰
173,600888,新疆众和,7.87,10.82,251.0,5.21,4.28,366,10.53,2.28,468,8.55,有色金属
174,603379,三美股份,53.62,6.93,610.0,5.2,-4.06,3719,9.16,-3.96,3833,18.18,化学制品
175,002062,宏润建设,6.09,1.21,1544.0,5.18,4.69,306,13.41,5.46,88,18.02,工程建设
176,688410,山外山,18.16,-2.97,2522.0,5.15,-0.74,2012,13.78,-3.23,3366,11.48,医疗器械
177,600167,联美控股,6.55,11.59,214.0,5.14,5.5,204,3.48,6.07,68,8.26,公用事业
178,300308,中际旭创,225.68,7.01,598.0,5.09,-0.27,1793,7.0,-1.16,1993,7.5,通信设备
179,000716,黑芝麻,7.03,6.28,678.0,5.08,-0.8,2035,7.49,3.48,239,14.31,食品饮料
180,002586,*ST围海,3.33,-1.26,2120.0,5.05,-2.99,3178,10.26,-5.01,4343,10.26,工程建设
181,600355,*ST精伦,3.12,20.01,37.0,5.05,12.77,21,12.64,5.33,94,14.29,通信设备
182,603500,祥和实业,11.67,2.98,1186.0,5.04,0.31,1533,18.84,-1.31,2078,21.69,交运设备
183,603032,德新科技,20.05,3.96,1035.0,5.03,0.89,1302,8.03,0.18,1234,9.44,电池
184,600568,ST中珠,1.88,8.94,397.0,5.03,-1.29,2277,13.25,-3.47,3535,9.94,综合行业
185,600360,*ST华微,9.0,19.78,39.0,5.02,4.8,288,3.69,1.85,580,9.09,半导体
186,002305,*ST南置,3.58,6.91,613.0,4.99,-1.71,2495,15.48,0.96,866,29.71,房地产开发
187,600421,*ST华嵘,6.74,17.17,70.0,4.98,17.17,6,4.98,-9.33,5334,7.84,通用设备
188,300429,强力新材,15.01,-0.48,1851.0,4.97,-1.56,2272,7.75,-1.95,2340,7.06,电子化学品
189,600636,*ST国化,8.87,23.76,23.0,4.97,11.58,30,5.34,3.8,195,5.34,教育
190,600066,宇通客车,27.7,0.15,1753.0,4.96,0.55,1436,6.21,-1.49,2207,10.18,汽车整车
191,600318,新力金融,10.39,9.3,362.0,4.95,1.26,1149,5.38,-2.99,3209,0.48,多元金融
192,002785,万里石,31.3,6.18,691.0,4.93,-0.84,2054,5.71,-0.46,1582,4.89,装修建材
193,301061,匠心家居,104.0,-2.04,2312.0,4.93,-1.53,2406,10.56,-0.83,1787,12.27,家电行业
194,002231,*ST奥维,3.62,29.29,11.0,4.93,7.01,117,17.92,4.17,171,21.89,通信服务
195,301132,满坤科技,42.31,4.67,907.0,4.91,0.11,1626,6.55,-1.75,2357,7.39,电子元件
196,000965,天保基建,4.71,-3.73,2724.0,4.9,0.0,1666,12.41,-3.41,3496,7.53,房地产开发
197,603823,百合花,13.7,13.21,153.0,4.9,5.17,244,6.04,-0.42,1559,5.79,化学制品
198,603657,春光科技,32.39,9.92,313.0,4.89,5.84,186,7.07,1.35,733,6.79,家电行业
199,002830,名雕股份,18.88,8.34,464.0,4.89,6.36,150,14.42,3.58,222,19.27,装修装饰
200,688709,成都华微,34.96,12.91,167.0,4.83,4.41,347,5.94,0.98,857,4.92,半导体
201,002721,金一文化,3.91,14.22,122.0,4.83,2.65,722,2.62,-0.64,1678,1.56,珠宝首饰
202,301536,星宸科技,60.2,5.46,790.0,4.82,0.08,1639,4.46,-3.06,3251,0.96,半导体
203,603040,新坐标,54.19,14.57,114.0,4.82,10.17,41,11.34,3.71,206,5.63,汽车零部件
204,301293,三博脑科,60.18,-0.2,1789.0,4.82,-3.79,3380,16.56,-2.79,3058,23.12,医疗服务
205,300577,开润股份,22.4,-1.64,2217.0,4.82,1.49,1055,7.59,2.03,526,9.32,纺织服装
206,002868,*ST绿康,28.96,14.89,107.0,4.81,0.31,1539,8.46,-0.02,1329,13.75,农药兽药
207,688301,奕瑞科技,98.0,10.42,277.0,4.81,3.29,579,15.05,2.07,514,12.59,医疗器械
208,002130,沃尔核材,24.34,9.87,318.0,4.78,2.12,854,4.96,-1.52,2077,1.93,非金属材料
209,603725,天安新材,10.79,6.3,675.0,4.76,3.2,598,9.43,0.2,1223,6.2,化学制品
210,688399,硕世生物,63.68,3.51,1098.0,4.75,1.45,1074,8.15,-0.22,1446,11.1,医疗器械
211,300981,中红医疗,17.47,-0.83,2014.0,4.74,4.17,384,25.96,3.44,241,31.95,医疗器械
212,300046,台基股份,44.98,3.82,1051.0,4.7,-1.06,2171,8.86,-3.17,3323,3.21,半导体
213,300773,拉卡拉,28.05,11.58,217.0,4.7,2.19,835,7.1,-6.05,4742,-4.07,软件开发
214,000045,深纺织Ａ,12.04,-5.19,3068.0,4.7,1.21,1165,11.9,-1.05,1925,12.84,光学光电子
215,688512,慧智微-U,12.55,17.75,56.0,4.67,4.38,352,8.0,0.27,1191,6.81,半导体
216,002971,和远气体,28.59,5.36,805.0,4.65,1.77,958,3.62,-0.31,1492,8.34,化学制品
217,600892,*ST大晟,3.16,16.42,81.0,4.64,-1.48,2377,5.33,-10.53,5403,2.93,游戏
218,301309,万得凯,34.73,1.96,1383.0,4.64,1.75,964,16.74,1.34,737,21.35,通用设备
219,300967,晓鸣股份,24.0,0.22,1736.0,4.62,1.64,1004,18.34,0.5,1081,21.58,农牧饲渔
220,688767,博拓生物,36.33,-3.78,2744.0,4.61,-0.54,1903,11.75,-2.68,2985,8.77,医疗器械
221,300257,开山股份,14.55,2.62,1251.0,4.6,-4.01,3688,3.26,-0.64,1682,7.46,通用设备
222,300113,顺网科技,22.05,11.15,235.0,4.6,4.46,335,13.25,1.15,795,9.38,游戏
223,603912,佳力图,10.3,0.52,1669.0,4.57,-0.92,2095,9.34,-1.64,2293,10.75,专用设备
224,301057,汇隆新材,21.31,7.94,509.0,4.56,5.72,195,14.39,2.93,332,19.38,化纤行业
225,301606,绿联科技,61.69,-3.54,2675.0,4.56,-0.67,1981,23.78,0.19,1233,26.73,消费电子
226,002316,ST亚联,5.73,-9.35,4093.0,4.56,-3.18,3271,7.3,-5.9,4698,9.77,互联网服务
227,002156,通富微电,28.7,16.28,84.0,4.55,4.45,337,5.4,0.43,1128,3.05,半导体
228,603893,瑞芯微,167.66,13.17,155.0,4.55,-0.26,1790,3.49,-4.08,3905,0.79,半导体
229,301120,新特电气,14.75,6.69,633.0,4.54,3.29,577,13.55,3.05,299,22.61,电网设备
230,688236,春立医疗,25.08,8.49,448.0,4.54,3.41,552,13.95,0.33,1166,10.73,医疗器械
231,300537,广信材料,27.65,9.1,382.0,4.54,3.83,453,8.82,0.53,1071,4.58,电子化学品
232,002401,中远海科,20.33,6.32,673.0,4.52,-10.72,5287,-2.68,-1.2,2024,-9.12,互联网服务
233,600243,*ST海华,3.7,9.27,368.0,4.52,2.81,689,12.12,-0.1,1373,11.45,通用设备
234,603075,热威股份,24.75,2.5,1278.0,4.52,1.64,1007,11.39,-0.76,1742,15.71,家电行业
235,603607,京华激光,25.97,13.43,149.0,4.47,5.1,253,9.07,3.51,230,10.23,造纸印刷
236,688502,茂莱光学,343.54,5.79,750.0,4.46,-2.49,2918,1.36,-1.25,2055,-0.69,光学光电子
237,300003,乐普医疗,18.07,-1.8,2256.0,4.45,1.17,1182,11.75,2.66,383,15.76,医疗器械
238,688549,中巨芯-U,8.45,10.62,266.0,4.45,4.45,338,7.37,-0.62,1670,5.76,电子化学品
239,603173,福斯达,46.14,12.03,198.0,4.44,4.23,376,6.29,3.11,285,12.54,通用设备
240,688260,昀冢科技,26.0,2.92,1197.0,4.42,2.47,771,20.54,0.16,1248,21.27,消费电子
241,603196,日播时尚,20.12,9.63,334.0,4.41,4.25,372,3.44,-0.48,1599,6.06,纺织服装
242,001298,好上好,33.2,-1.08,2074.0,4.4,-0.12,1725,14.84,-0.44,1568,14.21,电子元件
243,600775,南京熊猫,12.1,1.36,1511.0,4.4,-4.91,4092,6.05,-2.08,2598,14.04,通信设备
244,300613,富瀚微,53.63,2.04,1370.0,4.38,0.99,1269,9.88,0.17,1243,10.35,半导体
245,002927,泰永长征,16.92,21.42,30.0,4.38,9.95,44,2.73,4.85,119,0.83,电网设备
246,688531,日联科技,63.0,3.84,1049.0,4.34,-1.48,2379,13.41,-0.23,1449,26.1,专用设备
247,300085,银之杰,44.1,11.33,226.0,4.33,3.52,524,6.16,-0.86,1806,2.73,软件开发
248,600589,大位科技,8.48,13.52,146.0,4.31,3.51,526,4.05,-1.45,2174,3.04,互联网服务
249,002166,莱茵生物,8.72,11.09,241.0,4.31,6.61,138,2.59,3.45,240,5.06,中药
250,301015,百洋医药,26.39,4.29,974.0,4.31,4.28,368,14.19,4.18,169,22.63,医药商业
251,688372,伟测科技,60.07,1.24,1535.0,4.31,-6.3,4554,-0.76,-6.42,4858,-1.3,半导体
252,600608,*ST沪科,4.12,5.81,745.0,4.3,1.31,1130,1.73,-0.52,1617,5.37,贸易行业
253,688370,丛麟科技,25.35,1.72,1429.0,4.28,-2.46,2902,0.96,2.55,413,12.47,环保行业
254,603081,大丰实业,13.4,12.46,182.0,4.28,2.46,773,4.93,-0.34,1505,4.04,专用设备
