日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-04-02,0.8348550452714005,6.85,6.31,8.14,0.12658110291795902,6.39,7.83,0.1009531182876916
2025-04-03,0.8758148453877522,6.85,6.31,8.14,0.12658110291795902,6.39,7.83,0.1009531182876916
2025-04-07,0.8324773477660445,6.86,6.31,8.14,0.12658110291795902,6.39,7.83,0.1009531182876916
2025-04-08,0.9485811505976184,6.86,6.31,8.14,0.12658110291795902,6.39,7.84,0.10194939311346468
2025-04-09,0.977057334717804,6.86,6.31,8.14,0.12658110291795902,6.39,7.86,0.10294346234826969
2025-04-10,0.9198258772483046,6.86,6.31,8.14,0.12658110291795902,6.39,7.87,0.10393533330823956
2025-04-11,0.836753198325558,6.88,6.31,8.14,0.12658110291795902,6.39,7.87,0.10393533330823956
2025-04-14,0.8240324930228831,6.88,6.31,8.14,0.12658110291795902,6.39,7.87,0.10393533330823956
2025-04-15,0.8576203880173271,6.88,6.31,8.14,0.12658110291795902,6.39,7.87,0.10393533330823956
2025-04-16,0.888653449581367,6.88,6.31,8.14,0.12658110291795902,6.39,7.87,0.10393533330823956
2025-04-17,0.8730978004892571,6.88,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-18,0.8474579081150855,6.88,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-21,0.8283472464458925,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-22,0.8047635338727559,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-23,0.7407655747983078,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-24,0.7411823103574273,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-25,0.706056379298939,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-28,0.7420343951942764,6.9,6.31,8.14,0.12658110291795902,6.39,7.89,0.10492501327718536
2025-04-29,0.7226886266711829,6.9,6.33,8.14,0.12535309915534498,6.39,7.89,0.10492501327718536
2025-04-30,0.6961254299212347,6.9,6.33,8.14,0.12535309915534498,6.39,7.89,0.10492501327718536
2025-05-06,0.7518518763704446,6.9,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-07,0.8236701069091297,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-08,0.7683760842077243,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-09,0.7677682600403778,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-12,0.7566643643127484,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-13,0.7351704141250558,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-14,0.8095691376151114,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-15,0.8329263050824243,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-16,0.7655384269513283,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-19,0.7301932017527416,6.91,6.33,8.14,0.12535309915534498,6.39,7.87,0.10393533330823956
2025-05-20,0.7991892559403809,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-21,0.8341107130524081,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-22,0.816928697532284,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-23,0.8337721591983394,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-26,0.7836325274279652,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-27,0.8340703884749603,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-28,0.8237081352128933,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-29,0.8719052491913293,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-05-30,0.8715911829385204,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-03,0.8444071599648261,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-04,0.807361899808966,6.93,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-05,0.8440230341158872,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-06,0.8678396970664942,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-09,0.8627420325391626,6.94,6.33,8.13,0.1243986701090288,6.39,7.89,0.10492501327718536
2025-06-10,0.7908608762199024,6.94,6.33,8.13,0.1243986701090288,6.39,7.89,0.10492501327718536
2025-06-11,0.7680193398931622,6.94,6.33,8.13,0.1243986701090288,6.39,7.89,0.10492501327718536
2025-06-12,0.6672065057315167,6.94,6.33,8.13,0.1243986701090288,6.39,7.89,0.10492501327718536
2025-06-13,0.7086924389017766,6.94,6.33,8.13,0.1243986701090288,6.39,7.89,0.10492501327718536
2025-06-16,0.769729278049876,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-17,0.7697391801340279,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-18,0.8036851000276094,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-19,0.8244588787137891,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-20,0.8583187929309432,6.94,6.33,8.13,0.1243986701090288,6.39,7.87,0.10393533330823956
2025-06-23,0.8420533202560834,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-06-24,0.8643656784227486,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
2025-06-25,0.8488759115509198,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
2025-06-26,0.8196766995953785,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
2025-06-27,0.7604444979090048,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
2025-06-30,0.7605362269053445,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
